accession,asset_id,path,size_bytes,sha256,format_open_pass,verification_source_commit
GSE175721,gse175721_efcc78179a9c,data/external/v4/perturbation/GSE175721/GSE175721_CRISPR_seq.fa.gz,427,45e8d92cd4cfebb7b53233931cbee20bf5abdd5e82216efa6b0c7646658a673f,True,2e5c35f76aabc30c1e3d66743d5898b7fb121c37
GSE175721,gse175721_09deb6fed0c6,data/external/v4/perturbation/GSE175721/GSE175721_RAW.tar,160399360,fa4f6a1214bef5d4cffdda0748fc58da79c0a75b557c59727d8c8cef6eeec6a1,True,2e5c35f76aabc30c1e3d66743d5898b7fb121c37
GSE178317,gse178317_ba77161eeaa1,data/external/v4/perturbation/GSE178317/GSE178317_RAW.tar,1010032640,1fedaf717380a7d858544be56d1253f4c5bc6f7738f85833c5c1209d32e8fde2,True,2e5c35f76aabc30c1e3d66743d5898b7fb121c37
GSE178317,gse178317_f5881facc710,data/external/v4/perturbation/GSE178317/GSE178317_iTF_Microglia_RNAseq_abundance.csv.gz,1668560,0b323c815487ace813e5ce50feb0f1b3bf5ce60a0d9f8e2f7e7fad583bc60321,True,2e5c35f76aabc30c1e3d66743d5898b7fb121c37
GSE240609,gse240609_1155194f2ab8,data/external/v4/perturbation/GSE240609/GSE240609_RAW.tar,440320,1c6cd8c01fd4221a545a90576d3354bbc72da4cb22ccedb401d03f3612b19873,True,2e5c35f76aabc30c1e3d66743d5898b7fb121c37
GSE241858,gse241858_cb7d87bdeb0f,data/external/v4/perturbation/GSE241858/GSE241858_TREM2_RNAseq_countfile.txt.gz,509325,2c7811e25e6283dbb9f0149e71c7dea55e00d9a20ed279d4b7bbe5f8bd049496,True,2e5c35f76aabc30c1e3d66743d5898b7fb121c37
GSE241858,gse241858_139c1d1976d8,data/external/v4/perturbation/GSE241858/GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,940109,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03,True,2e5c35f76aabc30c1e3d66743d5898b7fb121c37
GSE254205,gse254205_cff143b59c0c,data/external/v4/perturbation/GSE254205/GSE254205_ad_raw.h5ad.gz,734059992,eb351dc74725b5aaa260234b3891cfa74f398512880af69d8d6bd6abac5dfa0e,True,2e5c35f76aabc30c1e3d66743d5898b7fb121c37
GSE254205,gse254205_3bc2196b5493,data/external/v4/perturbation/GSE254205/GSE254205_human_APOE3_IPSCmicroglia_ATAC.tar.gz,1701960,65046cbe82780307e31bed3744de0977ac93d23c6db89d4d9cf78dc95c6cb313,True,b72e3fd314ea490a17f64f7d8ebe8f3e6275733b
GSE254205,gse254205_fca1d393501d,data/external/v4/perturbation/GSE254205/GSE254205_iMG_AB_GNE_treatment_RNA_Seq.tar.gz,2327894,ae3761514b5ac0bf37ae727ab956f6e6bee70c4dab52519ab2f20cc9a322d569,True,b72e3fd314ea490a17f64f7d8ebe8f3e6275733b
GSE254205,gse254205_8ae26813ce5d,data/external/v4/perturbation/GSE254205/GSE254205_iMG_LD_sort_RNA_seq.tar.gz,2114725,b85a8d6630dd5805ef2d5de1ad11cd57d0d7293e3370dc3bc2574f8dfe0a40be,True,b72e3fd314ea490a17f64f7d8ebe8f3e6275733b
GSE293118,gse293118_1d15aff2e5fa,data/external/v4/perturbation/GSE293118/GSE293118_RAW.tar,1113804800,caeef49f695223bacaedb41a9dbfe745a25471683c55c4ef8371982d29f199eb,True,b72e3fd314ea490a17f64f7d8ebe8f3e6275733b
GSE293118,gse293118_6dab6ce5e82e,data/external/v4/perturbation/GSE293118/GSE293118_feature_reference.csv.gz,4626,3b8cc0b9368040c5dd8e60758a6582181fe25817a46f008bf099660ac5346a48,True,b72e3fd314ea490a17f64f7d8ebe8f3e6275733b
GSE301119,gse301119_5ff4821904a5,data/external/v4/perturbation/GSE301119/GSE301119_CRISPRa_seurat5.rds,345798341,2f700baff2390e257a7ae1b301204bceb5feeb823671c21f10fd3f1038450829,True,b72e3fd314ea490a17f64f7d8ebe8f3e6275733b
GSE301119,gse301119_1c0fbaf672ab,data/external/v4/perturbation/GSE301119/GSE301119_CRISPRi_seurat5.rds,406836813,fc2584fad6327defb32b939c94e89fa174d3287399ab66e91b6189569b108eb3,True,b72e3fd314ea490a17f64f7d8ebe8f3e6275733b
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,670300160,0c9cdf8722bf6ff0cf0d25b1da2363c0f63f0aa7a9d08683528f77d79846459a,True,b72e3fd314ea490a17f64f7d8ebe8f3e6275733b
