cell_id_hash,broad_family,local_isolation,donor_id_hash,dataset_id,technology,candidate_only_not_new_cell_type
b9d935b20167f6584213d9293ddaeb2b58ffe6538b1e219df4e289d6425e34f5,Astro,0.4444447457790375,de9642d61a67944f9879b84611c08e1aa181d3116dc8d46a46489714e3b4d61e,NPH52,snRNA-seq,True
00151b5e75f1fac36de64b980f1ba67c6f0609cd6c4ff39b33efb4ce02f976d6,AstrocyteSubclass,0.3527544438838959,677e8aa7c21090a7bb793c7f6c3fa8ed7e2087bbb705058f59678cb36f8142d4,sea_ad_caudate_rna_all_2025,UNKNOWN / NOT PROVIDED,True
01b23410b7cb5605617eb7db54087de7576efc137acb90de934aa6a27c715e3e,AstrocyteSubclass,0.4027785360813141,eac353b98e1103ccdbb965e633f341d51e9db1275d69797b9b7c9522352c50ad,sea_ad_caudate_rna_all_2025,UNKNOWN / NOT PROVIDED,True
00eb0c7defcc7d69c784c78ade74b93d63e3961d117415e5bf72c664dab6dc5d,CN ST18 GABASubclass,0.5860458612442017,ce7f9e70c0b749d95cc834e40a967e5f09f5fa53544658d789a0cfd8a540dc37,sea_ad_caudate_rna_all_2025,UNKNOWN / NOT PROVIDED,True
005e519c5c4a5f70705fe9be08f402909882dd18f2c5f15f4ed9a9e70280cc18,CN ST18 GABASubclass,0.5209396481513977,0c90c5b9d02fb39df3d1b433772dc5e214c1f210512929227cbc4b27879918cb,sea_ad_caudate_rna_all_2025,UNKNOWN / NOT PROVIDED,True
2ceb4155fd922d4d0a9f3833226c77a4d7605f51b035b860dddc94655b9f3789,Endo,0.5346802473068237,ebff7266f2ee98e786987e9dcc42365ccb3e1d62ae022318ef17a242e74e37ab,NPH52,snRNA-seq,True
00232390bd5f32e73240388b3c6959034143727459dbf2c703fa5e35d8c3d89f,EndothelialSubclass,0.660943329334259,962c1f452cdf8aa6e01d7225b60d7d5e9522f0312f73acd43762339f6c548e31,sea_ad_caudate_rna_all_2025,UNKNOWN / NOT PROVIDED,True
010aaa4b896373bf8ddbc288b4869a78c24f7e3608d89d581b25de7b35cd016e,EndothelialSubclass,0.6994574666023254,ce7f9e70c0b749d95cc834e40a967e5f09f5fa53544658d789a0cfd8a540dc37,sea_ad_caudate_rna_all_2025,UNKNOWN / NOT PROVIDED,True
983943dfca40d403c5080a63e83ef97f4afd2433edb605fb7f2f03fa3a1f13cb,ExN,0.887048065662384,eb2c84dd5628f9163218c76ca1b1c0b6db6f087969b8807421c3c0fa9603b251,NPH52,snRNA-seq,True
01941ed8bfb384bdd00a9092d20a109d5815a71d71b583606572b1a92e1ad008,InN,0.807201623916626,a9dd6c18332220203759e43349ac80e74e93b77239acb0d7c9acce4aeb31cab8,NPH52,snRNA-seq,True
cf84572864e22e92bae1809ccfc58f5e48e5ef161336ae596e584bf916b48a10,MG,0.3524985909461975,ebff7266f2ee98e786987e9dcc42365ccb3e1d62ae022318ef17a242e74e37ab,NPH52,snRNA-seq,True
0023696dc6c904b305b2931eed80ed036a404e5f48ab6b0a294ea4774fffc2ec,Microglia-PVMSubclass,0.5168765783309937,617bbf76d43a4cad1f2fb7ae1ad7247d522ba498c409845f8db8d95ef6c801ba,sea_ad_caudate_rna_all_2025,UNKNOWN / NOT PROVIDED,True
004a7ecb68fc0ef608e1ab9fc57b959b60059e8a1826ad11df14350ae296b9e6,Microglia-PVMSubclass,0.4682568907737732,5286945a3f7846adccc0fc057fb4dc2bbe507186dee7aea26fd77970098e0f55,sea_ad_caudate_rna_all_2025,UNKNOWN / NOT PROVIDED,True
4b260c9e9da008c2c304127c6ef76996e455eea3c8f0e7f92ad2474685a607ce,Neuronal: GABAergic,0.394956111907959,e6d2383857791b16e12c913b203289744cf62f49fbec09b303ebd0ce4ab8ad12,HVS,10x 3' v3,True
621cd4650835c4da0dfe79e33f14ec9f27a63915c2228430f02c6dab4f3eebb6,Neuronal: GABAergic,0.3676656484603882,9fa5d2ca81c1f234137922a9fd28098a5806ce6527409e988fb284e049f88d02,HVS,10x 3' v3,True
d24a0b86a585280002971c6c001f70a6e81cab54530d3cd0e623807b9aa6a236,Neuronal: GABAergic,0.5391287207603455,b5d3f3a08e1f18dc7704105e17aef4e234c848adfafe4815c3719fd75d602a9f,HVS,10x 3' v3,True
1c0b9d4780c93b6426cb805866bec5b33be7ff8c2be9cc7252fcbc79b93be3da,Neuronal: GABAergic,0.39634647965431213,efdc973fef5e2f49d7d56da30efceaef22d91b470448201eec3ecc807d9c872b,HVS,10x 3' v3,True
69dd853d7ac742a89856ef7c285e3617446a629275cfdcafeaab83a070d8b0a3,Neuronal: GABAergic,0.408978670835495,efdc973fef5e2f49d7d56da30efceaef22d91b470448201eec3ecc807d9c872b,HVS,10x 3' v3,True
4b360fae833231043948d06ec3f0598d8708c801a31bce606a6393b4854600e4,Neuronal: GABAergic,0.415717750787735,1411881e1d658bd83d2ec94ef985f9ebbe5e06400d2ca187f88af4a906f96f46,HVS,10x 3' v3,True
aa46bd6d85e1cbc6fa330420302a6b793257d1dbb9635584de5ff76539f6ee9f,Neuronal: GABAergic,0.3929871916770935,18304017f996dea8d94d5b82b883f525047a7803b005dd7f277f42311226469f,HVS,10x 3' v3,True
176957ce95b779ba513ed9a58c631f2b48ff2a2b1ff5389d330b4e6f14c9b62c,Neuronal: GABAergic,0.4308406114578247,a85b660d380c0f12f9b9caa241d94b62f7ff587725c975ca9b799f11eec84f64,HVS,10x 3' v3,True
22d7926ebb726feb0c3ccd38e0844c28d6baee725b49e62264a8a21544be59e7,Neuronal: GABAergic,0.46164238452911377,a85b660d380c0f12f9b9caa241d94b62f7ff587725c975ca9b799f11eec84f64,HVS,10x 3' v3,True
8daf9c867c6e4a95f424d651d63b49f5a5ceaa35fd7a309719dae0c27cc6764b,Neuronal: GABAergic,0.4114411175251007,4c6f0838d72c7e270006aa13ff2db03e7f8b79b348b5d779b0413628270e2bf9,HVS,10x 3' v3,True
