asset_class,region,access_state,official_record,required_human_action,bypass_attempted,blocks_expression_vocabulary,blocks_future_regulatory_processing
official_atac_fragments,MTG,access_blocked,AD_Knowledge_Portal_syn26223298,accept_applicable_terms_and_use_valid_ADKP_credentials,False,False,True
official_atac_fragments,PFC_A9_DFC,access_blocked,AD_Knowledge_Portal_syn26223298,accept_applicable_terms_and_use_valid_ADKP_credentials,False,False,True
official_atac_fragments,STG,access_blocked,AD_Knowledge_Portal_syn26223298,accept_applicable_terms_and_use_valid_ADKP_credentials,False,False,True
official_atac_fragments,V1C,access_blocked,AD_Knowledge_Portal_syn26223298,accept_applicable_terms_and_use_valid_ADKP_credentials,False,False,True
official_atac_fragments,MEC,access_blocked,AD_Knowledge_Portal_syn26223298,accept_applicable_terms_and_use_valid_ADKP_credentials,False,False,True
official_atac_fragments,LEC,access_blocked,AD_Knowledge_Portal_syn26223298,accept_applicable_terms_and_use_valid_ADKP_credentials,False,False,True
official_atac_fragments,HIP,access_blocked,AD_Knowledge_Portal_syn26223298,accept_applicable_terms_and_use_valid_ADKP_credentials,False,False,True
official_atac_fragments,ITG,access_blocked,AD_Knowledge_Portal_syn26223298,accept_applicable_terms_and_use_valid_ADKP_credentials,False,False,True
official_atac_fragments,AnG,access_blocked,AD_Knowledge_Portal_syn26223298,accept_applicable_terms_and_use_valid_ADKP_credentials,False,False,True
official_atac_fragments,FI,access_blocked,AD_Knowledge_Portal_syn26223298,accept_applicable_terms_and_use_valid_ADKP_credentials,False,False,True
official_atac_fragments,Caudate_Nucleus,access_blocked,AD_Knowledge_Portal_syn26223298,accept_applicable_terms_and_use_valid_ADKP_credentials,False,False,True
