condition,maximum_r2,mean_r2,median_r2,minimum_r2,p10_r2,p90_r2,representation
original,0.3452281971846132,0.19426442393794427,0.18101080233047773,-0.03139440596461496,0.023876084423828086,0.32602451135290994,cross_attention_flattened
original,0.13529988276052074,-0.04095939132229542,-0.04402267437889318,-0.23115308334558438,-0.1335373541147144,0.07372302125180276,cross_attention_pooled
original,0.14117594202252381,-0.09101806913382669,-0.10718809388158479,-0.2834561824691302,-0.22443083266854794,0.05765205482509194,post_latent_blocks_flattened
original,0.1636264892220599,-0.11501975283513403,-0.11840483593187945,-0.388954911401556,-0.2755855172593608,0.04538627334233659,final_slots_flattened
original,0.0845066395038857,-0.10008897017154901,-0.08595803327410856,-0.3056532614562757,-0.24695417612645296,0.027330393068241452,final_slots_pooled
scaled_learned_ranking,0.5618192147304821,0.4506072187544433,0.4521677911590989,0.28172989043671093,0.3695294235146409,0.5217624781933367,cross_attention_flattened
scaled_learned_ranking,0.23966956263731876,-0.22499449070363226,-0.23749620392089943,-0.7741465562106267,-0.4398349272351627,-0.018796283314659677,cross_attention_pooled
scaled_learned_ranking,0.5854156599042982,0.42106472497411834,0.4234094279446733,0.18387164623730423,0.3457120637531018,0.5073813242021081,post_latent_blocks_flattened
scaled_learned_ranking,0.5775357253439956,0.41997008952833836,0.40881490122749276,0.19820924592945965,0.3574025504311505,0.5077721596267092,final_slots_flattened
scaled_learned_ranking,0.11834716731586392,-0.2505118187233907,-0.2354284215506175,-0.8109087063896432,-0.5125654054729716,-0.021804074172533904,final_slots_pooled
scaled_permuted_ranking,-0.1480637658973074,-0.2758971064173184,-0.2657001451186105,-0.4437028067332329,-0.35764292138915377,-0.18977980409272557,cross_attention_flattened
scaled_permuted_ranking,-0.5891114458820841,-1.0807805390957597,-0.9899431086727353,-1.8297119378026134,-1.552926798124082,-0.7291613499449251,cross_attention_pooled
scaled_permuted_ranking,-0.17844085055837877,-0.3074486574905063,-0.3188471255087484,-0.43115560211630033,-0.3953398633470499,-0.19714839378959573,post_latent_blocks_flattened
scaled_permuted_ranking,-0.18492855080420156,-0.30914167538775983,-0.3223699453070161,-0.427581286872478,-0.40157231694496376,-0.20416313842842085,final_slots_flattened
scaled_permuted_ranking,-0.6465769945512787,-1.067419658179333,-0.9702473671766745,-1.9009604235539515,-1.5607636081996104,-0.6961034946670593,final_slots_pooled
