dataset_id,study_id,source_path,matrix_semantics,feature_identifier_type,n_obs,n_vars,r_object_class,compression_layers,archive_member_count,unsafe_archive_member_count,source_partition_count,feature_count_min,feature_count_max,matrix_dimension_consistency_pass,matrix_orientation,rna_vocabulary_eligible,open_read_only_pass,physical_merge_performed
GSE134577,GSE134577,data/external/v4/living_human/geo/GSE134577/GSE134577_RAW.tar,processed_10x_raw_integer_count_partitions,10x_feature_id_and_symbol,25092,33538,,,18,0,18,33538,33538,True,cell_by_feature_or_source_documented,True,True,False
GSE134577,GSE134577,data/external/v4/living_human/geo/GSE134577/GSE134577_family.soft.gz,geo_soft_sample_metadata,not_applicable,,,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
GSE181279,GSE181279,data/external/v4/living_human/geo/GSE181279/GSE181279_barcodes.tsv.gz,published_compressed_processed_representation,inspect_during_harmonization,,,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
GSE181279,GSE181279,data/external/v4/living_human/geo/GSE181279/GSE181279_family.soft.gz,geo_soft_sample_metadata,not_applicable,,,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
GSE181279,GSE181279,data/external/v4/living_human/geo/GSE181279/GSE181279_features.tsv.gz,published_compressed_processed_representation,inspect_during_harmonization,,,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
GSE181279,GSE181279,data/external/v4/living_human/geo/GSE181279/GSE181279_matrix.mtx.gz,raw_integer_counts_10x_feature_by_cell_source,companion_10x_features_tsv,36849,32738,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
GSE200164,GSE200164,data/external/v4/living_human/geo/GSE200164/GSE200164_counts.csv.gz,published_raw_count_gene_by_cell_csv,gene_symbol_with_genomic_annotation_columns,70391,,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
GSE200164,GSE200164,data/external/v4/living_human/geo/GSE200164/GSE200164_family.soft.gz,geo_soft_sample_metadata,not_applicable,,,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
GSE200164,GSE200164,data/external/v4/living_human/geo/GSE200164/GSE200164_lognorm_expression.csv.gz,published_lognormalized_gene_by_cell_csv,gene_symbol_with_genomic_annotation_columns,70391,,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
GSE226267,GSE226267,data/external/v4/living_human/geo/GSE226267/GSE226267_atac_cd4_raw_peaks.rds.gz,published_raw_sparse_peak_matrix_rds,genomic_peak_coordinates,217169,500716,dgCMatrix,2,0,0,,,,,cell_by_feature_or_source_documented,False,True,False
GSE226267,GSE226267,data/external/v4/living_human/geo/GSE226267/GSE226267_atac_noncd4_raw_peaks.rds.gz,published_raw_sparse_peak_matrix_rds,genomic_peak_coordinates,258860,500716,dgCMatrix,2,0,0,,,,,cell_by_feature_or_source_documented,False,True,False
GSE226267,GSE226267,data/external/v4/living_human/geo/GSE226267/GSE226267_family.soft.gz,geo_soft_sample_metadata,not_applicable,,,,,0,0,,,,,cell_by_feature_or_source_documented,False,True,False
GSE226602,GSE226602,data/external/v4/living_human/geo/GSE226602/GSE226602_family.soft.gz,geo_soft_sample_metadata,not_applicable,,,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
GSE226602,GSE226602,data/external/v4/living_human/geo/GSE226602/GSE226602_rna_lognorm_expression.rds.gz,published_lognormalized_expression_rds,gene_symbol,270884,22465,dgCMatrix,2,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
GSE226602,GSE226602,data/external/v4/living_human/geo/GSE226602/GSE226602_rna_raw_counts.rds.gz,published_raw_count_rds,gene_symbol,270884,22465,dgCMatrix,2,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
GSE270454,GSE270454,data/external/v4/living_human/geo/GSE270454/GSE270454_RNAseq-combined-counts-matrix.csv.gz,published_compressed_processed_representation,inspect_during_harmonization,,,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
GSE270454,GSE270454,data/external/v4/living_human/geo/GSE270454/GSE270454_family.soft.gz,geo_soft_sample_metadata,not_applicable,,,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
GSE292141,GSE292141,data/external/v4/living_human/geo/GSE292141/GSE292141_RAW.tar,processed_10x_raw_integer_count_partitions,10x_feature_id_and_symbol,150505,36601,,,60,0,20,36601,36601,True,cell_by_feature_or_source_documented,True,True,False
GSE292141,GSE292141,data/external/v4/living_human/geo/GSE292141/GSE292141_family.soft.gz,geo_soft_sample_metadata,not_applicable,,,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
GSE302937,GSE302937,data/external/v4/living_human/geo/GSE302937/GSE302937_RAW.tar,processed_10x_raw_integer_count_partitions,10x_feature_id_and_symbol,351327,38606,,,22,0,22,36601,38606,True,cell_by_feature_or_source_documented,True,True,False
GSE302937,GSE302937,data/external/v4/living_human/geo/GSE302937/GSE302937_family.soft.gz,geo_soft_sample_metadata,not_applicable,,,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
GSE305625,GSE305625,data/external/v4/living_human/geo/GSE305625/GSE305625_family.soft.gz,geo_soft_sample_metadata,not_applicable,,,,,0,0,,,,,cell_by_feature_or_source_documented,False,True,False
GSE305625,GSE305625,data/external/v4/living_human/geo/GSE305625/GSE305625_non_normalized.txt.gz,published_compressed_processed_representation,inspect_during_harmonization,,,,,0,0,,,,,cell_by_feature_or_source_documented,False,True,False
GSE305625,GSE305625,data/external/v4/living_human/geo/GSE305625/GSE305625_normalized_data.txt.gz,published_compressed_processed_representation,inspect_during_harmonization,,,,,0,0,,,,,cell_by_feature_or_source_documented,False,True,False
e2a325e2-5633-4950-ae46-ebff70979e3b,HVS,data/external/v4/living_human/hvs/19cd530b-622c-4bd8-b738-dbf169412cb0.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,4683,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
a30db232-08a6-48f0-ab9f-ad6977b8a6b1,HVS,data/external/v4/living_human/hvs/38374d1b-6549-4429-b59a-ff2706dacd96.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,8213,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
5e7fff82-b8eb-4220-bf65-c6feb6765ea1,HVS,data/external/v4/living_human/hvs/42c9001a-3a29-4952-aaa0-b55e73851a5c.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,563,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
