matrix_id,source_dataset_id,molecular_address_id,source_feature_indices,mapping_evidence_classes,unregistered_source_rows
NPH52::matrix::Astro_data_arranged_updatedId_final_batches.qs,NPH52::Astro_data_arranged_updatedId_final_batches.qs,ENSG00000183889,1217|12903,SOURCE_EXACT|SOURCE_LOCAL_EXACT,2
NPH52::matrix::Astro_data_arranged_updatedId_final_batches.qs,NPH52::Astro_data_arranged_updatedId_final_batches.qs,ENSG00000281635,29166|31663,LEGACY_ENSEMBL_EXACT,2
NPH52::matrix::Endo_data_arranged_updatedId_final_batches.qs,NPH52::Endo_data_arranged_updatedId_final_batches.qs,ENSG00000183889,693|10465,SOURCE_EXACT|SOURCE_LOCAL_EXACT,2
NPH52::matrix::Endo_data_arranged_updatedId_final_batches.qs,NPH52::Endo_data_arranged_updatedId_final_batches.qs,ENSG00000281635,30848|31845,LEGACY_ENSEMBL_EXACT,2
NPH52::matrix::ExN_data_arranged_updatedId_final_batches.qs,NPH52::ExN_data_arranged_updatedId_final_batches.qs,ENSG00000183889,1666|14851,SOURCE_EXACT|SOURCE_LOCAL_EXACT,2
NPH52::matrix::ExN_data_arranged_updatedId_final_batches.qs,NPH52::ExN_data_arranged_updatedId_final_batches.qs,ENSG00000281635,1016|1017,LEGACY_ENSEMBL_EXACT,2
NPH52::matrix::InN_data_arranged_updatedId_final_batches.qs,NPH52::InN_data_arranged_updatedId_final_batches.qs,ENSG00000183889,1336|13522,SOURCE_EXACT|SOURCE_LOCAL_EXACT,2
NPH52::matrix::InN_data_arranged_updatedId_final_batches.qs,NPH52::InN_data_arranged_updatedId_final_batches.qs,ENSG00000281635,849|30535,LEGACY_ENSEMBL_EXACT,2
NPH52::matrix::MG_data_arranged_updatedId_final_batches.qs,NPH52::MG_data_arranged_updatedId_final_batches.qs,ENSG00000183889,1004|11985,SOURCE_EXACT|SOURCE_LOCAL_EXACT,2
NPH52::matrix::MG_data_arranged_updatedId_final_batches.qs,NPH52::MG_data_arranged_updatedId_final_batches.qs,ENSG00000281635,29971|32095,LEGACY_ENSEMBL_EXACT,2
NPH52::matrix::OPC_data_arranged_updatedId_final_batches.qs,NPH52::OPC_data_arranged_updatedId_final_batches.qs,ENSG00000183889,1122|12242,SOURCE_EXACT|SOURCE_LOCAL_EXACT,2
NPH52::matrix::OPC_data_arranged_updatedId_final_batches.qs,NPH52::OPC_data_arranged_updatedId_final_batches.qs,ENSG00000281635,27511|32530,LEGACY_ENSEMBL_EXACT,2
NPH52::matrix::Oligo_data_arranged_updatedId_final_batches.qs,NPH52::Oligo_data_arranged_updatedId_final_batches.qs,ENSG00000183889,1552|14328,SOURCE_EXACT|SOURCE_LOCAL_EXACT,2
NPH52::matrix::Oligo_data_arranged_updatedId_final_batches.qs,NPH52::Oligo_data_arranged_updatedId_final_batches.qs,ENSG00000281635,29983|32185,LEGACY_ENSEMBL_EXACT,2
