cross_cell_std,effective_rank,fixture,median_pairwise_distance,optimizer_step,representation,seed,top_singular_energy_fraction,top_singular_l1_fraction
0.15183842182159424,64.34069061279297,balanced_multifactor,5.2773590087890625,0,online_masked_pca160,8114001,0.9009493589401245,0.2436642199754715
0.07154858857393265,89.98310089111328,balanced_multifactor,4.961365699768066,0,target_final_flattened,8114001,0.9460684657096863,0.2614991068840027
0.09152566641569138,34.24437713623047,balanced_multifactor,4.8640618324279785,0,target_pca160,8114001,0.9621188044548035,0.3873128592967987
0.12181055545806885,64.20050811767578,balanced_multifactor,4.197383403778076,20,online_masked_pca160,8114001,0.8992249965667725,0.24254541099071503
0.07110799103975296,90.08892822265625,balanced_multifactor,4.936102390289307,20,target_final_flattened,8114001,0.9459646940231323,0.26124700903892517
0.09100838750600815,34.28925323486328,balanced_multifactor,4.836686134338379,20,target_pca160,8114001,0.9620465040206909,0.3869953453540802
0.13208681344985962,62.153682708740234,balanced_multifactor,4.658421993255615,50,online_masked_pca160,8114001,0.9079025387763977,0.25190192461013794
0.07022196799516678,90.24129486083984,balanced_multifactor,4.882250785827637,50,target_final_flattened,8114001,0.9459642171859741,0.2609809339046478
0.08991310000419617,34.35683822631836,balanced_multifactor,4.786250114440918,50,target_pca160,8114001,0.9620842337608337,0.386690616607666
0.13183727860450745,60.67985534667969,balanced_multifactor,4.709127902984619,100,online_masked_pca160,8114001,0.9127623438835144,0.25799560546875
0.0694391205906868,90.04833984375,balanced_multifactor,4.838030815124512,100,target_final_flattened,8114001,0.9464922547340393,0.2616710960865021
0.08865250647068024,34.225830078125,balanced_multifactor,4.744870662689209,100,target_pca160,8114001,0.9625203013420105,0.38773414492607117
0.1266813725233078,58.279945373535156,balanced_multifactor,4.684020519256592,200,online_masked_pca160,8114001,0.9230566620826721,0.27022141218185425
0.0682050958275795,88.11299896240234,balanced_multifactor,4.7567033767700195,200,target_final_flattened,8114001,0.9489500522613525,0.26673686504364014
