level,source,train_cells,train_donors,cell_fraction,donor_fraction
dataset,HVS,308499,62,0.04856911155077976,0.1103202846975089
dataset,NPH52,265401,19,0.04178389808293868,0.033807829181494664
dataset,sea_ad_ang_rna_final_2026,217235,37,0.034200794646769166,0.06583629893238434
dataset,sea_ad_caudate_rna_all_2025,828707,37,0.13046902170156804,0.06583629893238434
dataset,sea_ad_fi_rna_final_2026,223794,35,0.03523342296213344,0.06227758007117438
dataset,sea_ad_hip_rna_final_2026,180143,35,0.02836114691487531,0.06227758007117438
dataset,sea_ad_itg_rna_final_2026,345323,37,0.0543665662062111,0.06583629893238434
dataset,sea_ad_lec_rna_final_2026,151580,29,0.023864278097715703,0.051601423487544484
dataset,sea_ad_mec_rna_final_2026,767832,65,0.12088505330733107,0.11565836298932385
dataset,sea_ad_mtg_rna_final_2026,933272,68,0.1469314061803096,0.12099644128113879
dataset,sea_ad_pfc_a9_rna_final_2026,1099612,64,0.17311945222051298,0.11387900355871886
dataset,sea_ad_stg_rna_final_2026,473379,37,0.07452729978637393,0.06583629893238434
dataset,sea_ad_v1c_rna_final_2026,556976,37,0.0876885483424812,0.06583629893238434
