status,component,singular_value,eigenvalue,relative_eigengap_to_next,cumulative_fraction_of_audited_256_eigenvalue_sum
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,2463.39794921875,6068329.456215143,0.4233007620530281,0.24546386024173328
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,2,1870.7220458984375,3499600.9730104357,0.713094676422983,0.3870226813866629
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,3,1002.0250244140625,1004054.1495520025,0.3828987736517659,0.42763666077243
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,4,787.148681640625,619603.047008574,0.1645602883703648,0.4526995972582688
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,5,719.4727172851562,517640.9909176864,0.027920803434502386,0.4736381696885898
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,6,709.3574829101562,503188.0385606326,0.13293219972317571,0.49399212035388473
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,7,660.5286865234375,436298.14572037756,0.14955610143162004,0.511640375584185
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,8,609.1363525390625,371047.09598459303,0.12627617919072479,0.5266492265651713
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,9,569.3792114257812,324192.6864038445,0.27452474797647997,0.5397628171902358
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,10,484.9678039550781,235193.7708730111,0.09125659661892507,0.5492764026538877
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,11,462.3102722167969,213730.78779716883,0.10495247273186416,0.5579218106864834
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,12,437.3776550292969,191299.21311892662,0.061349481690296394,0.5656598617682823
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,13,423.7488708496094,179563.10554631893,0.020021768743748777,0.5729231874269197
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,14,419.4853210449219,175967.93457216118,0.11006598563395478,0.5800410884589094
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,15,395.72698974609375,156599.850413505,0.005909876114622224,0.5863755506981683
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,16,394.555908203125,155674.3646979928,0.06258395308540811,0.5926725770503404
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,17,382.010009765625,145931.6475611329,0.026107713999716713,0.5985755106007105
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,18,376.9903259277344,142121.7058430994,0.11098129453691377,0.6043243320501882
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,19,355.4558410644531,126348.85494683776,0.1353038496658701,0.6094351418531413
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,20,330.53497314453125,109253.368471656,0.0348936736445694,0.6138544394148447
