dataset_id,study_id,local_path,file_object_type,modality,intended_project_role,foundation_eligible,pathology_bearing,holdout_validation_adapter,size_bytes,registered_downloaded_asset,downloaded_but_unregistered,registry_sources,local_file_exists,registered_sha256,duplicate_physical_sha256,feature_count,feature_identifier_fields_available
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H18.06.006.MTG.4000.expand.rep1.matrix.csv,.06.006.MTG.4000.expand.rep1.matrix.csv,spatial RNA,context_qualification_or_reference,False,False,True,20719603,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,f330ce402222d4f0a00bb526feef8fd5860b8b37c23e93e9f048a36c1b0eef46,,0.0,adjacent source feature table preferred
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H18.06.006.MTG.4000.expand.rep2.barcodes.csv.gz,.06.006.MTG.4000.expand.rep2.barcodes.csv.gz,spatial RNA,context_qualification_or_reference,False,False,True,2004236500,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,f8574f1cdf4a2bf3ea11d0d2871b1b56a3233f2fc9e92d45a8e3f262fd21e1cb,,,
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H18.06.006.MTG.4000.expand.rep2.features.csv,.06.006.MTG.4000.expand.rep2.features.csv,spatial RNA,context_qualification_or_reference,False,False,True,568417,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,03bb9d32cf007fb078373f668ee85d62c6c15d70bd3c39a23cfcaff58678d1be,,,observation metadata; adjacent source genes.csv is authoritative
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H18.06.006.MTG.4000.expand.rep2.genes.csv,.06.006.MTG.4000.expand.rep2.genes.csv,spatial RNA,context_qualification_or_reference,False,False,True,29649,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,b7d883115e28f43e7b52dd172b25ffb4ba7a74a974816603529bb34342b01475,b7d883115e28f43e7b52dd172b25ffb4ba7a74a974816603529bb34342b01475,3999.0,tabular feature fields
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H18.06.006.MTG.4000.expand.rep2.matrix.csv,.06.006.MTG.4000.expand.rep2.matrix.csv,spatial RNA,context_qualification_or_reference,False,False,True,21470979,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,6336d28534675c9b2deb72383e1d1dc8e097991a05251be4e062af48086c9154,,0.0,adjacent source feature table preferred
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H18.06.006.MTG.4000.expand.rep3.barcodes.csv.gz,.06.006.MTG.4000.expand.rep3.barcodes.csv.gz,spatial RNA,context_qualification_or_reference,False,False,True,1826303136,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,e31dc4b6dd847e16ab305d406fd177b673e580f825b156c7fc536baa0c699391,,,
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H18.06.006.MTG.4000.expand.rep3.features.csv,.06.006.MTG.4000.expand.rep3.features.csv,spatial RNA,context_qualification_or_reference,False,False,True,560090,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,3761ba2a689e2081162f414b3ab9790bd77dd9270ccb12f750a62b1d192a2f27,,,observation metadata; adjacent source genes.csv is authoritative
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H18.06.006.MTG.4000.expand.rep3.genes.csv,.06.006.MTG.4000.expand.rep3.genes.csv,spatial RNA,context_qualification_or_reference,False,False,True,29649,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,b7d883115e28f43e7b52dd172b25ffb4ba7a74a974816603529bb34342b01475,b7d883115e28f43e7b52dd172b25ffb4ba7a74a974816603529bb34342b01475,3999.0,tabular feature fields
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H18.06.006.MTG.4000.expand.rep3.matrix.csv,.06.006.MTG.4000.expand.rep3.matrix.csv,spatial RNA,context_qualification_or_reference,False,False,True,18964836,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,cc163fe7e0dd7f30228abeb03ca7b08de381a0cec96055fb81379e77308119be,,0.0,adjacent source feature table preferred
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H19.30.001.STG.4000.expand.rep1.barcodes.csv.gz,.30.001.STG.4000.expand.rep1.barcodes.csv.gz,spatial RNA,context_qualification_or_reference,False,False,True,1167313349,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,22cc38efec73299baa2ee740b489ed3e3d7b2179582b06d82b4f172344f773d6,,,
