molecular_address_id,identity_class,operators_affected,matrix_address_collision_pairs,collision_evidence_classes
ENSG00000007001,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000013523,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000015479,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000023171,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000059804,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000062716,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000071127,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000081665,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000099290,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000100003,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000101883,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000103472,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000109321,current_exact,3,3,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000109762,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000115221,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000123908,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000125304,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000125804,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000127603,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000131400,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000133961,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000140323,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000144228,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000145365,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000145491,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000146147,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000147753,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000147761,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000151303,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
