belief_factor_r2,factor,family,full_noisy_factor_r2,measured_genes,panel,synthetic_full_expected_factor_r2,view,visible_factor_r2
0.9268513917922974,0,RANDOM_STRUCTURAL,0.9268490076065063,4096,FULL,0.9997069239616394,0,0.9268490076065063
0.9319185018539429,1,RANDOM_STRUCTURAL,0.931910514831543,4096,FULL,0.999603271484375,0,0.931910514831543
0.9176194667816162,2,RANDOM_STRUCTURAL,0.9176177382469177,4096,FULL,0.9996935725212097,0,0.9176177382469177
0.9206535816192627,3,RANDOM_STRUCTURAL,0.9206533432006836,4096,FULL,0.9996938705444336,0,0.9206533432006836
0.9355761408805847,4,RANDOM_STRUCTURAL,0.9355778694152832,4096,FULL,0.9997249245643616,0,0.9355778694152832
0.915949285030365,5,RANDOM_STRUCTURAL,0.9159445762634277,4096,FULL,0.9998182058334351,0,0.9159445762634277
0.9256362915039062,6,RANDOM_STRUCTURAL,0.9256373047828674,4096,FULL,0.999753475189209,0,0.9256373047828674
0.9399718642234802,7,RANDOM_STRUCTURAL,0.9399712085723877,4096,FULL,0.9998337030410767,0,0.9399712085723877
0.9220575094223022,8,RANDOM_STRUCTURAL,0.9220522046089172,4096,FULL,0.9998118877410889,0,0.9220522046089172
0.9183302521705627,9,RANDOM_STRUCTURAL,0.9183292388916016,4096,FULL,0.999756395816803,0,0.9183292388916016
0.9208657741546631,10,RANDOM_STRUCTURAL,0.9208675026893616,4096,FULL,0.9998034834861755,0,0.9208675026893616
0.924828052520752,11,RANDOM_STRUCTURAL,0.9248294830322266,4096,FULL,0.9997077584266663,0,0.9248294830322266
0.9009763598442078,12,RANDOM_STRUCTURAL,0.9009741544723511,4096,FULL,0.9995116591453552,0,0.9009741544723511
0.912318766117096,13,RANDOM_STRUCTURAL,0.9123201370239258,4096,FULL,0.999675452709198,0,0.9123201370239258
0.9044028520584106,14,RANDOM_STRUCTURAL,0.90440434217453,4096,FULL,0.9996501803398132,0,0.90440434217453
0.9089157581329346,15,RANDOM_STRUCTURAL,0.9089164137840271,4096,FULL,0.9996601343154907,0,0.9089164137840271
0.9296060800552368,16,RANDOM_STRUCTURAL,0.9296056628227234,4096,FULL,0.9996871948242188,0,0.9296056628227234
0.9200258851051331,17,RANDOM_STRUCTURAL,0.920025646686554,4096,FULL,0.9997584223747253,0,0.920025646686554
0.9053352475166321,18,RANDOM_STRUCTURAL,0.9053320288658142,4096,FULL,0.9995671510696411,0,0.9053320288658142
0.9226025342941284,19,RANDOM_STRUCTURAL,0.9226025938987732,4096,FULL,0.9995852708816528,0,0.9226025938987732
0.922766923904419,20,RANDOM_STRUCTURAL,0.9227639436721802,4096,FULL,0.9997418522834778,0,0.9227639436721802
0.9148374795913696,21,RANDOM_STRUCTURAL,0.9148358106613159,4096,FULL,0.999735414981842,0,0.9148358106613159
0.9105603098869324,22,RANDOM_STRUCTURAL,0.9105627536773682,4096,FULL,0.9997698068618774,0,0.9105627536773682
0.9233307242393494,23,RANDOM_STRUCTURAL,0.9233300089836121,4096,FULL,0.9997262358665466,0,0.9233300089836121
0.9537020325660706,24,RANDOM_STRUCTURAL,0.9536994099617004,4096,FULL,0.9998651742935181,0,0.9536994099617004
0.9281997680664062,25,RANDOM_STRUCTURAL,0.9281983375549316,4096,FULL,0.9996996521949768,0,0.9281983375549316
0.9188319444656372,26,RANDOM_STRUCTURAL,0.918828010559082,4096,FULL,0.9997177124023438,0,0.918828010559082
0.9161304235458374,27,RANDOM_STRUCTURAL,0.9161288738250732,4096,FULL,0.9997807145118713,0,0.9161288738250732
0.9221045970916748,28,RANDOM_STRUCTURAL,0.92210453748703,4096,FULL,0.9997812509536743,0,0.92210453748703
0.929480791091919,29,RANDOM_STRUCTURAL,0.9294819831848145,4096,FULL,0.9995689392089844,0,0.9294819831848145
0.926078736782074,30,RANDOM_STRUCTURAL,0.9260779619216919,4096,FULL,0.999765932559967,0,0.9260779619216919
0.9279900193214417,31,RANDOM_STRUCTURAL,0.9279899001121521,4096,FULL,0.999787449836731,0,0.9279899001121521
0.9112798571586609,0,RANDOM_STRUCTURAL,0.9268490076065063,3277,P80,0.9997069239616394,0,0.9112764596939087
0.9208073019981384,1,RANDOM_STRUCTURAL,0.931910514831543,3277,P80,0.999603271484375,0,0.920802116394043
0.9056423902511597,2,RANDOM_STRUCTURAL,0.9176177382469177,3277,P80,0.9996935725212097,0,0.9056414365768433
0.9085429310798645,3,RANDOM_STRUCTURAL,0.9206533432006836,3277,P80,0.9996938705444336,0,0.9085424542427063
0.9211173057556152,4,RANDOM_STRUCTURAL,0.9355778694152832,3277,P80,0.9997249245643616,0,0.9211191534996033
0.9051674008369446,5,RANDOM_STRUCTURAL,0.9159445762634277,3277,P80,0.9998182058334351,0,0.9051651954650879
0.9102150201797485,6,RANDOM_STRUCTURAL,0.9256373047828674,3277,P80,0.999753475189209,0,0.9102172255516052
0.9301630258560181,7,RANDOM_STRUCTURAL,0.9399712085723877,3277,P80,0.9998337030410767,0,0.9301632642745972
0.9102481007575989,8,RANDOM_STRUCTURAL,0.9220522046089172,3277,P80,0.9998118877410889,0,0.9102425575256348
0.9066174030303955,9,RANDOM_STRUCTURAL,0.9183292388916016,3277,P80,0.999756395816803,0,0.906617283821106
0.9119074940681458,10,RANDOM_STRUCTURAL,0.9208675026893616,3277,P80,0.9998034834861755,0,0.9119067192077637
0.912399411201477,11,RANDOM_STRUCTURAL,0.9248294830322266,3277,P80,0.9997077584266663,0,0.9124022722244263
0.8711474537849426,12,RANDOM_STRUCTURAL,0.9009741544723511,3277,P80,0.9995116591453552,0,0.8711457252502441
