condition,index,major_family,mean_biological_squared_error,panel_squared_energy_coverage,rho_with_biological_risk,type,view
RANDOM_STRUCTURAL_P60_V0,0,RANDOM_STRUCTURAL,,,-0.0011075777001678944,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,1,RANDOM_STRUCTURAL,,,0.05233277752995491,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,2,RANDOM_STRUCTURAL,,,0.004495220258831978,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,3,RANDOM_STRUCTURAL,,,-0.02231677807867527,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,4,RANDOM_STRUCTURAL,,,-0.033131930977106094,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,5,RANDOM_STRUCTURAL,,,-0.017771758139133453,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,6,RANDOM_STRUCTURAL,,,0.06574279814958572,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,7,RANDOM_STRUCTURAL,,,0.06581825762987137,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,8,RANDOM_STRUCTURAL,,,0.0467609167098999,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,9,RANDOM_STRUCTURAL,,,0.043738946318626404,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,10,RANDOM_STRUCTURAL,,,-0.03844192251563072,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,11,RANDOM_STRUCTURAL,,,0.10504240542650223,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,12,RANDOM_STRUCTURAL,,,-0.15802812576293945,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,13,RANDOM_STRUCTURAL,,,-0.01775548607110977,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,14,RANDOM_STRUCTURAL,,,0.023655476048588753,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,15,RANDOM_STRUCTURAL,,,0.05515965819358826,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,16,RANDOM_STRUCTURAL,,,0.03947126865386963,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,17,RANDOM_STRUCTURAL,,,-0.006583596114069223,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,18,RANDOM_STRUCTURAL,,,-0.049499817192554474,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,19,RANDOM_STRUCTURAL,,,0.0027541026938706636,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,20,RANDOM_STRUCTURAL,,,0.056279126554727554,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,21,RANDOM_STRUCTURAL,,,0.03664259985089302,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,22,RANDOM_STRUCTURAL,,,0.04856666922569275,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,23,RANDOM_STRUCTURAL,,,-0.05015401169657707,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,24,RANDOM_STRUCTURAL,,,-0.04352061450481415,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,25,RANDOM_STRUCTURAL,,,-0.033438511192798615,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,26,RANDOM_STRUCTURAL,,,0.046807315200567245,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,27,RANDOM_STRUCTURAL,,,-0.028329959139227867,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,28,RANDOM_STRUCTURAL,,,-0.02156870625913143,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,29,RANDOM_STRUCTURAL,,,-0.005494973156601191,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,30,RANDOM_STRUCTURAL,,,0.18874427676200867,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,31,RANDOM_STRUCTURAL,,,0.035329386591911316,synthetic_factor,0
RANDOM_STRUCTURAL_P60_V0,0,RANDOM_STRUCTURAL,0.18294206261634827,0.6047327061014728,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,1,RANDOM_STRUCTURAL,0.6233729124069214,0.60288269700665,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,2,RANDOM_STRUCTURAL,0.1795412003993988,0.6034913195955587,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,3,RANDOM_STRUCTURAL,0.15585434436798096,0.6095705612172867,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,4,RANDOM_STRUCTURAL,0.15612007677555084,0.6117671577645261,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,5,RANDOM_STRUCTURAL,0.13534575700759888,0.6074832621353063,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,6,RANDOM_STRUCTURAL,0.14959630370140076,0.5943301765394243,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,7,RANDOM_STRUCTURAL,0.15246683359146118,0.6002719374376476,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,8,RANDOM_STRUCTURAL,0.1450171023607254,0.6094464371649086,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,9,RANDOM_STRUCTURAL,0.15206655859947205,0.6120405883932696,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,10,RANDOM_STRUCTURAL,0.15137991309165955,0.6013652617212848,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,11,RANDOM_STRUCTURAL,0.1922655701637268,0.5911668330434331,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,12,RANDOM_STRUCTURAL,0.16408127546310425,0.5777984576994663,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,13,RANDOM_STRUCTURAL,0.1598297655582428,0.5959750722802627,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,14,RANDOM_STRUCTURAL,0.135823056101799,0.606492276612139,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,15,RANDOM_STRUCTURAL,0.1543179750442505,0.5935853415696796,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,16,RANDOM_STRUCTURAL,0.1392807960510254,0.6207476983767797,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,17,RANDOM_STRUCTURAL,0.1666565239429474,0.6017761584823109,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,18,RANDOM_STRUCTURAL,0.18702225387096405,0.5985420092568686,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,19,RANDOM_STRUCTURAL,0.15065893530845642,0.603191478980708,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,20,RANDOM_STRUCTURAL,0.1559162139892578,0.5977518245495422,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,21,RANDOM_STRUCTURAL,0.14906513690948486,0.6072237837281486,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,22,RANDOM_STRUCTURAL,0.1423872411251068,0.6111686055575087,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,23,RANDOM_STRUCTURAL,0.18638640642166138,0.5873965362235799,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,24,RANDOM_STRUCTURAL,0.1486770212650299,0.6142690449272091,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,25,RANDOM_STRUCTURAL,0.13610222935676575,0.6067522791701339,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,26,RANDOM_STRUCTURAL,0.1349145770072937,0.6014719005450937,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,27,RANDOM_STRUCTURAL,0.13625721633434296,0.6162135195168298,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,28,RANDOM_STRUCTURAL,0.12867218255996704,0.6163667560583556,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,29,RANDOM_STRUCTURAL,0.12653848528862,0.6098493962933388,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,30,RANDOM_STRUCTURAL,0.09651941061019897,0.6159244308452452,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,31,RANDOM_STRUCTURAL,0.10280196368694305,0.6205778187344388,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,32,RANDOM_STRUCTURAL,0.06688704341650009,0.6190110462187293,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,33,RANDOM_STRUCTURAL,0.05559532716870308,0.6058970730256286,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,34,RANDOM_STRUCTURAL,0.05230981111526489,0.5789862292207196,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,35,RANDOM_STRUCTURAL,0.043964020907878876,0.598420692317216,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,36,RANDOM_STRUCTURAL,0.06069309264421463,0.6019810669629821,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,37,RANDOM_STRUCTURAL,0.04713108018040657,0.5782580329575144,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,38,RANDOM_STRUCTURAL,0.0349324569106102,0.5676490916768657,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,39,RANDOM_STRUCTURAL,0.04131827503442764,0.5991130590866146,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,40,RANDOM_STRUCTURAL,0.037967756390571594,0.5954968548836603,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,41,RANDOM_STRUCTURAL,0.06139194965362549,0.621525552760897,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,42,RANDOM_STRUCTURAL,0.05874556303024292,0.5923910714582544,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,43,RANDOM_STRUCTURAL,0.03544148802757263,0.6149466152391944,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,44,RANDOM_STRUCTURAL,0.047061435878276825,0.6042380434609649,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,45,RANDOM_STRUCTURAL,0.09677287191152573,0.6155938275127725,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,46,RANDOM_STRUCTURAL,0.05032786354422569,0.6094664472992097,,reppca_coordinate,0
RANDOM_STRUCTURAL_P60_V0,47,RANDOM_STRUCTURAL,0.02030980959534645,0.6011618329597069,,reppca_coordinate,0
