chunk_genes,feature_centering,full_token_tensor_persisted,kernel_definition,maximum_r2,mean_r2,median_r2,minimum_r2,optimizer_step,representation,ridge_alpha
128,training-cell mean per tokenizer feature,False,sum over centered 4096x160 tokenizer features,,0.834826276798368,0.8359269542441448,,0,full_token_linear_kernel,0.001
,,,,0.16624344276829994,-0.034057490904641996,-0.04160596886339718,-0.2264906861585989,0,token_mean,
,,,,0.06507340697466846,-0.08943254413675596,-0.08985444460554026,-0.25399226115317775,0,cross_attention_mean,
,,,,0.0535598840730227,-0.1595666092688,-0.17229837609544685,-0.4493427303942672,0,final_target_mean,
,,,,0.8818850735562087,0.8563325578941587,0.8575416010850897,0.8296516866368109,0,full_raw_expression,
,,,,0.6017012536093833,0.5327994344276236,0.5310254017336742,0.4901149117791931,0,visible_60_percent_raw_expression,
,,,,0.4114665637198033,0.35838238513620924,0.36389389436984354,0.2871239693023394,0,hidden_40_percent_raw_expression,
128,training-cell mean per tokenizer feature,False,sum over centered 4096x160 tokenizer features,,0.8347910743587789,0.8358698288812669,,100,full_token_linear_kernel,0.001
,,,,0.1529899070479932,-0.03604302846376789,-0.04852404582206726,-0.2095466551210492,100,token_mean,
,,,,0.12512990523543,-0.12330625470960835,-0.11473475625264262,-0.39465181742960165,100,cross_attention_mean,
,,,,0.08380480696408221,-0.18207738182519406,-0.19163144301632462,-0.4327113151616886,100,final_target_mean,
,,,,0.8818850735562087,0.8563325578941587,0.8575416010850897,0.8296516866368109,100,full_raw_expression,
,,,,0.5910146215135789,0.5369220670625962,0.5365284942542916,0.4588633814727672,100,visible_60_percent_raw_expression,
,,,,0.44978751160634767,0.3617680643713157,0.36734557893675135,0.26822906959781123,100,hidden_40_percent_raw_expression,
128,training-cell mean per tokenizer feature,False,sum over centered 4096x160 tokenizer features,,0.8346858518222369,0.8357436281006257,,300,full_token_linear_kernel,0.001
,,,,0.16582719887210684,-0.04471354838755768,-0.06584268587074105,-0.24192789512966373,300,token_mean,
,,,,0.11575378508542289,-0.08798696165411501,-0.08855656583432259,-0.32727685161418507,300,cross_attention_mean,
,,,,0.022331796759405775,-0.12518073301637267,-0.09778577604124239,-0.44423609210546067,300,final_target_mean,
,,,,0.8818850735562087,0.8563325578941587,0.8575416010850897,0.8296516866368109,300,full_raw_expression,
,,,,0.6082670277915023,0.5413360352835062,0.5387619495176597,0.4848562806696388,300,visible_60_percent_raw_expression,
,,,,0.4402970769436896,0.34640189340183486,0.34539671653166526,0.29671377278997735,300,hidden_40_percent_raw_expression,
128,training-cell mean per tokenizer feature,False,sum over centered 4096x160 tokenizer features,,0.8345105418491434,0.8355599099473733,,500,full_token_linear_kernel,0.001
,,,,0.15456051421573302,-0.03412788830473193,-0.03357813574513013,-0.2467014640002534,500,token_mean,
,,,,0.10780513526743007,-0.05728630973458178,-0.05589910575904877,-0.2543251009301353,500,cross_attention_mean,
,,,,0.08831120921507474,-0.10593981352971574,-0.10560628685398155,-0.3613622882923868,500,final_target_mean,
,,,,0.8818850735562087,0.8563325578941587,0.8575416010850897,0.8296516866368109,500,full_raw_expression,
,,,,0.5766862174749172,0.5367772615472531,0.5392380139481505,0.48746131560343076,500,visible_60_percent_raw_expression,
,,,,0.4200012287410393,0.35199875945611075,0.35181759560351966,0.2960432733070103,500,hidden_40_percent_raw_expression,
