fixture,uncertainty_type,level,mean_distance_to_reference,rare_mean,common_mean
overlapping_programs,U_BIO,0.2,9.624526678003575,9.837239222446858,9.62115028840924
overlapping_programs,U_BIO,0.4,5.8331348151759554,6.987087920552769,5.814818099217593
overlapping_programs,U_BIO,0.6,3.9813540009584902,4.502588901081433,3.9730804311152697
overlapping_programs,U_BIO,0.8,2.430761733976884,2.674811549167244,2.426887927386561
overlapping_programs,U_BIO,1.0,0.0,0.0,0.0
overlapping_programs,U_MEAS,0.5,7.014213362055818,7.295025807081386,7.009756021658586
overlapping_programs,U_MEAS,0.25,3.471273173999922,3.849735696699418,3.4652658323697714
overlapping_programs,U_MEAS,0.1,1.3963075089258687,1.343062915630874,1.3971526612003924
overlapping_programs,U_MEAS,0.0,0.0,0.0,0.0
rare_tail_difficult,U_BIO,0.2,9.94836940700458,14.140601863694815,9.881826034676163
rare_tail_difficult,U_BIO,0.4,6.099604819156726,8.683095144826401,6.058597036209588
rare_tail_difficult,U_BIO,0.6,3.985645890269483,5.3794023894811245,3.963522771234378
rare_tail_difficult,U_BIO,0.8,2.4603395590826036,3.3301538562930575,2.446532982936406
rare_tail_difficult,U_BIO,1.0,0.0,0.0,0.0
rare_tail_difficult,U_MEAS,0.5,7.208743547099534,7.964871718298983,7.196741512636049
rare_tail_difficult,U_MEAS,0.25,3.613865876915419,4.057238863396234,3.6068282104633433
rare_tail_difficult,U_MEAS,0.1,1.4132480413143629,1.5540503886573127,1.4110130834200303
rare_tail_difficult,U_MEAS,0.0,0.0,0.0,0.0
