vocabulary_index,canonical_ensembl_gene_id,canonical_hgnc_symbol,eligible_study_family_fraction,training_donor_measurement_fraction,donor_balanced_detection_rate,donor_balanced_expression_variability,broad_cell_class_coverage,cross_study_rank_stability,missingness_entropy,technical_flags,selection_score,vocabulary_eligible,selection_reason,vocabulary_hash
957,ENSG00000141905,NFIC,1.0,1.0,0.6431728011222853,0.009811308683132429,1.0,0.9823817280476173,0.0,,0.7792110439542544,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
958,ENSG00000160305,DIP2A,1.0,1.0,0.6491722716341514,0.009164058790427131,1.0,0.9585742941126298,0.0,,0.7791252952463221,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
959,ENSG00000226688,ENTPD1-AS1,1.0,1.0,0.6463602291894563,0.011291869112131607,1.0,0.9628576385322309,0.0,,0.779089795741348,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
960,ENSG00000088448,ANKRD10,1.0,1.0,0.6571306468092799,0.008604724541913413,1.0,0.9275065950288632,0.0,,0.7790811563523472,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
961,ENSG00000115896,PLCL1,1.0,1.0,0.6409859396374465,0.018999402454206712,1.0,0.9610619334770509,0.0,,0.7790470579471036,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
962,ENSG00000141568,FOXK2,1.0,1.0,0.6483980487659099,0.011617675334214312,1.0,0.9527522612304129,0.0,,0.7790398610629483,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
963,ENSG00000133121,STARD13,1.0,1.0,0.645007153198876,0.009359517965267737,1.0,0.972816310944756,0.0,,0.7790331556397919,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
964,ENSG00000078295,ADCY2,1.0,1.0,0.6871686109643224,0.029320198142089655,0.9523809523809524,0.8412049433836291,0.0,,0.7790048163922967,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
965,ENSG00000131626,PPFIA1,1.0,1.0,0.6508704990927654,0.005606584124415063,1.0,0.9590010378753813,0.0,,0.7789604505511912,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
966,ENSG00000139668,WDFY2,1.0,1.0,0.6431185276973066,0.008695791543872651,1.0,0.9806088228538387,0.0,,0.7789472706770343,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
967,ENSG00000132964,CDK8,1.0,1.0,0.658600606581906,0.006450449459620968,1.0,0.9248981436338849,0.0,,0.7789263946730944,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
968,ENSG00000106603,COA1,1.0,1.0,0.649270827786141,0.0066081925500643185,1.0,0.960871380714054,0.0,,0.7788824562451545,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
969,ENSG00000079805,DNM2,1.0,1.0,0.6399169411454975,0.010185605168815145,1.0,0.9864879370961552,0.0,,0.7788202207863214,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
970,ENSG00000172985,SH3RF3,1.0,1.0,0.6584402770959654,0.01735776721443406,1.0,0.8905792800411664,0.0,,0.7787762617704734,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
971,ENSG00000105983,LMBR1,1.0,1.0,0.6563993870733513,0.006278229250314925,1.0,0.9307056011904545,0.0,,0.7787510163253268,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
972,ENSG00000157741,UBN2,1.0,1.0,0.6582056424918586,0.006096808725658098,1.0,0.9238455622281686,0.0,,0.7787423860448777,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
973,ENSG00000049759,NEDD4L,1.0,1.0,0.6634749227881269,0.01915385408280795,1.0,0.8641389916607466,0.0,,0.7787210159710571,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
974,ENSG00000143797,MBOAT2,1.0,1.0,0.6536011220363732,0.0146713176875631,1.0,0.916468536919342,0.0,,0.7787125286175393,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
975,ENSG00000143952,VPS54,1.0,1.0,0.6558090698767983,0.006179585283932864,1.0,0.9324138144034881,0.0,,0.7787037495768128,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
976,ENSG00000198130,HIBCH,1.0,1.0,0.6490759427763656,0.027794407970137658,1.0,0.8965084745585665,0.0,,0.7786970278106556,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
977,ENSG00000059588,TARBP1,1.0,1.0,0.6518573154630412,0.030102101849630258,1.0,0.8788142176038255,0.0,,0.7786955406986191,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
