canonical_person_group_id,regions,sample_count,section_count,snrna_datasets,spatial_datasets,technologies
PERSON_0004,"[""STG"", ""approximately 100 adult human brain dissections""]",3,3,"[""CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443""]",[],"[""10x 3' v3 snRNA-seq"", ""MERFISH""]"
PERSON_0049,"[""DLPFC"", ""hippocampus"", ""nucleus accumbens""]",16,16,"[""GSE264624"", ""GSE307587"", ""spatialDLPFC""]","[""GSE264692"", ""GSE307586"", ""spatialDLPFC""]","[""10x Visium"", ""10x Visium and 10x snRNA-seq"", ""10x snRNA-seq""]"
PERSON_0050,"[""DLPFC"", ""hippocampus"", ""nucleus accumbens""]",14,14,"[""GSE264624"", ""GSE307587"", ""spatialDLPFC""]","[""GSE264692"", ""GSE307586"", ""GSE325489"", ""spatialDLPFC""]","[""10x Visium"", ""10x Visium and 10x snRNA-seq"", ""10x Xenium"", ""10x snRNA-seq""]"
PERSON_0051,"[""DLPFC"", ""hippocampus"", ""nucleus accumbens""]",15,15,"[""GSE264624"", ""GSE307587"", ""spatialDLPFC""]","[""GSE264692"", ""GSE307586"", ""spatialDLPFC""]","[""10x Visium"", ""10x Visium and 10x snRNA-seq"", ""10x snRNA-seq""]"
PERSON_0052,"[""DLPFC"", ""hippocampus"", ""nucleus accumbens""]",17,17,"[""GSE264624"", ""GSE307587"", ""spatialDLPFC""]","[""GSE264692"", ""GSE307586"", ""spatialDLPFC""]","[""10x Visium"", ""10x Visium and 10x snRNA-seq"", ""10x snRNA-seq""]"
PERSON_0053,"[""DLPFC"", ""hippocampus"", ""nucleus accumbens""]",15,15,"[""GSE264624"", ""GSE307587"", ""spatialDLPFC""]","[""GSE264692"", ""GSE307586"", ""spatialDLPFC""]","[""10x Visium"", ""10x Visium and 10x snRNA-seq"", ""10x snRNA-seq""]"
PERSON_0054,"[""DLPFC"", ""hippocampus"", ""nucleus accumbens""]",15,15,"[""GSE264624"", ""GSE307587"", ""spatialDLPFC""]","[""GSE264692"", ""GSE307586"", ""GSE325489"", ""spatialDLPFC""]","[""10x Visium"", ""10x Visium and 10x snRNA-seq"", ""10x Xenium"", ""10x snRNA-seq""]"
PERSON_0055,"[""DLPFC"", ""hippocampus"", ""nucleus accumbens""]",13,13,"[""GSE264624"", ""GSE307587"", ""spatialDLPFC""]","[""GSE264692"", ""GSE307586"", ""spatialDLPFC""]","[""10x Visium"", ""10x Visium and 10x snRNA-seq"", ""10x snRNA-seq""]"
PERSON_0056,"[""DLPFC"", ""hippocampus"", ""nucleus accumbens""]",13,13,"[""GSE264624"", ""GSE307587"", ""spatialDLPFC""]","[""GSE264692"", ""GSE307586"", ""spatialDLPFC""]","[""10x Visium"", ""10x Visium and 10x snRNA-seq"", ""10x snRNA-seq""]"
PERSON_0057,"[""DLPFC"", ""hippocampus"", ""nucleus accumbens""]",18,18,"[""GSE264624"", ""GSE307587"", ""spatialDLPFC""]","[""GSE264692"", ""GSE307586"", ""GSE325489"", ""spatialDLPFC""]","[""10x Visium"", ""10x Visium and 10x snRNA-seq"", ""10x Xenium"", ""10x snRNA-seq""]"
PERSON_0058,"[""DLPFC"", ""hippocampus"", ""nucleus accumbens""]",18,18,"[""GSE264624"", ""GSE307587"", ""spatialDLPFC""]","[""GSE264692"", ""GSE307586"", ""GSE325489"", ""spatialDLPFC""]","[""10x Visium"", ""10x Visium and 10x snRNA-seq"", ""10x Xenium"", ""10x snRNA-seq""]"
