basis,matrix_id,dataset_id,n_cells,median_euclidean_distance,median_normalized_squared_distance,median_cosine_similarity,median_coordinate_correlation,top1_same_cell_retrieval,top5_same_cell_retrieval,same_cell_vs_mismatch_distance_separation
BALANCED_REP160,sea_ad_ang_rna_final_2026,sea_ad_ang_rna_final_2026,2048,8.407844543457031,0.11054524779319763,0.9449107050895691,0.9447483420372009,0.99609375,1.0,0.8863825798034668
BALANCED_REP160,sea_ad_caudate_rna_all_2025,sea_ad_caudate_rna_all_2025,2048,6.203413963317871,0.06957779079675674,0.9654091000556946,0.9653410911560059,0.9375,1.0,0.7029674053192139
BALANCED_REP160,sea_ad_fi_rna_final_2026,sea_ad_fi_rna_final_2026,2048,8.957040786743164,0.1258937418460846,0.9371137619018555,0.9374403953552246,0.98828125,1.0,0.8680341839790344
BALANCED_REP160,sea_ad_hip_rna_final_2026,sea_ad_hip_rna_final_2026,2048,7.510454177856445,0.08188128471374512,0.9592282772064209,0.9592178463935852,0.98828125,1.0,0.8570060729980469
BALANCED_REP160,sea_ad_itg_rna_final_2026,sea_ad_itg_rna_final_2026,2048,7.196385383605957,0.10567145049571991,0.9473086595535278,0.9473541378974915,0.984375,1.0,0.8195316791534424
BALANCED_REP160,sea_ad_lec_rna_final_2026,sea_ad_lec_rna_final_2026,2048,7.430885314941406,0.08971293270587921,0.9552512168884277,0.955522894859314,0.99609375,1.0,0.8456658720970154
BALANCED_REP160,sea_ad_mec_rna_final_2026,sea_ad_mec_rna_final_2026,2048,7.822081565856934,0.11103351414203644,0.9446462988853455,0.9448184967041016,0.9921875,1.0,0.8914276957511902
BALANCED_REP160,sea_ad_mtg_rna_final_2026,sea_ad_mtg_rna_final_2026,2048,7.4742913246154785,0.1071518212556839,0.9466004371643066,0.9465723037719727,0.99609375,1.0,0.8391625881195068
BALANCED_REP160,sea_ad_pfc_a9_rna_final_2026,sea_ad_pfc_a9_rna_final_2026,2048,7.209708213806152,0.10483376681804657,0.9479751586914062,0.9478790760040283,0.9921875,1.0,0.8995761871337891
BALANCED_REP160,sea_ad_stg_rna_final_2026,sea_ad_stg_rna_final_2026,2048,6.431981086730957,0.0920080691576004,0.9542273879051208,0.9542925357818604,0.9921875,1.0,0.8270187377929688
BALANCED_REP160,sea_ad_v1c_rna_final_2026,sea_ad_v1c_rna_final_2026,2048,7.15268087387085,0.10675575584173203,0.9468041062355042,0.9465314149856567,0.98828125,1.0,0.6575936079025269
