mapping_type,matrix_or_source_id,dataset_id,mask_hash,measured_genes,vocabulary_genes
canonical_matrix,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::5fff0955-173e-407d-b160-64f513ca6db6,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::6201fd7d-f35b-4487-bace-99426881237b,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::77dc6994-2777-4fad-a445-4ff7d143a682,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::7958eba0-1d79-42e3-8947-a198f98578f2,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::7b96819c-598c-47a1-9cea-f410fc0c37fa,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::8dfadc37-e19c-4d4b-80d8-cee48e732bcf,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
