absolute_distance_units_supported,boundary_available,coordinate_class,coordinate_finite_fraction,dataset_id,duplicated_coordinate_fraction,physical_geometry,sample_id
false,false,GRID_SPOT_COORDINATES,,GSE264692,,true,V11L05-336_A1
false,false,GRID_SPOT_COORDINATES,,GSE264692,,true,V11L05-336_B1
false,false,GRID_SPOT_COORDINATES,,GSE264692,,true,V11L05-336_C1
false,false,GRID_SPOT_COORDINATES,,GSE264692,,true,V11L05-336_D1
false,false,GRID_SPOT_COORDINATES,,GSE264692,,true,V11U08-081_A1
false,false,GRID_SPOT_COORDINATES,,GSE264692,,true,V11U08-081_B1
false,false,GRID_SPOT_COORDINATES,,GSE264692,,true,V11U08-081_C1
false,false,GRID_SPOT_COORDINATES,,GSE264692,,true,V11U08-081_D1
false,false,GRID_SPOT_COORDINATES,,GSE264692,,true,V11U08-084_A1
false,false,GRID_SPOT_COORDINATES,,GSE264692,,true,V11U08-084_B1
false,false,GRID_SPOT_COORDINATES,,GSE264692,,true,V11U08-084_C1
false,false,GRID_SPOT_COORDINATES,,GSE264692,,true,V11U08-084_D1
false,false,GRID_SPOT_COORDINATES,,GSE264692,,true,V12F14-051_A1
false,false,GRID_SPOT_COORDINATES,,GSE264692,,true,V12F14-051_B1
false,false,GRID_SPOT_COORDINATES,,GSE264692,,true,V12F14-051_C1
false,false,GRID_SPOT_COORDINATES,,GSE264692,,true,V12F14-051_D1
false,false,GRID_SPOT_COORDINATES,,GSE278848,,true,GSM8555878
false,false,GRID_SPOT_COORDINATES,,GSE278848,,true,GSM8555879
false,false,GRID_SPOT_COORDINATES,,GSE278848,,true,GSM8555880
false,false,GRID_SPOT_COORDINATES,,GSE278848,,true,GSM8555881
false,false,GRID_SPOT_COORDINATES,,GSE278848,,true,GSM8555882
false,false,GRID_SPOT_COORDINATES,,GSE278848,,true,GSM8555883
false,false,GRID_SPOT_COORDINATES,,GSE278848,,true,GSM8555884
false,false,GRID_SPOT_COORDINATES,,GSE278848,,true,GSM8555885
false,false,GRID_SPOT_COORDINATES,,GSE278848,,true,GSM8555886
false,false,GRID_SPOT_COORDINATES,,GSE280316,,true,GSM8594572
false,false,GRID_SPOT_COORDINATES,,GSE280316,,true,GSM8594573
false,false,GRID_SPOT_COORDINATES,,GSE280316,,true,GSM8594574
false,false,GRID_SPOT_COORDINATES,,GSE280316,,true,GSM8594575
false,false,GRID_SPOT_COORDINATES,,GSE280316,,true,GSM8594576
false,false,GRID_SPOT_COORDINATES,,GSE280316,,true,GSM8594577
false,false,GRID_SPOT_COORDINATES,,GSE280316,,true,GSM8594578
false,false,GRID_SPOT_COORDINATES,,GSE280316,,true,GSM8594579
false,false,GRID_SPOT_COORDINATES,,GSE280316,,true,GSM8594580
false,false,GRID_SPOT_COORDINATES,,GSE280316,,true,GSM8594581
false,true,CELL_BOUNDARY_GEOMETRY,1.0,GSE280460,0.0,true,GSM8598169
false,true,CELL_BOUNDARY_GEOMETRY,1.0,GSE280460,0.0,true,GSM8598170
false,true,CELL_BOUNDARY_GEOMETRY,1.0,GSE280460,0.0,true,GSM8598171
false,true,CELL_BOUNDARY_GEOMETRY,1.0,GSE280460,0.0,true,GSM8598172
false,true,CELL_BOUNDARY_GEOMETRY,1.0,GSE280460,0.0,true,GSM8598173
false,true,CELL_BOUNDARY_GEOMETRY,1.0,GSE280460,0.0,true,GSM8598174
false,true,CELL_BOUNDARY_GEOMETRY,1.0,GSE280460,0.0,true,GSM8598175
false,true,CELL_BOUNDARY_GEOMETRY,1.0,GSE280460,0.0,true,GSM8598176
false,true,CELL_BOUNDARY_GEOMETRY,1.0,GSE280460,0.0,true,GSM8598177
false,true,CELL_BOUNDARY_GEOMETRY,1.0,GSE280460,0.0,true,GSM8598178
false,true,CELL_BOUNDARY_GEOMETRY,1.0,GSE280460,0.0,true,GSM8598179
false,true,CELL_BOUNDARY_GEOMETRY,1.0,GSE280460,0.0,true,GSM8598180
false,true,CELL_BOUNDARY_GEOMETRY,1.0,GSE280460,0.0,true,GSM8598181
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227428
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227429
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227430
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227431
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227432
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227433
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227434
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227435
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227436
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227437
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227438
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227439
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227440
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227441
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227442
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227443
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227444
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227445
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227446
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227447
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227448
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227449
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227450
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227451
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227452
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227453
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227454
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227455
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227456
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227457
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227458
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227459
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227460
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227461
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227462
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227463
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227464
false,false,GRID_SPOT_COORDINATES,,GSE307586,,true,GSM9227465
false,false,NO_SPATIAL_COORDINATES,,GSE307587,,false,GSM9227466
false,false,NO_SPATIAL_COORDINATES,,GSE307587,,false,GSM9227467
false,false,NO_SPATIAL_COORDINATES,,GSE307587,,false,GSM9227468
false,false,NO_SPATIAL_COORDINATES,,GSE307587,,false,GSM9227469
false,false,NO_SPATIAL_COORDINATES,,GSE307587,,false,GSM9227470
false,false,NO_SPATIAL_COORDINATES,,GSE307587,,false,GSM9227471
false,false,NO_SPATIAL_COORDINATES,,GSE307587,,false,GSM9227472
false,false,NO_SPATIAL_COORDINATES,,GSE307587,,false,GSM9227473
false,false,NO_SPATIAL_COORDINATES,,GSE307587,,false,GSM9227474
false,false,NO_SPATIAL_COORDINATES,,GSE307587,,false,GSM9227475
false,false,NO_SPATIAL_COORDINATES,,GSE307587,,false,GSM9227476
false,false,NO_SPATIAL_COORDINATES,,GSE307587,,false,GSM9227477
false,false,NO_SPATIAL_COORDINATES,,GSE307587,,false,GSM9227478
false,false,NO_SPATIAL_COORDINATES,,GSE307587,,false,GSM9227479
false,false,NO_SPATIAL_COORDINATES,,GSE307587,,false,GSM9227480
false,false,NO_SPATIAL_COORDINATES,,GSE307587,,false,GSM9227481
false,false,NO_SPATIAL_COORDINATES,,GSE307587,,false,GSM9227482
false,false,NO_SPATIAL_COORDINATES,,GSE307587,,false,GSM9227483
false,false,NO_SPATIAL_COORDINATES,,GSE307587,,false,GSM9227484
false,false,NO_SPATIAL_COORDINATES,,GSE307587,,false,GSM9227485
false,true,CELL_BOUNDARY_GEOMETRY,1.0,GSE325489,0.0,true,GSM9604821
false,true,CELL_BOUNDARY_GEOMETRY,1.0,GSE325489,0.0,true,GSM9604822
false,true,CELL_BOUNDARY_GEOMETRY,1.0,GSE325489,0.0,true,GSM9604823
false,true,CELL_BOUNDARY_GEOMETRY,1.0,GSE325489,0.0,true,GSM9604824
false,false,NO_SPATIAL_COORDINATES,,HPA_Zhong_PFC_RNA,,false,dataset_level
false,false,NO_SPATIAL_COORDINATES,,HPA_human_brain_StereoSeq,,false,dataset_level
false,false,NO_SPATIAL_COORDINATES,,HPA_regional_human_brain_RNA,,false,dataset_level
false,false,PHYSICAL_XY_UNKNOWN_UNITS,1.0,SCP2167,0.0,true,dataset_level
false,false,PHYSICAL_XY_UNKNOWN_UNITS,1.0,doi:10.5061/dryad.x3ffbg7mw,0.0,true,H18.06.006.MTG.4000.expand.rep1
