vocabulary_index,canonical_ensembl_gene_id,canonical_hgnc_symbol,matrices_measuring_gene,datasets_measuring_gene,train_donors_with_potential_support,train_cells_from_supporting_matrices,technology_diversity,tissue_diversity,support_bin,foundation_support,limited_foundation_support,dataset_pair_overlap_contribution,connectivity_interpretation
0,ENSG00000251562,MALAT1,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
1,ENSG00000230590,FTX,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
2,ENSG00000127603,MACF1,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
3,ENSG00000158321,AUTS2,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
4,ENSG00000160584,SIK3,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
5,ENSG00000142599,RERE,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
6,ENSG00000184226,PCDH9,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
7,ENSG00000151914,DST,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
8,ENSG00000163539,CLASP2,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
9,ENSG00000117020,AKT3,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
10,ENSG00000230876,LINC00486,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
11,ENSG00000171988,JMJD1C,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
12,ENSG00000075151,EIF4G3,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
13,ENSG00000175161,CADM2,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
14,ENSG00000185565,LSAMP,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
15,ENSG00000157827,FMNL2,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
16,ENSG00000100354,TNRC6B,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
17,ENSG00000049618,ARID1B,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
18,ENSG00000244754,N4BP2L2,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
19,ENSG00000169398,PTK2,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
20,ENSG00000187391,MAGI2,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
21,ENSG00000124788,ATXN1,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
22,ENSG00000186153,WWOX,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
23,ENSG00000112531,QKI,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
24,ENSG00000115310,RTN4,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
25,ENSG00000171723,GPHN,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
26,ENSG00000100201,DDX17,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
27,ENSG00000113448,PDE4D,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
28,ENSG00000084676,NCOA1,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
29,ENSG00000156639,ZFAND3,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
30,ENSG00000152061,RABGAP1L,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
31,ENSG00000144036,EXOC6B,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
32,ENSG00000151474,FRMD4A,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
33,ENSG00000204406,MBD5,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
34,ENSG00000177200,CHD9,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
35,ENSG00000128512,DOCK4,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
36,ENSG00000115464,USP34,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
37,ENSG00000131374,TBC1D5,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
38,ENSG00000075292,ZNF638,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
39,ENSG00000140262,TCF12,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
40,ENSG00000157985,AGAP1,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
41,ENSG00000115355,CCDC88A,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
42,ENSG00000123066,MED13L,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
43,ENSG00000185104,FAF1,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
44,ENSG00000196712,NF1,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
45,ENSG00000116539,ASH1L,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
46,ENSG00000054523,KIF1B,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
47,ENSG00000128585,MKLN1,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
48,ENSG00000090905,TNRC6A,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
49,ENSG00000168702,LRP1B,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
50,ENSG00000171735,CAMTA1,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
51,ENSG00000131558,EXOC4,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
52,ENSG00000145362,ANK2,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
53,ENSG00000048740,CELF2,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
54,ENSG00000141376,BCAS3,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
55,ENSG00000156475,PPP2R2B,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
56,ENSG00000115760,BIRC6,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
57,ENSG00000141298,SSH2,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
58,ENSG00000197959,DNM3,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
59,ENSG00000130449,ZSWIM6,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
60,ENSG00000104067,TJP1,36,13,1924,6351753,6,13,10+,True,False,78,measurement-network bridge; not biological hub or regulator
