basis,matrix_id,measurement_domain_distance,biological_state_support_distance,measurement_threshold_train_p90,biological_threshold_train_p90,quadrant
BALANCED_PCA160,sea_ad_itg_rna_final_2026,0.0005589535241920842,0.6873176693916321,0.01824713640278949,0.8323617577552797,A_familiar_measurement_familiar_biology
BALANCED_PCA160,sea_ad_lec_rna_final_2026,0.010151511538283779,0.7500435709953308,0.01824713640278949,0.8323617577552797,A_familiar_measurement_familiar_biology
BALANCED_PCA160,sea_ad_mec_rna_final_2026,0.005275775125304077,0.7262653112411499,0.01824713640278949,0.8323617577552797,A_familiar_measurement_familiar_biology
BALANCED_PCA160,sea_ad_mtg_rna_final_2026,0.005275775125304077,0.7297689914703369,0.01824713640278949,0.8323617577552797,A_familiar_measurement_familiar_biology
BALANCED_PCA160,sea_ad_pfc_a9_rna_final_2026,0.00839303845756636,0.6943488121032715,0.01824713640278949,0.8323617577552797,A_familiar_measurement_familiar_biology
BALANCED_PCA160,sea_ad_stg_rna_final_2026,0.021900981760979623,0.7065827250480652,0.01824713640278949,0.8323617577552797,C_unfamiliar_measurement_familiar_biology
BALANCED_PCA160,sea_ad_v1c_rna_final_2026,0.0005589535241920842,0.7115355730056763,0.01824713640278949,0.8323617577552797,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,0.0012146175907722931,0.6183639764785767,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,0.004737866241847263,0.5449638366699219,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,0.011535530888585888,0.46385979652404785,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,0.0012146175907722931,0.5621994733810425,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,0.0006341984227442461,0.514034628868103,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,0.0045177847079534515,0.6532045602798462,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::5fff0955-173e-407d-b160-64f513ca6db6,0.006057642240867493,0.6619819402694702,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::6201fd7d-f35b-4487-bace-99426881237b,0.002023674244892269,0.53611159324646,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::77dc6994-2777-4fad-a445-4ff7d143a682,0.0006341984227442461,0.2770758271217346,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
