brain_region,canonical_person_group_id,dataset_id,evidence_source,exact_identity_evidence,sample_id,source_donor_id,technology
cortex,UNRESOLVED,10x_Xenium_healthy_cortex_preview,stage81a3_context_candidate_donor_graph.csv,none,dataset_level,unresolved,10x Xenium
approximately 100 adult human brain dissections,PERSON_0002,CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,donor_H18.30.001,H18.30.001,10x 3' v3 snRNA-seq
approximately 100 adult human brain dissections,PERSON_0003,CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,donor_H18.30.002,H18.30.002,10x 3' v3 snRNA-seq
approximately 100 adult human brain dissections,PERSON_0004,CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,donor_H19.30.001,H19.30.001,10x 3' v3 snRNA-seq
approximately 100 adult human brain dissections,PERSON_0005,CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,donor_H19.30.002,H19.30.002,10x 3' v3 snRNA-seq
hypothalamus,PERSON_0006,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,donor_1C41i,1C41i,10x 3' v3 snRNA-seq
hypothalamus,PERSON_0007,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,donor_3u5kk,3u5kk,10x 3' v3 snRNA-seq
hypothalamus,PERSON_0008,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,donor_TweV8,TweV8,10x 3' v3 snRNA-seq
hypothalamus,PERSON_0009,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,donor_buFpQ,buFpQ,10x 3' v3 snRNA-seq
hypothalamus,PERSON_0010,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,donor_eXCJJ,eXCJJ,10x 3' v3 snRNA-seq
hypothalamus,PERSON_0011,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,donor_f5sVM,f5sVM,10x 3' v3 snRNA-seq
hypothalamus,PERSON_0012,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,donor_siletti_H18.30.002,siletti_H18.30.002,10x 3' v3 snRNA-seq
hypothalamus,PERSON_0013,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,donor_siletti_H19.30.001,siletti_H19.30.001,10x 3' v3 snRNA-seq
hypothalamus,PERSON_0014,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,donor_siletti_H19.30.002,siletti_H19.30.002,10x 3' v3 snRNA-seq
hypothalamus,PERSON_0015,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,donor_tzan2,tzan2,10x 3' v3 snRNA-seq
hypothalamus,PERSON_0016,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,donor_znZv1,znZv1,10x 3' v3 snRNA-seq
hippocampus,UNRESOLVED,CosMx_WTX_human_hippocampus,stage81a3_context_candidate_donor_graph.csv,none,dataset_level,unresolved,CosMx SMI WTX
frontal cortex,UNRESOLVED,CosMx_human_frontal_cortex_6K,stage81a3_context_candidate_donor_graph.csv,none,dataset_level,unresolved,CosMx SMI
hippocampus,PERSON_0049,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V10B01-085_A1,Br6423,10x Visium
hippocampus,PERSON_0049,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V10B01-085_B1,Br6423,10x Visium
hippocampus,PERSON_0049,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V10B01-085_C1,Br6423,10x Visium
hippocampus,PERSON_0049,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V10B01-085_D1,Br6423,10x Visium
hippocampus,PERSON_0050,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V10B01-086_A1,Br6432,10x Visium
hippocampus,PERSON_0050,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V10B01-086_B1,Br6432,10x Visium
hippocampus,PERSON_0051,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V10B01-086_C1,Br2743,10x Visium
hippocampus,PERSON_0051,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V10B01-086_D1,Br2743,10x Visium
hippocampus,PERSON_0052,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11A20-297_A1,Br8325,10x Visium
hippocampus,PERSON_0052,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11A20-297_B1,Br8325,10x Visium
hippocampus,PERSON_0052,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11A20-297_C1,Br8325,10x Visium
hippocampus,PERSON_0052,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11A20-297_D1,Br8325,10x Visium
hippocampus,PERSON_0053,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11L05-333_A1,Br3942,10x Visium
hippocampus,PERSON_0053,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11L05-333_B1,Br3942,10x Visium
hippocampus,PERSON_0053,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11L05-333_C1,Br3942,10x Visium
hippocampus,PERSON_0053,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11L05-333_D1,Br3942,10x Visium
hippocampus,PERSON_0054,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11L05-335_A1,Br6471,10x Visium
hippocampus,PERSON_0054,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11L05-335_B1,Br6471,10x Visium
hippocampus,PERSON_0054,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11L05-335_C1,Br6471,10x Visium
hippocampus,PERSON_0052,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11L05-335_D1,Br8325,10x Visium
hippocampus,PERSON_0055,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11L05-336_A1,Br8667,10x Visium
hippocampus,PERSON_0055,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11L05-336_B1,Br8667,10x Visium
hippocampus,PERSON_0055,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11L05-336_C1,Br8667,10x Visium
hippocampus,PERSON_0055,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11L05-336_D1,Br8667,10x Visium
hippocampus,PERSON_0056,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11U08-081_A1,Br8492,10x Visium
hippocampus,PERSON_0056,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11U08-081_B1,Br8492,10x Visium
hippocampus,PERSON_0051,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11U08-081_C1,Br2743,10x Visium
hippocampus,PERSON_0051,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11U08-081_D1,Br2743,10x Visium
hippocampus,PERSON_0057,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11U08-084_A1,Br6522,10x Visium
hippocampus,PERSON_0057,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11U08-084_B1,Br6522,10x Visium
hippocampus,PERSON_0057,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11U08-084_C1,Br6522,10x Visium
hippocampus,PERSON_0057,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V11U08-084_D1,Br6522,10x Visium
hippocampus,PERSON_0058,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V12F14-051_A1,Br2720,10x Visium
hippocampus,PERSON_0058,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V12F14-051_B1,Br2720,10x Visium
hippocampus,PERSON_0058,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V12F14-051_C1,Br2720,10x Visium
hippocampus,PERSON_0058,GSE264692,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,V12F14-051_D1,Br2720,10x Visium
hypothalamus,PERSON_0068,GSE280316,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8594572,1225,10x Visium
