cosine_mean,delta_r2,effect_magnitude_calibration,family,intervention_node,true_dag_descendants_evaluation_only,view
0.5864308476448059,0.3212604522705078,0.4568186402320862,RANDOM_40,0,True,0
0.7112472057342529,0.48435455560684204,0.6050726771354675,RANDOM_40,1,True,0
0.7249866724014282,0.49026232957839966,0.5572710037231445,RANDOM_40,2,True,0
0.42103806138038635,0.14891868829727173,0.4690110981464386,RANDOM_40,3,True,0
0.5375447869300842,0.26348716020584106,0.40414583683013916,RANDOM_40,4,True,0
0.7496368288993835,0.4915752410888672,0.48652276396751404,RANDOM_40,5,True,0
0.6731166243553162,0.4402937889099121,0.5974101424217224,RANDOM_40,6,True,0
0.3383038640022278,0.10370421409606934,0.38106754422187805,RANDOM_40,7,True,0
0.5102294087409973,0.2359180450439453,0.40487393736839294,RANDOM_40,8,True,0
0.7527602314949036,0.5325587391853333,0.5775063633918762,RANDOM_40,9,True,0
0.4180520176887512,0.14783334732055664,0.43931126594543457,RANDOM_40,10,True,0
0.3656942546367645,0.11354321241378784,0.4009614586830139,RANDOM_40,11,True,0
0.6148819327354431,0.3606562614440918,0.5734096765518188,RANDOM_40,0,True,1
0.5246074199676514,0.25774824619293213,0.47350502014160156,RANDOM_40,1,True,1
0.18182708323001862,0.024203717708587646,0.20927603542804718,RANDOM_40,2,True,1
0.5100188851356506,0.23853373527526855,0.3929031193256378,RANDOM_40,3,True,1
0.5516107082366943,0.29256999492645264,0.5162873268127441,RANDOM_40,4,True,1
0.4259657859802246,0.1318187713623047,0.21081197261810303,RANDOM_40,5,True,1
0.5929543972015381,0.31941694021224976,0.4326523244380951,RANDOM_40,6,True,1
0.5091698169708252,0.21192651987075806,0.6515291333198547,RANDOM_40,7,True,1
0.37134671211242676,0.1299341320991516,0.36777612566947937,RANDOM_40,8,True,1
0.659493625164032,0.3982279896736145,0.48183301091194153,RANDOM_40,9,True,1
0.5432025790214539,0.25870412588119507,0.4928518831729889,RANDOM_40,10,True,1
0.6400713324546814,0.31610381603240967,0.368070125579834,RANDOM_40,11,True,1
0.34918683767318726,0.11693936586380005,0.34425225853919983,RANDOM_40,0,True,2
0.7433174252510071,0.5209270715713501,0.5741322040557861,RANDOM_40,1,True,2
0.518356204032898,0.2577511668205261,0.5196511745452881,RANDOM_40,2,True,2
0.2752768397331238,0.06250154972076416,0.17911680042743683,RANDOM_40,3,True,2
0.704048752784729,0.4837800860404968,0.6617516279220581,RANDOM_40,4,True,2
0.7054145336151123,0.48662322759628296,0.6780773997306824,RANDOM_40,5,True,2
0.5362699627876282,0.2765675187110901,0.5572230815887451,RANDOM_40,6,True,2
0.3463391363620758,0.07437920570373535,0.5218459367752075,RANDOM_40,7,True,2
0.6354197263717651,0.3895343542098999,0.5470579862594604,RANDOM_40,8,True,2
0.5985749959945679,0.33411580324172974,0.45288655161857605,RANDOM_40,9,True,2
0.21960289776325226,-0.13517296314239502,0.5980713367462158,RANDOM_40,10,True,2
0.39818108081817627,0.14827650785446167,0.3548451066017151,RANDOM_40,11,True,2
0.7789057493209839,0.5952240228652954,0.7038633227348328,RANDOM_40,0,True,3
0.7772051095962524,0.5852527618408203,0.7248032093048096,RANDOM_40,1,True,3
