belief_factor_r2,belief_minus_visible_factor_r2,calibration_regime,calibration_scale,coverage_1_96sigma,coverage_1sigma,family,gaussian_severe_fraction,joint_scale,measured_genes,median_logdet,median_trace,nll,panel,prior_nll,standardized_variance,uncertainty_error_spearman,variant,view,visible_factor_r2
0.9218267202377319,1.0728836059570312e-06,ordinary_raw,1.0,1.0,1.0,RANDOM_STRUCTURAL,0.3125,0.0033052561338990927,4096,-241.59365844726562,35.88251495361328,0.16569305956363678,FULL,0.3114180266857147,3.949913661926985e-05,-0.9996594786643982,RAW,0,0.921825647354126
0.9218267202377319,1.0728836059570312e-06,ordinary_raw,1.0,1.0,1.0,RANDOM_STRUCTURAL,0.3125,0.0033052561338990927,4096,-241.59365844726562,35.88251495361328,0.16569305956363678,FULL,0.3114180266857147,3.949913661926985e-05,-0.9996594786643982,HISTORICAL_TOTAL_SCALAR,0,0.921825647354126
0.9218267202377319,1.0728836059570312e-06,ordinary_raw,1.0,1.0,1.0,RANDOM_STRUCTURAL,0.3125,0.0033052561338990927,4096,-241.59365844726562,35.88251495361328,0.16569305956363678,FULL,0.3114180266857147,3.949913661926985e-05,-0.9996594786643982,CONDITIONAL_ONLY_SCALAR,0,0.921825647354126
0.9080839157104492,1.0132789611816406e-06,ordinary_raw,1.0,0.9999634027481079,0.982867419719696,RANDOM_STRUCTURAL,0.0,0.15713554620742798,3277,-237.90213012695312,36.75205993652344,0.25415462255477905,P80,0.3732285499572754,0.11820554733276367,0.12326718121767044,RAW,0,0.908082902431488
0.9080839157104492,1.0132789611816406e-06,historical_total_scalar,0.39422914385795593,0.996447741985321,0.8901427984237671,RANDOM_STRUCTURAL,0.0,0.3985894024372101,3277,-386.83380126953125,14.488731384277344,-0.09052993357181549,P80,0.3732285499572754,0.29983967542648315,0.1232597604393959,HISTORICAL_TOTAL_SCALAR,0,0.908082902431488
0.9080839157104492,1.0132789611816406e-06,conditional_only_scalar,0.7467898660886485,0.99993896484375,0.974334716796875,RANDOM_STRUCTURAL,0.0,0.17796573042869568,3277,-252.03225708007812,34.0875244140625,0.22039376199245453,P80,0.3732285499572754,0.134495347738266,0.12327113747596741,CONDITIONAL_ONLY_SCALAR,0,0.908082902431488
0.885591983795166,1.3113021850585938e-06,ordinary_raw,1.0,0.988189697265625,0.920074462890625,RANDOM_STRUCTURAL,0.0,0.3518407642841339,2458,-232.90858459472656,37.97356414794922,0.3671029210090637,P60,0.4623088538646698,0.282146155834198,0.13020452857017517,RAW,0,0.885590672492981
0.885591983795166,1.3113021850585938e-06,historical_total_scalar,0.39422914385795593,0.952221691608429,0.7821289300918579,RANDOM_STRUCTURAL,0.0,0.8924777507781982,2458,-381.84027099609375,14.97028636932373,0.17200994491577148,P60,0.4623088538646698,0.7156907320022583,0.13021337985992432,HISTORICAL_TOTAL_SCALAR,0,0.885590672492981
0.885591983795166,1.3113021850585938e-06,conditional_only_scalar,0.7467898660886485,0.98114013671875,0.9056152105331421,RANDOM_STRUCTURAL,0.0,0.41969209909439087,2458,-248.01666259765625,34.999732971191406,0.35379889607429504,P60,0.4623088538646698,0.33721721172332764,0.13022708892822266,CONDITIONAL_ONLY_SCALAR,0,0.885590672492981
0.8492233753204346,4.172325134277344e-07,ordinary_raw,1.0,0.9627624750137329,0.8788818120956421,RANDOM_STRUCTURAL,0.012500000186264515,0.6054955720901489,1638,-225.78326416015625,39.80862808227539,0.5161923170089722,P40,0.58725506067276,0.4921451508998871,0.12991614639759064,RAW,0,0.8492229580879211
