scope,foundation_source_rows_total,foundation_unique_source_features,foundation_unique_biological_identities,G_foundation_current_exact,G_foundation_legacy_exact,G_foundation_alternative_authority_exact,G_foundation_source_native_anchored,G_foundation_source_native_unprojected,G_foundation_ambiguous,G_foundation_symbol_or_identifier_poor,G_foundation_true_technical_nonbiological
FOUNDATION,299775,93536,43248,40422,773,0,43,0,1,2009,0
SEA-AD,36601,36601,35786,35527,259,0,0,0,0,0,0
HVS,18736,18736,18736,18735,1,0,0,0,0,0,0
NPH52,244438,38199,37543,34790,700,0,43,0,1,2009,0
