status,range_closure_reused_existing_decision,block_start,block_end,observed_recurrent_residual_statistic,null_mean,null_p95,empirical_p,donor_refit_median_canonical_correlation,heldout_improvement_supported,bh_q,null_significant,donor_refit_supported,supported_by_rule,retained,ordering_failure
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,False,225,240,0.4220682489632406,-0.5495793335889367,-0.5286391030515716,0.009900990099009901,0.11886070668697357,False,0.009900990099009901,True,False,False,False,False
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,False,241,256,0.32171392457104037,-0.6566294319786818,-0.6358291095633662,0.009900990099009901,0.12943707406520844,False,0.009900990099009901,True,False,False,False,False
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,False,257,272,0.33396869182970024,-0.6866690812059272,-0.6688889105589361,0.009900990099009901,0.07538379728794098,False,0.009900990099009901,True,False,False,False,False
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,False,273,288,0.2461511471894678,-0.7360747390672328,-0.7152987161718178,0.009900990099009901,0.08655057847499847,False,0.009900990099009901,True,False,False,False,False
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,False,289,304,0.11604966212843414,-0.8082970812598181,-0.7897438881735053,0.009900990099009901,0.06948187947273254,False,0.009900990099009901,True,False,False,False,False
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,False,305,320,0.010539857932929966,-0.8378437276989186,-0.8210397958673208,0.009900990099009901,0.0811484083533287,False,0.009900990099009901,True,False,False,False,False
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,False,321,336,-0.06498275830146828,-0.8625247723993087,-0.8485940884494595,0.009900990099009901,0.12815819680690765,False,0.009900990099009901,True,False,False,False,False
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,False,337,352,-0.1656044677360736,-0.8890803902393256,-0.8748070455117994,0.009900990099009901,0.1380787193775177,False,0.009900990099009901,True,False,False,False,False
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,False,353,368,-0.21258958826908353,-0.9113883130047253,-0.8958419056328348,0.009900990099009901,0.17279690504074097,False,0.009900990099009901,True,False,False,False,False
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,False,369,384,-0.27857120654021517,-0.9359468673198584,-0.9210061449226471,0.009900990099009901,0.13798865675926208,False,0.009900990099009901,True,False,False,False,False
