annotation,broad_family,representation,n_evaluated_cells,same_class_knn_purity,cross_donor_same_class_knn_purity,donor_heldout_recall,donor_heldout_precision,donor_heldout_f1,centroid_separation,within_class_dispersion,between_within_ratio,production_frozen_basis,ledger_gene_tokens_used,learned_pooling_used,paired_representation_sample,rare_cells_per_class_cap,reference_cell_cap
Microglia-PVMSubclass,Microglia-PVMSubclass,BALANCED_PCA160,32,0.81875,0.81875,0.90625,0.8787878787878788,0.8923076923076924,0.39834022521972656,0.12755954265594482,3.1227787190656113,NOT_APPLICABLE,,,True,32,128
Microglia-PVMSubclass,Microglia-PVMSubclass,BALANCED_REP160_DIAGNOSTIC,32,0.8125,0.8125,0.90625,0.8787878787878788,0.8923076923076924,0.39780962467193604,0.1314227133989334,3.026947278621357,False,,,True,32,128
OPC,OPC,RNA4096,32,0.46458333333333335,0.45625000000000004,0.625,0.8695652173913043,0.7272727272727273,0.03148484230041504,0.1783508062362671,0.17653322104250008,NOT_APPLICABLE,,,True,32,128
OPC,OPC,MOLECULAR_LEDGER_ALL_4096_TOKENS,32,0.43333333333333335,0.42291666666666666,0.5,0.8421052631578947,0.6274509803921569,0.0007152557373046875,0.005855191498994827,0.12215753104360069,NOT_APPLICABLE,4096,False,True,32,128
OPC,OPC,BALANCED_PCA160,32,0.6770833333333334,0.6645833333333333,0.8125,0.9285714285714286,0.8666666666666667,0.06938523054122925,0.14749020338058472,0.4704395881954758,NOT_APPLICABLE,,,True,32,128
OPC,OPC,BALANCED_REP160_DIAGNOSTIC,32,0.5375000000000001,0.5208333333333334,0.53125,0.7083333333333334,0.6071428571428571,0.04770684242248535,0.14727358520030975,0.32393346272923496,False,,,True,32,128
OPCSubclass,OPCSubclass,RNA4096,32,0.6625,0.6583333333333332,1.0,0.5925925925925926,0.7441860465116279,0.03148484230041504,0.1757456362247467,0.17915006583805956,NOT_APPLICABLE,,,True,32,128
OPCSubclass,OPCSubclass,MOLECULAR_LEDGER_ALL_4096_TOKENS,32,0.5812499999999999,0.5708333333333333,1.0,0.5714285714285714,0.7272727272727273,0.0007152557373046875,0.005776176229119301,0.12382858640961916,NOT_APPLICABLE,4096,False,True,32,128
OPCSubclass,OPCSubclass,BALANCED_PCA160,32,0.8020833333333334,0.79375,0.96875,0.7209302325581395,0.8266666666666667,0.06938523054122925,0.11684393137693405,0.5938282778024231,NOT_APPLICABLE,,,True,32,128
OPCSubclass,OPCSubclass,BALANCED_REP160_DIAGNOSTIC,32,0.7416666666666667,0.7333333333333334,0.90625,0.58,0.7073170731707317,0.04770684242248535,0.12133096158504486,0.39319594767281274,False,,,True,32,128
OligodendrocyteSubclass,OligodendrocyteSubclass,RNA4096,32,0.6708333333333334,0.6770833333333333,0.9375,0.8333333333333334,0.8823529411764706,0.15608078241348267,0.23637987673282623,0.6602964032758869,NOT_APPLICABLE,,,True,32,128
OligodendrocyteSubclass,OligodendrocyteSubclass,MOLECULAR_LEDGER_ALL_4096_TOKENS,32,0.5645833333333332,0.5666666666666667,0.90625,0.8529411764705882,0.8787878787878788,0.0022896528244018555,0.00704975426197052,0.3247847711165269,NOT_APPLICABLE,4096,False,True,32,128
OligodendrocyteSubclass,OligodendrocyteSubclass,BALANCED_PCA160,32,0.9750000000000001,0.9750000000000001,1.0,0.8205128205128205,0.9014084507042254,0.4820033311843872,0.11281505227088928,4.272509044511279,NOT_APPLICABLE,,,True,32,128
OligodendrocyteSubclass,OligodendrocyteSubclass,BALANCED_REP160_DIAGNOSTIC,32,0.95625,0.95625,1.0,0.8205128205128205,0.9014084507042254,0.48278486728668213,0.11583781242370605,4.167765750968902,False,,,True,32,128
STR Hybrid MSNSubclass,STR Hybrid MSNSubclass,RNA4096,23,0.9594202898550724,0.9536231884057971,1.0,0.8214285714285714,0.9019607843137255,0.07459878921508789,0.08495274931192398,0.8781209533452639,NOT_APPLICABLE,,,True,32,128
STR Hybrid MSNSubclass,STR Hybrid MSNSubclass,MOLECULAR_LEDGER_ALL_4096_TOKENS,23,0.9159420289855073,0.9101449275362319,1.0,0.696969696969697,0.8214285714285714,0.0018357038497924805,0.0030307380948215723,0.605695309973841,NOT_APPLICABLE,4096,False,True,32,128
STR Hybrid MSNSubclass,STR Hybrid MSNSubclass,BALANCED_PCA160,23,0.9855072463768116,0.9797101449275363,1.0,0.8518518518518519,0.92,0.39462918043136597,0.10468249022960663,3.7697725719535446,NOT_APPLICABLE,,,True,32,128
STR Hybrid MSNSubclass,STR Hybrid MSNSubclass,BALANCED_REP160_DIAGNOSTIC,23,0.9855072463768116,0.9855072463768116,1.0,0.8518518518518519,0.92,0.48066002130508423,0.10672696679830551,4.503641729212111,False,,,True,32,128
STR RSPO2 GABASubclass,STR RSPO2 GABASubclass,RNA4096,3,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.06677907705307007,0.044101178646087646,1.5142243156123505,NOT_APPLICABLE,,,True,32,128
STR RSPO2 GABASubclass,STR RSPO2 GABASubclass,MOLECULAR_LEDGER_ALL_4096_TOKENS,3,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0020409226417541504,0.001626988290809095,1.2544175353217861,NOT_APPLICABLE,4096,False,True,32,128
STR RSPO2 GABASubclass,STR RSPO2 GABASubclass,BALANCED_PCA160,3,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.4571414589881897,0.05610477924346924,8.14799496856415,NOT_APPLICABLE,,,True,32,128
STR RSPO2 GABASubclass,STR RSPO2 GABASubclass,BALANCED_REP160_DIAGNOSTIC,3,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.46222805976867676,0.06128541752696037,7.542219314494116,False,,,True,32,128
Sst ChodlSubclass,Sst ChodlSubclass,RNA4096,19,0.2421052631578947,0.23508771929824562,0.05263157894736842,1.0,0.1,0.04338163137435913,0.19856135547161102,0.21847973021397685,NOT_APPLICABLE,,,True,32,128
Sst ChodlSubclass,Sst ChodlSubclass,MOLECULAR_LEDGER_ALL_4096_TOKENS,19,0.20350877192982458,0.1964912280701755,0.0,0.0,0.0,0.0011130571365356445,0.006331610027700663,0.17579369728489952,NOT_APPLICABLE,4096,False,True,32,128
Sst ChodlSubclass,Sst ChodlSubclass,BALANCED_PCA160,19,0.4035087719298246,0.38596491228070173,0.42105263157894735,0.6153846153846154,0.5,0.2679029703140259,0.3188430368900299,0.8402346588061967,NOT_APPLICABLE,,,True,32,128
Sst ChodlSubclass,Sst ChodlSubclass,BALANCED_REP160_DIAGNOSTIC,19,0.3964912280701754,0.38947368421052636,0.42105263157894735,0.6153846153846154,0.5,0.3176453113555908,0.3544267416000366,0.896222756560641,False,,,True,32,128
VipSubclass,VipSubclass,RNA4096,7,0.11428571428571428,0.12380952380952381,0.0,0.0,0.0,0.05460268259048462,0.10422127693891525,0.5239110879680317,NOT_APPLICABLE,,,True,32,128
VipSubclass,VipSubclass,MOLECULAR_LEDGER_ALL_4096_TOKENS,7,0.08571428571428572,0.09523809523809523,0.0,0.0,0.0,0.0014042258262634277,0.003600503783673048,0.3900081518122747,NOT_APPLICABLE,4096,False,True,32,128
VipSubclass,VipSubclass,BALANCED_PCA160,7,0.2571428571428571,0.2571428571428571,0.0,0.0,0.0,0.42943400144577026,0.23366223275661469,1.8378408713276044,NOT_APPLICABLE,,,True,32,128
VipSubclass,VipSubclass,BALANCED_REP160_DIAGNOSTIC,7,0.2571428571428571,0.2571428571428571,0.0,0.0,0.0,0.48246777057647705,0.2552798390388489,1.8899564195629814,False,,,True,32,128
