condition,cross_cell_std,effective_rank,median_pairwise_distance,representation,top_singular_energy_fraction,top_singular_l1_fraction
original,0.06468930095434189,4.46397590637207,4.1690568923950195,cross_attention_flattened,0.9910497665405273,0.7428150773048401
original,0.06442957371473312,4.162589073181152,0.8469133377075195,cross_attention_pooled,0.9910274744033813,0.7484003901481628
original,0.08353291451931,4.38687801361084,5.335106372833252,post_latent_blocks_flattened,0.9904668927192688,0.7507061958312988
original,0.05207236483693123,4.276001930236816,3.3233940601348877,final_slots_flattened,0.9935256838798523,0.7628337144851685
original,0.051930226385593414,3.7794554233551025,0.6763836741447449,final_slots_pooled,0.99351567029953,0.7738739252090454
scaled_learned_ranking,0.08123059570789337,75.85401916503906,5.9380950927734375,cross_attention_flattened,0.945019006729126,0.28511905670166016
scaled_learned_ranking,0.07206515967845917,12.649325370788574,1.0423027276992798,cross_attention_pooled,0.9831271767616272,0.5577778220176697
scaled_learned_ranking,0.10217874497175217,62.80901336669922,7.281031608581543,post_latent_blocks_flattened,0.9590271711349487,0.32486698031425476
scaled_learned_ranking,0.06511770188808441,62.826744079589844,4.648921966552734,final_slots_flattened,0.9610021114349365,0.3260872960090637
scaled_learned_ranking,0.059666700661182404,10.693382263183594,0.85289067029953,final_slots_pooled,0.9868314266204834,0.5932022333145142
scaled_permuted_ranking,0.07425376027822495,164.52767944335938,4.9318342208862305,cross_attention_flattened,0.8679252862930298,0.14534863829612732
scaled_permuted_ranking,0.06474138796329498,15.201005935668945,0.8479269742965698,cross_attention_pooled,0.9854151010513306,0.5420376658439636
scaled_permuted_ranking,0.09174386411905289,145.93704223632812,5.9628586769104,post_latent_blocks_flattened,0.908479630947113,0.17499399185180664
scaled_permuted_ranking,0.057244185358285904,146.07962036132812,3.7158117294311523,final_slots_flattened,0.9114584922790527,0.175949826836586
scaled_permuted_ranking,0.052150972187519073,12.45168685913086,0.676688551902771,final_slots_pooled,0.989109218120575,0.5815185308456421
