status,prefix,mean_reconstruction_r2,se_reconstruction_r2,folds
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,16,0.21164676252435508,0.006769764910150063,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,32,0.2332131127956995,0.0076226623886459476,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,48,0.23929301415048315,0.007964982007882355,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,64,0.24385262178903783,0.007739854610441084,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,80,0.24621592152083469,0.007245544915624692,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,96,0.24883144177742467,0.00689837278503618,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,112,0.2514685487491439,0.006542111128635517,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,128,0.2531075647982675,0.006683008831753651,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,144,0.25487562542940484,0.006718164441132871,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,160,0.2571320628057029,0.006187075905316022,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,176,0.25895209234347477,0.005904584567348927,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,192,0.26156798368532214,0.005996025886889937,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,208,0.26381604021089355,0.005920290238336501,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,224,0.2653879401186332,0.005864251584562508,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,240,0.2670042928831235,0.006069047881477129,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,256,0.2682044482116577,0.006204291764927218,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,272,0.2693549704853283,0.006345457558492061,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,288,0.2701574545548081,0.006338441413227108,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,304,0.2705970185243562,0.006257130130704872,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,320,0.27078642831963234,0.00620020076839542,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,336,0.2708165995713791,0.00617362331278569,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,352,0.27070556245486965,0.006177003565309984,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,368,0.2705346428963462,0.006177882291209501,5
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,384,0.2703223240592466,0.006176845861725137,5
