cell,changed_direction_std,changed_direction_variance,delta_cosine,predicted_effect_norm,true_effect_norm
0,0.44847121834754944,0.20112644135951996,0.31649155990480504,1.779213309288025,1.0605922866386706
1,0.44732919335365295,0.20010341703891754,0.41395631099740277,1.9582264423370361,1.1317999317760632
2,0.4520878195762634,0.20438338816165924,0.4312587070022351,1.399316668510437,1.017198684322811
3,0.5147948265075684,0.265013724565506,0.3618786679412235,1.6534676551818848,1.190498875778373
4,0.4760805070400238,0.22665265202522278,0.3262558397013477,1.4827684164047241,1.3423940140521156
5,0.5025942325592041,0.2526009678840637,0.5148224496070017,2.2666380405426025,1.5116154834589564
6,0.49413707852363586,0.24417145550251007,0.39331902290550214,1.6910563707351685,1.1736946014073386
7,0.513578474521637,0.26376286149024963,0.39472220692076354,1.5251544713974,1.4404459255824742
8,0.5040582418441772,0.25407469272613525,0.41673317701070844,1.2914305925369263,1.272914695663439
9,0.5002401471138,0.2502402067184448,0.7067465366882486,1.7866045236587524,1.6439434095071048
10,0.5550987124443054,0.3081345558166504,0.6296343746962649,1.141781210899353,1.4580014701525854
11,0.6736662983894348,0.45382627844810486,0.46121287114703735,1.1691409349441528,1.306667010327467
12,0.4595879018306732,0.21122103929519653,0.32061049733790337,1.6449161767959595,1.1012017908057181
13,0.4672599732875824,0.21833187341690063,0.48085452621714475,1.5392855405807495,1.0722355791339613
14,0.45836496353149414,0.21009844541549683,0.344120136899653,1.871036410331726,1.0548615622940636
15,0.5112501978874207,0.2613767385482788,0.5222380272083765,1.0180432796478271,1.19028132835184
16,0.4666939973831177,0.21780329942703247,0.334675181100185,2.0266008377075195,1.24841806143945
17,0.48882198333740234,0.23894692957401276,0.39485773848696093,1.888641595840454,1.296440228075657
18,0.49512627720832825,0.24515002965927124,0.27501615533954293,1.7982420921325684,1.1289407584137834
19,0.5177456736564636,0.268060564994812,0.3522358532404917,1.4729655981063843,1.4564049024201176
20,0.506096363067627,0.2561335265636444,0.3510467111107467,1.7944929599761963,1.4186026209449425
21,0.521934449672699,0.27241554856300354,0.609261286919019,1.375145673751831,1.244549521362511
22,0.558292031288147,0.31168997287750244,0.5413049335116549,0.9644454121589661,1.4425911641419984
23,0.6584234833717346,0.43352144956588745,0.47971226590423416,1.2384982109069824,1.353337058294275
24,0.44544029235839844,0.1984170526266098,0.20065161931250683,1.8682290315628052,1.0013445010161544
25,0.44497817754745483,0.1980055868625641,0.31028978309780464,1.9894635677337646,1.0127274554338948
26,0.45780566334724426,0.2095860242843628,0.4224307913047434,1.6870628595352173,1.0360249590862565
27,0.5128520727157593,0.2630172371864319,0.37324683575183293,1.2990845441818237,1.165507695646817
28,0.4648281931877136,0.21606524288654327,0.384935716984966,1.6826815605163574,1.2296938268142674
29,0.49193093180656433,0.24199604988098145,0.4404768728468951,1.8957539796829224,1.3100376498659194
30,0.49614474177360535,0.2461596131324768,0.4126663269001093,1.2018457651138306,1.2124974234363375
31,0.5090289115905762,0.2591104209423065,0.560507334214587,1.4492673873901367,1.4479033645811599
32,0.5077269077301025,0.2577866315841675,0.37538353995529455,1.8735392093658447,1.2801591261799512
33,0.5288494825363159,0.2796817719936371,0.6370146611041028,1.5531996488571167,1.2864541566396854
34,0.5606541037559509,0.3143330514431,0.4471833335456255,1.2092516422271729,1.489486726889125
35,0.6718512773513794,0.45138412714004517,0.4885869774026729,1.5188838243484497,1.304752464092555
36,0.4431242346763611,0.19635909795761108,0.34828859531318224,1.4881997108459473,1.032234531651003
37,0.47290676832199097,0.2236407995223999,0.4840064442379637,2.2808661460876465,1.0988036711444735
38,0.4650920033454895,0.2163105607032776,0.5534134801956166,1.2789807319641113,1.1375207622908694
39,0.5089206695556641,0.2590002417564392,0.5407230856602023,1.3283002376556396,1.2410504317564393
40,0.47448259592056274,0.2251337468624115,0.2836547147481892,2.185804605484009,1.3363231730555303
41,0.4884461462497711,0.2385796457529068,0.4116077635154775,1.9245887994766235,1.294858319670303
42,0.5001225471496582,0.2501225471496582,0.44399790383375326,1.248777151107788,1.1362863980809481
43,0.5173132419586182,0.2676129937171936,0.44079922150656925,1.6378092765808105,1.4822721935460785
44,0.5108327269554138,0.2609500586986542,0.4829239385526249,1.9448963403701782,1.311971583658082
45,0.5159506797790527,0.2662051022052765,0.5248059448977442,1.4563066959381104,1.211285994468318
46,0.54655522108078,0.29872262477874756,0.5147077240696591,1.7798857688903809,1.440308928441459
47,0.6557958722114563,0.4300681948661804,0.42329919870762917,1.4680572748184204,1.3218884075157382
48,0.44390612840652466,0.19705265760421753,0.3494888315010435,1.2415432929992676,1.040781870407085
49,0.449535995721817,0.20208260416984558,0.376885063324925,1.4855685234069824,1.0116984217320786
50,0.4657048285007477,0.21688097715377808,0.5483344991859009,1.4732917547225952,1.0719803199091644
51,0.5179646015167236,0.26828733086586,0.37388953181444784,1.5025320053100586,1.1816144677821143
52,0.4645336866378784,0.21579155325889587,0.4071405479448304,1.7324368953704834,1.2373069484768469
53,0.4864719808101654,0.23665498197078705,0.3534563482140398,1.9687163829803467,1.309081010362772
54,0.49585625529289246,0.24587342143058777,0.35856501924528855,1.4296802282333374,1.1406684176151445
55,0.5112272500991821,0.2613533139228821,0.4210030182116349,1.417192816734314,1.434916670446821
56,0.497578501701355,0.24758437275886536,0.5309692734999182,1.4891631603240967,1.3240409283082664
57,0.5199217200279236,0.2703185975551605,0.6359278271891304,1.4725091457366943,1.286006153914862
58,0.5528477430343628,0.30564063787460327,0.540904127426203,1.1557457447052002,1.4415196384897064
59,0.6762409210205078,0.4573017954826355,0.6278369702733728,0.9516032934188843,1.2995161495786376
60,0.4427022933959961,0.1959853321313858,0.237791151391624,2.045030355453491,1.0372235641775285
61,0.49222347140312195,0.24228394031524658,0.4403006715491481,1.879211187362671,1.3164293310681097
62,0.47106805443763733,0.22190511226654053,0.3967555470329257,1.9306206703186035,1.098039533101868
63,0.5113223195075989,0.26145052909851074,0.5001929197284061,0.9429286122322083,1.1897519094053683
64,0.4706205129623413,0.22148366272449493,0.467606485193671,1.366105318069458,1.3070168612405186
65,0.48811110854148865,0.2382524460554123,0.4986586040497092,2.0356709957122803,1.3532369865474214
66,0.49077409505844116,0.24085921049118042,0.3498703171291375,1.4643681049346924,1.201718713916456
