basis,matrix_id,n_cells,evidence_depth_auc_spearman,median_evidence_auc,median_depth_auc,median_reference_noise
BALANCED_PCA160,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,256,0.4379613469901578,0.2150828859768908,0.19761591963469982,0.2568231225013733
BALANCED_PCA160,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,256,0.28568894483863577,0.20900986576453429,0.10379376355558634,0.16028207540512085
BALANCED_PCA160,HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,256,0.2868469615472648,0.20306849237532043,0.06656589545309544,0.11300311237573624
BALANCED_PCA160,HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,256,0.2498075932707713,0.21777255209163593,0.1838126196525991,0.2519555687904358
BALANCED_PCA160,HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,256,0.6139291027695124,0.20915036434308426,0.12544491281732917,0.18725687265396118
BALANCED_PCA160,HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,246,0.09714221227149888,0.20675796149299158,0.1326359435915947,0.1902298480272293
BALANCED_PCA160,HVS::5fff0955-173e-407d-b160-64f513ca6db6,256,0.32778882467383835,0.21784534677863937,0.3024245500564575,0.3774263858795166
BALANCED_PCA160,HVS::6201fd7d-f35b-4487-bace-99426881237b,256,0.3918101968413824,0.20252919858322171,0.1364688714966178,0.18990547955036163
BALANCED_PCA160,HVS::77dc6994-2777-4fad-a445-4ff7d143a682,256,0.442127059967956,0.20926228472963532,0.1102748024277389,0.16342905163764954
BALANCED_PCA160,HVS::7958eba0-1d79-42e3-8947-a198f98578f2,256,0.5338478484779124,0.20249279588461522,0.18556059850379825,0.24833542108535767
BALANCED_PCA160,HVS::7b96819c-598c-47a1-9cea-f410fc0c37fa,256,0.46446340695811394,0.20231130318717327,0.4599308464676142,0.5514888167381287
BALANCED_PCA160,HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,256,0.4445317864499885,0.20733243590221678,0.10100172529928386,0.15111757814884186
BALANCED_PCA160,HVS::8dfadc37-e19c-4d4b-80d8-cee48e732bcf,256,0.5090216582742045,0.2130777711048806,0.3056394439190626,0.3851317763328552
BALANCED_PCA160,HVS::900faaa3-adec-4fd9-81b0-1e90a2ab256f,256,0.3332334344243533,0.20047480305657533,0.36526987701654434,0.4556199610233307
BALANCED_PCA160,HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,256,0.43794990272373535,0.21197794545442428,0.16874454403296113,0.22523438930511475
BALANCED_PCA160,HVS::a9b5738d-997d-433f-8d86-12dbfc8f01fb,256,0.47590767338063616,0.2061703043058583,0.44307919405400753,0.5627923011779785
BALANCED_PCA160,HVS::ab88770a-7a74-4da5-a166-d68f02d644f2,256,0.28708943694209194,0.20318935979158376,0.310286627151072,0.404926061630249
BALANCED_PCA160,HVS::bb3c4200-5c1b-4f8a-a846-e021919b7241,256,0.6388239585717554,0.20891322595999456,0.23592891171574593,0.31587618589401245
BALANCED_PCA160,HVS::c3b47645-c927-4a0a-868f-eb7640ea3354,256,0.5692864499885557,0.20892640184611733,0.1525738062337041,0.20681023597717285
BALANCED_PCA160,HVS::c5e9db26-7b51-4290-b721-dd540ac906b1,256,0.49162780384527344,0.20074267154560288,0.3873323854058981,0.4583374857902527
BALANCED_PCA160,HVS::c9143d44-4c95-4f06-8edc-e03d3491ab97,256,0.561143854428931,0.21375794503838547,0.2088364427909255,0.2763747572898865
BALANCED_PCA160,HVS::d1303087-592a-4c3d-aa3e-21de203927dc,256,0.24869249256122677,0.2211243802681638,0.23496025707572699,0.2936830520629883
BALANCED_PCA160,HVS::e813d04b-7833-4b02-b14f-0247d6128516,256,0.40674639505607685,0.20919465562329692,0.1521745421923697,0.2248459756374359
BALANCED_PCA160,HVS::f8975a92-8ddb-4dde-adbe-977a4b3e4e96,256,0.45049496452277404,0.20046230377630203,0.3548273369669914,0.43364059925079346
BALANCED_PCA160,sea_ad_ang_rna_final_2026,256,0.32800841153582044,0.20371065381914943,0.1863088016398251,0.24144133925437927
BALANCED_PCA160,sea_ad_caudate_rna_all_2025,256,0.5246566720073242,0.20073363911361047,0.08223540196195245,0.13109800219535828
BALANCED_PCA160,sea_ad_fi_rna_final_2026,256,0.133255607690547,0.2058143748901884,0.1300987135618925,0.17534112930297852
BALANCED_PCA160,sea_ad_hip_rna_final_2026,256,0.12425040054932478,0.2023872819729215,0.12891686474904418,0.1834867298603058
BALANCED_PCA160,sea_ad_itg_rna_final_2026,256,0.3608134012359807,0.20375395920128098,0.08475059596821666,0.12614701688289642
BALANCED_PCA160,sea_ad_lec_rna_final_2026,256,0.1812356946669718,0.2068510483019155,0.20435507502406836,0.2697615325450897
BALANCED_PCA160,sea_ad_mec_rna_final_2026,256,0.1118734264133669,0.20662358216942628,0.15232035936787724,0.21371084451675415
BALANCED_PCA160,sea_ad_mtg_rna_final_2026,256,0.2993770027466239,0.20560684986413091,0.1337949032895267,0.1856451779603958
BALANCED_PCA160,sea_ad_pfc_a9_rna_final_2026,256,0.1831354428931105,0.2031018793582977,0.12298773787915707,0.18449467420578003
