git_status,path,classification,size_bytes,staged,inventory_state
??,.tmp/cpiu_prechange_pytest/test_append_only_event_chain_a0/events.jsonl,GENERATED CACHE - do not commit,941,False,dirty_or_untracked
??,.tmp/cpiu_prechange_pytest/test_audit_outputs_are_determi0/first/stage81a1_dataset_role_registry.csv,GENERATED CACHE - do not commit,2087,False,dirty_or_untracked
??,.tmp/cpiu_prechange_pytest/test_audit_outputs_are_determi0/first/stage81a1_donor_modality_section_crosswalk.csv,GENERATED CACHE - do not commit,32401,False,dirty_or_untracked
??,.tmp/cpiu_prechange_pytest/test_audit_outputs_are_determi0/first/stage81a1_gene_identifier_audit.csv,GENERATED CACHE - do not commit,6694,False,dirty_or_untracked
??,.tmp/cpiu_prechange_pytest/test_audit_outputs_are_determi0/first/stage81a1_graph_lineage_registry.csv,GENERATED CACHE - do not commit,2255,False,dirty_or_untracked
??,.tmp/cpiu_prechange_pytest/test_audit_outputs_are_determi0/first/stage81a1_local_asset_manifest.csv,GENERATED CACHE - do not commit,6198,False,dirty_or_untracked
??,.tmp/cpiu_prechange_pytest/test_audit_outputs_are_determi0/first/stage81a1_multimodal_inventory_report.json,GENERATED CACHE - do not commit,9354,False,dirty_or_untracked
??,.tmp/cpiu_prechange_pytest/test_audit_outputs_are_determi0/first/stage81a1_perturbation_asset_audit.csv,GENERATED CACHE - do not commit,1672,False,dirty_or_untracked
??,.tmp/cpiu_prechange_pytest/test_audit_outputs_are_determi0/first/stage81a1_priority_missing_assets.csv,GENERATED CACHE - do not commit,873,False,dirty_or_untracked
??,.tmp/cpiu_prechange_pytest/test_audit_outputs_are_determi0/first/stage81a1_regulatory_evidence_audit.csv,GENERATED CACHE - do not commit,6138,False,dirty_or_untracked
??,.tmp/cpiu_prechange_pytest/test_audit_outputs_are_determi0/first/stage81a1_rna_matrix_audit.csv,GENERATED CACHE - do not commit,4561,False,dirty_or_untracked
??,.tmp/cpiu_prechange_pytest/test_audit_outputs_are_determi0/first/stage81a1_spatial_asset_audit.csv,GENERATED CACHE - do not commit,2148,False,dirty_or_untracked
??,.tmp/cpiu_prechange_pytest/test_audit_outputs_are_determi0/second/stage81a1_dataset_role_registry.csv,GENERATED CACHE - do not commit,2087,False,dirty_or_untracked
??,.tmp/cpiu_prechange_pytest/test_audit_outputs_are_determi0/second/stage81a1_donor_modality_section_crosswalk.csv,GENERATED CACHE - do not commit,32401,False,dirty_or_untracked
??,.tmp/cpiu_prechange_pytest/test_audit_outputs_are_determi0/second/stage81a1_gene_identifier_audit.csv,GENERATED CACHE - do not commit,6694,False,dirty_or_untracked
??,.tmp/cpiu_prechange_pytest/test_audit_outputs_are_determi0/second/stage81a1_graph_lineage_registry.csv,GENERATED CACHE - do not commit,2255,False,dirty_or_untracked
??,.tmp/cpiu_prechange_pytest/test_audit_outputs_are_determi0/second/stage81a1_local_asset_manifest.csv,GENERATED CACHE - do not commit,6198,False,dirty_or_untracked
??,.tmp/cpiu_prechange_pytest/test_audit_outputs_are_determi0/second/stage81a1_multimodal_inventory_report.json,GENERATED CACHE - do not commit,9354,False,dirty_or_untracked
