asset_id,provider,official_record,bucket_or_study,object_key_or_accession,region,modality,release_date,last_modified,remote_url,remote_size,etag,checksum_type,official_sha256_available,object_scope,deprecated_status,superseded_by,access_class,terms_or_license_reference,download_decision,decision_reason,required,intended_role_candidate
local_mtg_rna_final_2024,Allen Institute SEA-AD Open Data on AWS,local_official_historical_asset,sea-ad-single-cell-profiling_or_sea-ad-spatial-transcriptomics,not_applicable,MTG,snRNA,2024-02-13,not_applicable_local_asset,not_applicable_local_asset,not_applicable_local_asset,not_applicable_local_asset,etag_not_promoted_to_md5,False,consolidated_final_nuclei_or_spatial_anndata,historical_preserved,not_applicable,local_historical,Allen_Institute_Terms_of_Use_and_Citation_Policy,preserve_deprecated_official_source,historical_foundation_source,False,historical_foundation_source
sea_ad_ang_rna_final_2026,Allen Institute SEA-AD Open Data on AWS,https://sea-ad-single-cell-profiling.s3.amazonaws.com/AnG/RNAseq/SEAAD_AnG_RNAseq_final-nuclei.2026-06-22.h5ad,sea-ad-single-cell-profiling_or_sea-ad-spatial-transcriptomics,AnG/RNAseq/SEAAD_AnG_RNAseq_final-nuclei.2026-06-22.h5ad,AnG,snRNA,2026-06-22,not_applicable_local_asset,https://sea-ad-single-cell-profiling.s3.amazonaws.com/AnG/RNAseq/SEAAD_AnG_RNAseq_final-nuclei.2026-06-22.h5ad,5326721562,989e051373bc4b67a2af3c998a2da6ed-635,s3_multipart_etag_not_a_checksum,False,consolidated_final_nuclei_or_spatial_anndata,current,not_applicable,open_aws,Allen_Institute_Terms_of_Use_and_Citation_Policy,download,multiregion_foundation_or_replication_candidate_pending_stage81a2,True,multiregion_foundation_or_replication_candidate_pending_stage81a2
sea_ad_caudate_rna_all_2025,Allen Institute SEA-AD Open Data on AWS,https://sea-ad-single-cell-profiling.s3.amazonaws.com/Caudate_Nucleus/CaH_all_nuclei.2025-12-29.h5ad,sea-ad-single-cell-profiling_or_sea-ad-spatial-transcriptomics,Caudate_Nucleus/CaH_all_nuclei.2025-12-29.h5ad,Caudate_Nucleus,snRNA,2025-12-29,not_applicable_local_asset,https://sea-ad-single-cell-profiling.s3.amazonaws.com/Caudate_Nucleus/CaH_all_nuclei.2025-12-29.h5ad,128171432912,bf80995dbc344d393cfdaf84094a79d5-7640,s3_multipart_etag_not_a_checksum,False,all_nuclei_only_current_consolidated_release,current,not_applicable,open_aws,Allen_Institute_Terms_of_Use_and_Citation_Policy,download,multiregion_foundation_or_replication_candidate_pending_stage81a2,True,multiregion_foundation_or_replication_candidate_pending_stage81a2
sea_ad_caudate_xenium_combined_2026,Allen Institute SEA-AD Open Data on AWS,https://sea-ad-spatial-transcriptomics.s3.amazonaws.com/caudate_nucleus/combined_anndata_object/CaH_Xenium.2026-01-07.h5ad,sea-ad-single-cell-profiling_or_sea-ad-spatial-transcriptomics,caudate_nucleus/combined_anndata_object/CaH_Xenium.2026-01-07.h5ad,Caudate_Nucleus,Xenium,2026-01-07,not_applicable_local_asset,https://sea-ad-spatial-transcriptomics.s3.amazonaws.com/caudate_nucleus/combined_anndata_object/CaH_Xenium.2026-01-07.h5ad,3133846231,8a5e2134eb92ec6db29beea4b4264981-374,s3_multipart_etag_not_a_checksum,False,consolidated_final_nuclei_or_spatial_anndata,current,not_applicable,open_aws,Allen_Institute_Terms_of_Use_and_Citation_Policy,download,future_spatial_training_and_evaluation_source,True,future_spatial_training_and_evaluation_source
sea_ad_fi_rna_final_2026,Allen Institute SEA-AD Open Data on AWS,https://sea-ad-single-cell-profiling.s3.amazonaws.com/FI/RNAseq/SEAAD_FI_RNAseq_final-nuclei.2026-06-22.h5ad,sea-ad-single-cell-profiling_or_sea-ad-spatial-transcriptomics,FI/RNAseq/SEAAD_FI_RNAseq_final-nuclei.2026-06-22.h5ad,FI,snRNA,2026-06-22,not_applicable_local_asset,https://sea-ad-single-cell-profiling.s3.amazonaws.com/FI/RNAseq/SEAAD_FI_RNAseq_final-nuclei.2026-06-22.h5ad,5389393159,18063c6c4d5548d8df9e762de224d04b-643,s3_multipart_etag_not_a_checksum,False,consolidated_final_nuclei_or_spatial_anndata,current,not_applicable,open_aws,Allen_Institute_Terms_of_Use_and_Citation_Policy,download,multiregion_foundation_or_replication_candidate_pending_stage81a2,True,multiregion_foundation_or_replication_candidate_pending_stage81a2
sea_ad_hip_merscope_combined_2026,Allen Institute SEA-AD Open Data on AWS,https://sea-ad-spatial-transcriptomics.s3.amazonaws.com/hippocampus/combined_anndata_object/1444211893_HPF_mapped.h5ad,sea-ad-single-cell-profiling_or_sea-ad-spatial-transcriptomics,hippocampus/combined_anndata_object/1444211893_HPF_mapped.h5ad,HIP,MERSCOPE,2026-06-30,not_applicable_local_asset,https://sea-ad-spatial-transcriptomics.s3.amazonaws.com/hippocampus/combined_anndata_object/1444211893_HPF_mapped.h5ad,107711584,6f6fb9a34aa7a22f970a65e37a67599f-13,s3_multipart_etag_not_a_checksum,False,consolidated_final_nuclei_or_spatial_anndata,current,not_applicable,open_aws,Allen_Institute_Terms_of_Use_and_Citation_Policy,download,future_spatial_training_and_evaluation_source,True,future_spatial_training_and_evaluation_source
sea_ad_hip_rna_final_2026,Allen Institute SEA-AD Open Data on AWS,https://sea-ad-single-cell-profiling.s3.amazonaws.com/HIP/RNAseq/SEAAD_HIP_RNAseq_final-nuclei.2026-06-22.h5ad,sea-ad-single-cell-profiling_or_sea-ad-spatial-transcriptomics,HIP/RNAseq/SEAAD_HIP_RNAseq_final-nuclei.2026-06-22.h5ad,HIP,snRNA,2026-06-22,not_applicable_local_asset,https://sea-ad-single-cell-profiling.s3.amazonaws.com/HIP/RNAseq/SEAAD_HIP_RNAseq_final-nuclei.2026-06-22.h5ad,4976204965,0ac97a78f34c853b690aadb750e1ecfd-594,s3_multipart_etag_not_a_checksum,False,consolidated_final_nuclei_or_spatial_anndata,current,not_applicable,open_aws,Allen_Institute_Terms_of_Use_and_Citation_Policy,download,multiregion_foundation_or_replication_candidate_pending_stage81a2,True,multiregion_foundation_or_replication_candidate_pending_stage81a2
sea_ad_itg_rna_final_2026,Allen Institute SEA-AD Open Data on AWS,https://sea-ad-single-cell-profiling.s3.amazonaws.com/ITG/RNAseq/SEAAD_ITG_RNAseq_final-nuclei.2026-06-22.h5ad,sea-ad-single-cell-profiling_or_sea-ad-spatial-transcriptomics,ITG/RNAseq/SEAAD_ITG_RNAseq_final-nuclei.2026-06-22.h5ad,ITG,snRNA,2026-06-22,not_applicable_local_asset,https://sea-ad-single-cell-profiling.s3.amazonaws.com/ITG/RNAseq/SEAAD_ITG_RNAseq_final-nuclei.2026-06-22.h5ad,11472832562,48b77baba96736e3fb6af3e79a009d18-1368,s3_multipart_etag_not_a_checksum,False,consolidated_final_nuclei_or_spatial_anndata,current,not_applicable,open_aws,Allen_Institute_Terms_of_Use_and_Citation_Policy,download,multiregion_foundation_or_replication_candidate_pending_stage81a2,True,multiregion_foundation_or_replication_candidate_pending_stage81a2
sea_ad_lec_rna_final_2026,Allen Institute SEA-AD Open Data on AWS,https://sea-ad-single-cell-profiling.s3.amazonaws.com/LEC/RNAseq/SEAAD_LEC_RNAseq_final-nuclei.2026-06-22.h5ad,sea-ad-single-cell-profiling_or_sea-ad-spatial-transcriptomics,LEC/RNAseq/SEAAD_LEC_RNAseq_final-nuclei.2026-06-22.h5ad,LEC,snRNA,2026-06-22,not_applicable_local_asset,https://sea-ad-single-cell-profiling.s3.amazonaws.com/LEC/RNAseq/SEAAD_LEC_RNAseq_final-nuclei.2026-06-22.h5ad,4241947425,a7a9ce724dd70fb1651f7af11ec07f4b-506,s3_multipart_etag_not_a_checksum,False,consolidated_final_nuclei_or_spatial_anndata,current,not_applicable,open_aws,Allen_Institute_Terms_of_Use_and_Citation_Policy,download,multiregion_foundation_or_replication_candidate_pending_stage81a2,True,multiregion_foundation_or_replication_candidate_pending_stage81a2
sea_ad_mec_merscope_combined_2026,Allen Institute SEA-AD Open Data on AWS,https://sea-ad-spatial-transcriptomics.s3.amazonaws.com/medial-entorhinal-cortex/combined_anndata_object/1444201261_MEC_mapped.h5ad,sea-ad-single-cell-profiling_or_sea-ad-spatial-transcriptomics,medial-entorhinal-cortex/combined_anndata_object/1444201261_MEC_mapped.h5ad,MEC,MERSCOPE,2026-06-30,not_applicable_local_asset,https://sea-ad-spatial-transcriptomics.s3.amazonaws.com/medial-entorhinal-cortex/combined_anndata_object/1444201261_MEC_mapped.h5ad,75877782,924203fb70a858bb6545e314451e5aeb-10,s3_multipart_etag_not_a_checksum,False,consolidated_final_nuclei_or_spatial_anndata,current,not_applicable,open_aws,Allen_Institute_Terms_of_Use_and_Citation_Policy,download,future_spatial_training_and_evaluation_source,True,future_spatial_training_and_evaluation_source
