dataset_id,matrix_id,study_id,technology,assay_type,whole_cell_vs_nucleus,tissue,region,laboratory_or_source,n_train_donors,n_train_cells,n_source_genes,n_vocabulary_genes_measured,raw_count_availability,normalized_matrix_availability,measurement_source,normalization_provenance,matrix_path,measurement_mask_hash
HVS,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,HVS,10x 3' v3,cell,nucleus,neocortex,neocortex,UNKNOWN / NOT PROVIDED,62,3754,18736,4096,RAW COUNT AVAILABLE,DERIVED IN AUDIT ONLY,HVS_COMMON,library_size_normalize_to_10000_then_log1p_with_measurement_mask,data/external/v4/living_human/hvs/19cd530b-622c-4bd8-b738-dbf169412cb0.h5ad,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2
HVS,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,HVS,10x 3' v3,cell,nucleus,neocortex,neocortex,UNKNOWN / NOT PROVIDED,61,6674,18736,4096,RAW COUNT AVAILABLE,DERIVED IN AUDIT ONLY,HVS_COMMON,library_size_normalize_to_10000_then_log1p_with_measurement_mask,data/external/v4/living_human/hvs/38374d1b-6549-4429-b59a-ff2706dacd96.h5ad,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2
HVS,HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,HVS,10x 3' v3,cell,nucleus,neocortex,neocortex,UNKNOWN / NOT PROVIDED,55,455,18736,4096,RAW COUNT AVAILABLE,DERIVED IN AUDIT ONLY,HVS_COMMON,library_size_normalize_to_10000_then_log1p_with_measurement_mask,data/external/v4/living_human/hvs/42c9001a-3a29-4952-aaa0-b55e73851a5c.h5ad,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2
HVS,HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,HVS,10x 3' v3,cell,nucleus,neocortex,neocortex,UNKNOWN / NOT PROVIDED,62,16053,18736,4096,RAW COUNT AVAILABLE,DERIVED IN AUDIT ONLY,HVS_COMMON,library_size_normalize_to_10000_then_log1p_with_measurement_mask,data/external/v4/living_human/hvs/4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd.h5ad,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2
HVS,HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,HVS,10x 3' v3,cell,nucleus,neocortex,neocortex,UNKNOWN / NOT PROVIDED,62,66268,18736,4096,RAW COUNT AVAILABLE,DERIVED IN AUDIT ONLY,HVS_COMMON,library_size_normalize_to_10000_then_log1p_with_measurement_mask,data/external/v4/living_human/hvs/57f3c92b-a07a-41da-b660-88eb9f93c4c9.h5ad,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2
HVS,HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,HVS,10x 3' v3,cell,nucleus,neocortex,neocortex,UNKNOWN / NOT PROVIDED,57,246,18736,4096,RAW COUNT AVAILABLE,DERIVED IN AUDIT ONLY,HVS_COMMON,library_size_normalize_to_10000_then_log1p_with_measurement_mask,data/external/v4/living_human/hvs/5e9da577-f665-44af-b9b4-fa0d5ad1964d.h5ad,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2
HVS,HVS::5fff0955-173e-407d-b160-64f513ca6db6,HVS,10x 3' v3,cell,nucleus,neocortex,neocortex,UNKNOWN / NOT PROVIDED,62,23312,18736,4096,RAW COUNT AVAILABLE,DERIVED IN AUDIT ONLY,HVS_COMMON,library_size_normalize_to_10000_then_log1p_with_measurement_mask,data/external/v4/living_human/hvs/5fff0955-173e-407d-b160-64f513ca6db6.h5ad,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2
HVS,HVS::6201fd7d-f35b-4487-bace-99426881237b,HVS,10x 3' v3,cell,nucleus,neocortex,neocortex,UNKNOWN / NOT PROVIDED,62,4270,18736,4096,RAW COUNT AVAILABLE,DERIVED IN AUDIT ONLY,HVS_COMMON,library_size_normalize_to_10000_then_log1p_with_measurement_mask,data/external/v4/living_human/hvs/6201fd7d-f35b-4487-bace-99426881237b.h5ad,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2
HVS,HVS::77dc6994-2777-4fad-a445-4ff7d143a682,HVS,10x 3' v3,cell,nucleus,neocortex,neocortex,UNKNOWN / NOT PROVIDED,62,5737,18736,4096,RAW COUNT AVAILABLE,DERIVED IN AUDIT ONLY,HVS_COMMON,library_size_normalize_to_10000_then_log1p_with_measurement_mask,data/external/v4/living_human/hvs/77dc6994-2777-4fad-a445-4ff7d143a682.h5ad,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2
HVS,HVS::7958eba0-1d79-42e3-8947-a198f98578f2,HVS,10x 3' v3,cell,nucleus,neocortex,neocortex,UNKNOWN / NOT PROVIDED,61,1207,18736,4096,RAW COUNT AVAILABLE,DERIVED IN AUDIT ONLY,HVS_COMMON,library_size_normalize_to_10000_then_log1p_with_measurement_mask,data/external/v4/living_human/hvs/7958eba0-1d79-42e3-8947-a198f98578f2.h5ad,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2
