dataset_id,modality,shape,feature_space_class,integration_path,rna_vocabulary_eligibility,missing_modality_policy,measurement_mask_required,equivalent_to_full_rna_matrix,leakage_guardrail
gse133357_regional_microglia_fpkm,expression,"[""not_applicable"", ""not_applicable""]",rna_expression_candidate,role_pending_stage81a2,pending_exact_gene_identity_and_stage81a2,not_applicable,False,True,none_beyond_registered_role
gse146639_processed_microglia_archive,expression,"[""not_applicable"", ""not_applicable""]",rna_expression_candidate,role_pending_stage81a2,pending_exact_gene_identity_and_stage81a2,not_applicable,False,True,none_beyond_registered_role
gse175721_09deb6fed0c6,perturbation_expression_or_assignment,unresolved_source_archive_or_table,unresolved_processed_container,pending_content_harmonization,pending_content_harmonization,pending_content_harmonization,False,False,none_beyond_registered_role
gse175721_efcc78179a9c,documentation,unresolved_source_archive_or_table,documentation_or_assignment,documentation_or_assignment_support,not_applicable,not_applicable,False,False,none_beyond_registered_role
gse178317_ba77161eeaa1,perturbation_expression_or_assignment,unresolved_source_archive_or_table,unresolved_processed_container,pending_content_harmonization,pending_content_harmonization,pending_content_harmonization,False,False,none_beyond_registered_role
gse178317_f5881facc710,perturbation_expression_or_assignment,unresolved_source_archive_or_table,unresolved_processed_container,pending_content_harmonization,pending_content_harmonization,pending_content_harmonization,False,False,none_beyond_registered_role
gse240609_1155194f2ab8,perturbation_expression_or_assignment,unresolved_source_archive_or_table,unresolved_processed_container,pending_content_harmonization,pending_content_harmonization,pending_content_harmonization,False,False,none_beyond_registered_role
gse241858_139c1d1976d8,perturbation_expression_or_assignment,unresolved_source_archive_or_table,unresolved_processed_container,pending_content_harmonization,pending_content_harmonization,pending_content_harmonization,False,False,none_beyond_registered_role
gse241858_cb7d87bdeb0f,perturbation_expression_or_assignment,unresolved_source_archive_or_table,unresolved_processed_container,pending_content_harmonization,pending_content_harmonization,pending_content_harmonization,False,False,none_beyond_registered_role
gse243292_full_dlpfc_h5ad,expression,"[122606, 26423]",rna_expression_candidate,pathology_context_validation_only,validation_only_not_foundation_vocabulary_selection,not_applicable,False,True,pathology_fields_prohibited_from_pathology_blind_foundation_supervision
gse243292_readme,documentation,"[""not_applicable"", ""not_applicable""]",documentation_or_assignment,documentation_or_assignment_support,not_applicable,not_applicable,False,False,none_beyond_registered_role
