status,donor_fold,matrix_id,study_id,n_cells,raw_measured_scalar_ceiling_r2,projected_global_state_recovery_r2,paired_view_identity_baseline_r2,paired_view_projected_r2,gap_to_raw_measured_scalar_ceiling
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,0,NPH52::matrix::OPC_data_arranged_updatedId_final_batches.qs,NPH52,4,1.0,0.5676744192771,0.09950364514208843,0.4356175176617427,0.43232558072289995
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,0,NPH52::matrix::Oligo_data_arranged_updatedId_final_batches.qs,NPH52,4,1.0,0.5373266484006338,0.014325074751861067,0.4027183975398322,0.4626733515993662
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,0,sea_ad_ang_rna_final_2026,SEA_AD,35,1.0,0.4337042619576744,-0.017715414055124112,0.34183949032778616,0.5662957380423256
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,0,sea_ad_caudate_rna_all_2025,SEA_AD,35,1.0,0.4765436549148909,0.07126589346903556,0.38889902260801223,0.5234563450851091
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,0,sea_ad_fi_rna_final_2026,SEA_AD,36,1.0,0.4249496094455498,-0.06494660373874117,0.3332915742391208,0.5750503905544502
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,0,sea_ad_hip_rna_final_2026,SEA_AD,36,1.0,0.44348186939144685,0.0015249394672615102,0.35896960170877745,0.5565181306085532
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,0,sea_ad_itg_rna_final_2026,SEA_AD,35,1.0,0.4411947968925506,-0.022872407762126512,0.3548308521692992,0.5588052031074494
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,0,sea_ad_lec_rna_final_2026,SEA_AD,32,1.0,0.4547441206147086,0.06211272435527915,0.3765595578662705,0.5452558793852914
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,0,sea_ad_mec_rna_final_2026,SEA_AD,36,1.0,0.413510581680003,-0.07699219012063119,0.3202006435535194,0.586489418319997
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,0,sea_ad_mtg_rna_final_2026,SEA_AD,34,1.0,0.42990315620376796,-0.007671364941287617,0.3347175481490402,0.570096843796232
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,0,sea_ad_pfc_a9_rna_final_2026,SEA_AD,34,1.0,0.42233884329797466,-0.03699398619823713,0.34563939943749233,0.5776611567020253
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,0,sea_ad_stg_rna_final_2026,SEA_AD,35,1.0,0.5406119782795125,0.17531653137537762,0.4503574030183486,0.45938802172048754
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,0,sea_ad_v1c_rna_final_2026,SEA_AD,35,1.0,0.4691702003024797,0.04490583062206799,0.3736389036727016,0.5308297996975203
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,HVS,24,1.0,0.33796377249402465,-0.3185784440574855,0.2344237115412524,0.6620362275059753
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,HVS,23,1.0,0.3934508316277182,-0.14460018581441325,0.2796750544627935,0.6065491683722818
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,HVS,25,1.0,0.4479116887449468,-0.08024845457870411,0.32179481711324065,0.5520883112550532
