nph_unresolved_identity_index,source_feature_id_raw,source_feature_symbol_raw,source_ensembl_or_gene_id,source_ncbi_gene_id,source_refseq_id,source_transcript_id,materialized_rows,source_objects,source_object_count,coordinates_present,assembly_known,biotype_present,multiple_anchors_present,no_exact_anchor_present,exact_anchor_types
23,AC004017.1,AC004017.1,,,,,7,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,7,False,False,False,False,True,
24,AC004052.1,AC004052.1,,,,,1,Oligo_data_arranged_updatedId_final_batches.qs,1,False,False,False,False,True,
25,AC004079.1,AC004079.1,,,,,1,ExN_data_arranged_updatedId_final_batches.qs,1,False,False,False,False,True,
26,AC004257.3,AC004257.3,,,,,7,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,7,False,False,False,False,True,
27,AC004410.3,AC004410.3,,,,,7,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,7,False,False,False,False,True,
28,AC004447.2,AC004447.2,,,,,7,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,7,False,False,False,False,True,
29,AC004458.1,AC004458.1,,,,,1,ExN_data_arranged_updatedId_final_batches.qs,1,False,False,False,False,True,
30,AC004460.1,AC004460.1,,,,,1,ExN_data_arranged_updatedId_final_batches.qs,1,False,False,False,False,True,
31,AC004492.1,AC004492.1,,,,,3,Astro_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs,3,False,False,False,False,True,
32,AC004528.1,AC004528.1,,,,,4,Astro_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,4,False,False,False,False,True,
33,AC004552.1,AC004552.1,,,,,6,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,6,False,False,False,False,True,
34,AC004595.1,AC004595.1,,,,,4,Astro_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,4,False,False,False,False,True,
35,AC004655.1,AC004655.1,,,,,2,ExN_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,2,False,False,False,False,True,
36,AC004656.1,AC004656.1,,,,,6,Astro_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,6,False,False,False,False,True,
37,AC004812.1,AC004812.1,,,,,7,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,7,False,False,False,False,True,
38,AC004817.1,AC004817.1,,,,,5,Astro_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,5,False,False,False,False,True,
39,AC004840.9,AC004840.9,,,,,7,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,7,False,False,False,False,True,
40,AC004851.1,AC004851.1,,,,,6,Astro_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,6,False,False,False,False,True,
41,AC004878.7,AC004878.7,,,,,7,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,7,False,False,False,False,True,
42,AC004878.8,AC004878.8,,,,,7,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,7,False,False,False,False,True,
43,AC004924.1,AC004924.1,,,,,1,ExN_data_arranged_updatedId_final_batches.qs,1,False,False,False,False,True,
44,AC004969.1,AC004969.1,,,,,4,Astro_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,4,False,False,False,False,True,
45,AC004980.1,AC004980.1,,,,,5,Astro_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,5,False,False,False,False,True,
46,AC005020.1,AC005020.1,,,,,1,MG_data_arranged_updatedId_final_batches.qs,1,False,False,False,False,True,
47,AC005027.3,AC005027.3,,,,,7,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,7,False,False,False,False,True,
48,AC005037.2,AC005037.2,,,,,3,ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs,3,False,False,False,False,True,
49,AC005041.17,AC005041.17,,,,,5,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,5,False,False,False,False,True,
50,AC005071.1,AC005071.1,,,,,6,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,6,False,False,False,False,True,
51,AC005082.1,AC005082.1,,,,,7,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,7,False,False,False,False,True,
