matrix_id,dataset_id,study_id,n_bounded_train_cells,technology,tissue,library_size_min,library_size_p01,library_size_p10,library_size_p25,library_size_median,library_size_p75,library_size_p90,library_size_p99,library_size_max,detected_genes_min,detected_genes_p01,detected_genes_p10,detected_genes_p25,detected_genes_median,detected_genes_p75,detected_genes_p90,detected_genes_p99,detected_genes_max,zero_fraction_min,zero_fraction_p01,zero_fraction_p10,zero_fraction_p25,zero_fraction_median,zero_fraction_p75,zero_fraction_p90,zero_fraction_p99,zero_fraction_max,normalized_nonzero_min,normalized_nonzero_p01,normalized_nonzero_p10,normalized_nonzero_p25,normalized_nonzero_median,normalized_nonzero_p75,normalized_nonzero_p90,normalized_nonzero_p99,normalized_nonzero_max
HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,HVS,HVS,512,10x 3' v3,neocortex,1362.0,1940.3,7598.1,10893.75,15755.5,23090.25,31787.9,55801.169999999984,76352.0,663.0,825.88,1927.7,2321.25,2694.5,3040.5,3269.1000000000004,3604.24,3737.0,0.087646484375,0.12005859375,0.2018798828125,0.2576904296875,0.3421630859375,0.43328857421875,0.5293701171875003,0.798369140625,0.838134765625,0.5570272207260132,0.6139010351896286,0.6740639388561249,0.7352071106433868,0.836110383272171,0.9946164786815643,1.1418577909469605,1.817087924480438,2.1213202476501465
HVS::38374d1b-6549-4429-b59a-ff2706dacd96,HVS,HVS,512,10x 3' v3,neocortex,4475.0,5818.39,12752.3,17935.0,24592.0,35168.75,48004.60000000002,82397.54999999999,111486.0,1405.0,1689.14,2430.3,2794.5,3119.0,3403.5,3607.9,3810.67,3946.0,0.03662109375,0.06966064453125,0.1191650390625,0.1690673828125,0.238525390625,0.3177490234375,0.4066650390625,0.5876123046874995,0.656982421875,0.5409156680107117,0.5586669301986694,0.6161103785037995,0.652321845293045,0.7143029868602753,0.7998647391796112,0.9174554347991944,1.1795839357376097,1.315011978149414
HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,HVS,HVS,455,10x 3' v3,neocortex,4887.0,6324.28,16808.2,23051.0,32701.0,43481.0,56039.4,85379.29999999999,106102.0,1595.0,1710.16,2719.6,3019.0,3330.0,3547.5,3662.8,3823.0399999999995,3936.0,0.0390625,0.066640625,0.10576171875000001,0.1339111328125,0.18701171875,0.262939453125,0.3360351562500001,0.58248046875,0.610595703125,0.46360164880752563,0.5435464179515839,0.580681037902832,0.6156481206417084,0.6585084199905396,0.7210262715816498,0.8228250741958618,1.084821064472198,1.304935097694397
HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,HVS,HVS,512,10x 3' v3,neocortex,1216.0,2095.62,7063.4,10633.5,16457.0,23874.5,35119.800000000025,62289.51999999999,79844.0,603.0,805.76,1805.7,2256.75,2669.5,3073.25,3334.9,3698.58,3773.0,0.078857421875,0.0970263671875,0.1858154296875,0.24969482421875,0.3482666015625,0.44903564453125,0.5591552734375,0.80328125,0.852783203125,0.5604527592658997,0.5824417316913605,0.6424293875694275,0.7137310355901718,0.8179913461208344,0.9768624305725098,1.1283108949661256,1.7709240210056303,2.2217745780944824
HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,HVS,HVS,512,10x 3' v3,neocortex,1308.0,3298.39,8905.2,13645.75,22414.0,33116.0,51289.0,83467.5499999999,106092.0,657.0,1233.19,2128.3,2530.0,2983.5,3350.25,3606.7000000000003,3834.7799999999997,3896.0,0.048828125,0.0637744140625,0.1194580078125,0.18206787109375,0.2716064453125,0.38232421875,0.4803955078125,0.6989282226562499,0.839599609375,0.5363658666610718,0.5591035109758377,0.626275360584259,0.6745796650648117,0.7570267617702484,0.8830602020025253,1.0645252466201782,1.394218542575836,2.1570112705230713
HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,HVS,HVS,246,10x 3' v3,neocortex,1798.0,3488.1,8272.5,11677.75,17753.5,26509.75,35169.5,65114.45000000008,102307.0,762.0,1145.1,1941.0,2345.75,2755.0,3159.75,3366.5,3704.6500000000005,3762.0,0.08154296875,0.09554443359375,0.1781005859375,0.22857666015625,0.327392578125,0.42730712890625,0.526123046875,0.7204345703125001,0.81396484375,0.461511492729187,0.5674165517091752,0.63468798995018,0.7043490707874298,0.7747487425804138,0.9038278311491013,1.0476384162902832,1.3534053504467018,1.881255030632019
HVS::5fff0955-173e-407d-b160-64f513ca6db6,HVS,HVS,512,10x 3' v3,neocortex,1239.0,2921.29,5348.7,6888.5,10346.0,15288.0,21464.9,34613.96999999998,61333.0,658.0,1158.99,1565.2,1853.0,2252.5,2677.0,2942.4,3347.58,3696.0,0.09765625,0.1827197265625,0.281640625,0.346435546875,0.4500732421875,0.547607421875,0.6178710937500002,0.7170434570312499,0.83935546875,0.5962076783180237,0.6400913161039352,0.7515802502632141,0.8315749615430832,0.9401742517948151,1.0670075714588165,1.1925657749176026,1.508019754886627,2.205085277557373
HVS::6201fd7d-f35b-4487-bace-99426881237b,HVS,HVS,512,10x 3' v3,neocortex,3499.0,5321.49,11465.7,15581.5,22170.5,31752.5,44460.40000000002,83426.36999999991,110750.0,1255.0,1455.26,2370.2,2660.0,3014.5,3314.25,3493.4,3761.8099999999995,3933.0,0.039794921875,0.08158935546875,0.147119140625,0.19085693359375,0.2640380859375,0.3505859375,0.42133789062500004,0.6447119140624991,0.693603515625,0.5116313695907593,0.5588832509517669,0.630476588010788,0.6720748096704483,0.7441529333591461,0.848148912191391,0.9729297161102295,1.2619744765758514,1.7101898193359375
HVS::77dc6994-2777-4fad-a445-4ff7d143a682,HVS,HVS,512,10x 3' v3,neocortex,2547.0,3777.58,11266.2,16324.25,23937.5,35228.5,46187.100000000006,78969.90999999999,145227.0,1066.0,1292.31,2295.7,2697.0,3069.5,3401.5,3583.7000000000003,3840.3699999999994,3941.0,0.037841796875,0.062409667968750006,0.1250732421875,0.1695556640625,0.2506103515625,0.341552734375,0.43952636718750004,0.6844946289062499,0.73974609375,0.5427777171134949,0.5671387511491776,0.6194466471672058,0.654928669333458,0.7239584624767303,0.8148801028728485,0.9965457022190095,1.2939781010150908,1.5945653915405273
HVS::7958eba0-1d79-42e3-8947-a198f98578f2,HVS,HVS,512,10x 3' v3,neocortex,1588.0,2190.94,6438.900000000001,9759.25,13888.0,20146.25,28551.100000000006,45195.21999999995,55804.0,702.0,882.77,1800.5,2157.75,2552.0,2903.0,3163.2000000000003,3492.79,3793.0,0.073974609375,0.14726806640625,0.227734375,0.291259765625,0.376953125,0.47320556640625,0.5604248046875,0.78447998046875,0.82861328125,0.5674518346786499,0.628130066394806,0.6967314779758453,0.7554067522287369,0.853943258523941,0.9924498051404953,1.139397978782654,1.716390821933746,1.987494707107544
HVS::7b96819c-598c-47a1-9cea-f410fc0c37fa,HVS,HVS,512,10x 3' v3,neocortex,1318.0,1418.76,1825.6,2412.25,3474.0,4850.75,6561.600000000003,12759.259999999995,26681.0,566.0,583.11,697.7,864.25,1105.5,1365.25,1620.8000000000004,2198.0099999999998,3050.0,0.25537109375,0.46337646484375,0.604296875,0.66668701171875,0.7301025390625,0.78900146484375,0.8296630859375,0.85763916015625,0.86181640625,0.7256068587303162,0.8701797592639923,1.0314346551895142,1.1881955564022064,1.377102792263031,1.6381258070468903,1.8683583974838258,2.085480403900146,2.1502790451049805
