asset_id,accession,filename,remote_url,remote_size,last_modified,etag,provider,official_record,access_class,primary_role,decision,raw_sequencing_selected
gse175721_efcc78179a9c,GSE175721,GSE175721_CRISPR_seq.fa.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175721/suppl/GSE175721_CRISPR_seq.fa.gz,427,"Fri, 28 May 2021 13:08:08 GMT",,NCBI_GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE175721,open,amyloid_context_validation,download_processed_supplementary,False
gse175721_09deb6fed0c6,GSE175721,GSE175721_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175721/suppl/GSE175721_RAW.tar,160399360,"Tue, 21 Dec 2021 19:35:39 GMT",,NCBI_GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE175721,open,amyloid_context_validation,download_processed_supplementary,False
gse178317_ba77161eeaa1,GSE178317,GSE178317_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE178nnn/GSE178317/suppl/GSE178317_RAW.tar,1010032640,"Sat, 19 Jun 2021 21:52:32 GMT",,NCBI_GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178317,open,primary_microglial_perturbation_training,download_processed_supplementary,False
gse178317_f5881facc710,GSE178317,GSE178317_iTF_Microglia_RNAseq_abundance.csv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE178nnn/GSE178317/suppl/GSE178317_iTF_Microglia_RNAseq_abundance.csv.gz,1668560,"Wed, 16 Jun 2021 15:38:22 GMT",,NCBI_GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178317,open,primary_microglial_perturbation_training,download_processed_supplementary,False
gse240609_1155194f2ab8,GSE240609,GSE240609_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE240nnn/GSE240609/suppl/GSE240609_RAW.tar,440320,"Fri, 27 Dec 2024 14:34:50 GMT",,NCBI_GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240609,open,mechanistic_bulk_validation,download_processed_supplementary,False
gse241858_cb7d87bdeb0f,GSE241858,GSE241858_TREM2_RNAseq_countfile.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241858/suppl/GSE241858_TREM2_RNAseq_countfile.txt.gz,509325,"Tue, 29 Aug 2023 20:45:23 GMT",,NCBI_GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241858,open,genotype_context_validation,download_processed_supplementary,False
gse241858_139c1d1976d8,GSE241858,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241858/suppl/GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,940109,"Tue, 29 Aug 2023 20:45:24 GMT",,NCBI_GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241858,open,genotype_context_validation,download_processed_supplementary,False
gse254205_cff143b59c0c,GSE254205,GSE254205_ad_raw.h5ad.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE254nnn/GSE254205/suppl/GSE254205_ad_raw.h5ad.gz,734059992,"Thu, 25 Jan 2024 16:10:50 GMT",,NCBI_GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254205,open,genotype_context_validation,download_processed_supplementary,False
gse254205_3bc2196b5493,GSE254205,GSE254205_human_APOE3_IPSCmicroglia_ATAC.tar.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE254nnn/GSE254205/suppl/GSE254205_human_APOE3_IPSCmicroglia_ATAC.tar.gz,1701960,"Thu, 25 Jan 2024 16:10:50 GMT",,NCBI_GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254205,open,genotype_context_validation,download_processed_supplementary,False
gse254205_fca1d393501d,GSE254205,GSE254205_iMG_AB_GNE_treatment_RNA_Seq.tar.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE254nnn/GSE254205/suppl/GSE254205_iMG_AB_GNE_treatment_RNA_Seq.tar.gz,2327894,"Thu, 25 Jan 2024 16:10:51 GMT",,NCBI_GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254205,open,genotype_context_validation,download_processed_supplementary,False
gse254205_8ae26813ce5d,GSE254205,GSE254205_iMG_LD_sort_RNA_seq.tar.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE254nnn/GSE254205/suppl/GSE254205_iMG_LD_sort_RNA_seq.tar.gz,2114725,"Thu, 25 Jan 2024 16:10:52 GMT",,NCBI_GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254205,open,genotype_context_validation,download_processed_supplementary,False
gse293118_1d15aff2e5fa,GSE293118,GSE293118_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE293nnn/GSE293118/suppl/GSE293118_RAW.tar,1113804800,"Tue, 26 May 2026 04:22:45 GMT",,NCBI_GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE293118,open,regulatory_element_perturbation,download_processed_supplementary,False
gse293118_6dab6ce5e82e,GSE293118,GSE293118_feature_reference.csv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE293nnn/GSE293118/suppl/GSE293118_feature_reference.csv.gz,4626,"Thu, 27 Mar 2025 18:45:29 GMT",,NCBI_GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE293118,open,regulatory_element_perturbation,download_processed_supplementary,False
gse301119_5ff4821904a5,GSE301119,GSE301119_CRISPRa_seurat5.rds,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE301nnn/GSE301119/suppl/GSE301119_CRISPRa_seurat5.rds,345798341,"Tue, 24 Jun 2025 22:25:41 GMT",,NCBI_GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE301119,open,myeloid_auxiliary_training,download_processed_supplementary,False
