correlation_fraction_above_0.1,correlation_fraction_above_0.2,correlation_fraction_above_0.3,correlation_fraction_above_0.5,correlation_maximum,correlation_mean,correlation_median,correlation_minimum,correlation_p10,correlation_p25,correlation_p75,correlation_p90,correlation_p95,correlation_p99,covariance,diagonal_nll_per_dimension,effective_rank,family,full_covariance_ridge,full_minus_diagonal_nll_improvement_per_dimension,full_nll_per_dimension,nll_evaluation_status,offdiag_energy_fraction,top_16_cumulative_fraction,top_1_fraction,top_32_cumulative_fraction,top_4_cumulative_fraction,top_64_cumulative_fraction,top_8_cumulative_fraction,view
0.14528301886792452,0.015172955974842767,0.001650943396226415,0.0,0.43334651893864445,0.05499522126124136,0.04397115660231416,9.904934564366162e-08,0.008100764223832808,0.02075406152776179,0.07624572226351387,0.11497001506815872,0.14401472253435604,0.2203387017227577,prior,,115.96254393805009,RANDOM_40,,,,not_applicable_prior,0.4612224666526929,0.33751310763160886,0.03610627484499967,0.5041176372403439,0.1179194004874214,0.6994672296346528,0.20561898626856556,0
0.00031446540880503143,0.0,0.0,0.0,0.10673470260935136,0.022422655089656195,0.01887465340629331,5.646560209093535e-06,0.0036038665459953616,0.00892410395683238,0.03253729270781819,0.04609326947687131,0.05447487390581742,0.0726364558217647,noise,0.356215496922274,131.21731086850895,RANDOM_40,1.6393800687323447e-05,-0.00018910592009511112,0.3564046028423691,sealed_scored,0.09474853857405904,0.19186027503961184,0.01372451250443187,0.35392480559012024,0.05209560931036815,0.620275554349711,0.10144737831041313,0
0.020440251572327043,0.0,0.0,0.0,0.18110736616722906,0.03452681585034968,0.02933309466537903,5.942290840686953e-07,0.005646687308781592,0.014044919950458682,0.049450511329226926,0.07137831443743185,0.0854392090877481,0.10923948393798585,conditional,13.9526364997753,126.47617652043421,RANDOM_40,8.945858079093055e-07,-3.412073445130457,17.364709944905755,sealed_scored,0.19836199125895862,0.22638375798522933,0.01696367965523329,0.40462812544149074,0.06368939823970542,0.6693367799327274,0.12157849926941529,0
0.13757861635220126,0.013600628930817609,0.0014150943396226414,0.0,0.40472360503456556,0.05445060608537722,0.04333941560545719,1.2147654248567863e-06,0.007748292984333991,0.020227087970911634,0.07614903907207703,0.11443383460402588,0.14226168461515093,0.21512908892333818,prior,,116.16635618483565,RANDOM_40,,,,not_applicable_prior,0.456294202810052,0.3394254467581472,0.033038073983415246,0.5041522080974767,0.11568052175966344,0.6988323781974957,0.2034658245903089,1
7.861635220125786e-05,0.0,0.0,0.0,0.10656189525718393,0.022228180365377572,0.01860810649493659,1.2218340183594577e-06,0.0033022258873336876,0.008622559180734693,0.0321842195508737,0.04604662147310323,0.05560033000251984,0.07192839685192633,noise,0.3560263608568549,131.52614250244022,RANDOM_40,1.6393815887583287e-05,0.0020651533288822566,0.3539612075279726,sealed_scored,0.09362072236099447,0.18977862185219008,0.013154838666815289,0.3525053312179681,0.05100254036850259,0.6181641892616617,0.09915889934820377,1
0.02240566037735849,0.0,0.0,0.0,0.16256678276375044,0.03473381574817569,0.02905739871243376,4.31479435542936e-06,0.005491387531787385,0.013935937807619071,0.05026135537932268,0.07155176450473623,0.08506014648972883,0.11407833548473024,conditional,13.776988466702006,126.10491592328147,RANDOM_40,8.939445247635514e-07,-3.446437697528183,17.22342616423019,sealed_scored,0.2027885701313501,0.2290866392943147,0.016158106682465753,0.4074424788318887,0.06279956741733013,0.6722770765888181,0.12158438789594804,1
0.13726415094339622,0.013364779874213835,0.0021226415094339622,0.0,0.4852075104047088,0.054493403921910724,0.043791204564961765,3.0025842786819236e-05,0.00799239874531971,0.020508127849177615,0.0754390016259226,0.1131751585283532,0.14282476273310174,0.21925229215784037,prior,,116.22436095253313,RANDOM_40,,,,not_applicable_prior,0.4575714962606299,0.33828214977403553,0.03302414134674231,0.5041264828468842,0.1163264683129773,0.6984139443079219,0.20424799041280678,2
0.0002358490566037736,0.0,0.0,0.0,0.1142766450427341,0.022279844535593358,0.019094191370156093,8.683174109770922e-06,0.0035296842064233593,0.009062355155536462,0.03195326180220669,0.045890077996429635,0.05454137107837215,0.07148113325709328,noise,0.3624211780955695,131.55540341456248,RANDOM_40,1.6405300047317433e-05,-0.0010067775917856508,0.3634279556873552,sealed_scored,0.09330900547289829,0.19124763772736297,0.013324870836560398,0.35255746883604866,0.05165909806398672,0.6180544422084743,0.1009489389934239,2
0.021147798742138364,0.0,0.0,0.0,0.1823466675180683,0.03456317923081885,0.02898436914525143,7.781705954601687e-07,0.005401522307274251,0.013805701753781801,0.050005547248495666,0.07095205814936971,0.0845395928599367,0.11193630594333875,conditional,13.642914187580192,126.3643872090824,RANDOM_40,8.992456352262471e-07,-3.363258994218743,17.006173181798935,sealed_scored,0.19989516125870813,0.22598345187443797,0.01678714487600775,0.4042432269853691,0.06365586560607536,0.6709787164415837,0.12106388086948196,2
0.15448113207547168,0.016981132075471698,0.0021226415094339622,0.0,0.48705468043008193,0.05664765532186983,0.04512546362138482,2.1601661770102522e-05,0.008188375427717012,0.020937475227299808,0.07929265978284535,0.11870752632259897,0.14667378364512,0.2273021970554914,prior,,114.1024680894467,RANDOM_40,,,,not_applicable_prior,0.47855206984064835,0.34834815709927136,0.03516588516158528,0.5120168724454696,0.12543369503413282,0.7023729244758313,0.2148827879548512,3
0.0002358490566037736,0.0,0.0,0.0,0.11162942979112067,0.022283282855148235,0.01872498026503011,1.7015099429227645e-07,0.0033605586085899393,0.008707657176333506,0.03229237285469393,0.04630137259218088,0.05497275111630812,0.07164443558092759,noise,0.35554859728124955,131.5754179378307,RANDOM_40,1.637970538047987e-05,-0.000366900495977744,0.35591549777722725,sealed_scored,0.09355597443194394,0.19060689282086016,0.013456977842763517,0.3520448456675809,0.051563252887076264,0.617856263973293,0.09995873117637778,3
0.022091194968553458,0.0,0.0,0.0,0.19598675932020557,0.03452166518367541,0.02919140936181375,2.1174470689285805e-06,0.005309393506490588,0.013700913946184825,0.04964166435108973,0.07119719098022585,0.08553732178337119,0.11237983901104873,conditional,13.427996213527589,126.71201009799623,RANDOM_40,9.015485293181756e-07,-3.188304375130417,16.616300588658007,sealed_scored,0.19682348263669544,0.22440506384432515,0.016416669968550186,0.4030544276207947,0.062230924304522955,0.6680879480488942,0.11973201939756006,3
0.4227201257861635,0.11965408805031445,0.027201257861635218,0.0010220125786163522,0.6640941807417625,0.10202360853068124,0.08386999082338105,1.3269736483078907e-05,0.014873888963667023,0.0388644279821584,0.14628848219269994,0.21247251492499486,0.2599252885929949,0.3585952601172378,prior,,62.0062840632314,COEXPRESSION_BLOCK_40,,,,not_applicable_prior,0.7145348922911723,0.6077628096024967,0.0730825332952861,0.7408664149336243,0.23743998391087634,0.8478056621687229,0.3954326924324811,0
0.022091194968553458,0.0029874213836477985,0.0004716981132075472,0.0,0.3879515404860476,0.028081412784980574,0.02172729239674666,3.573781964832671e-06,0.004036976736915266,0.010173965796719983,0.03730621914552625,0.0565544393574288,0.07219081876616867,0.14315401346013623,noise,0.35911467038788036,129.25022160624695,COEXPRESSION_BLOCK_40,1.6457323626072296e-05,0.05252949668965813,0.30658517369822225,sealed_scored,0.10285569053285455,0.19288262967044856,0.013473309547229828,0.3568418849417148,0.052246106667138026,0.6250530429031591,0.10133194096074674,0
0.12586477987421382,0.02751572327044025,0.01281446540880503,0.0024371069182389936,0.823175889400697,0.055268543286860795,0.04016077069906712,3.875024334655962e-06,0.007525002576953236,0.01875064844567663,0.07028084916895538,0.110764005017712,0.15057955384881805,0.33677068228769097,conditional,13.950768675630357,108.63422932989859,COEXPRESSION_BLOCK_40,1.1098227501002545e-06,-3.165376055174677,17.116144730805033,sealed_scored,0.447019618077636,0.32329962421537617,0.0535789277246008,0.49281111766357827,0.12559143011665438,0.7261548781333097,0.2033312205049392,0
0.42484276729559745,0.11847484276729559,0.02382075471698113,0.0008647798742138364,0.6998485803952097,0.1018069864694223,0.08447578845518447,5.445038370502867e-06,0.01570684271628593,0.039248646765229815,0.14494713284240301,0.21169156134043543,0.25522665665321426,0.35510867074542773,prior,,65.36495766409722,COEXPRESSION_BLOCK_40,,,,not_applicable_prior,0.7218496724864606,0.593079820596835,0.06736863159116116,0.7230704319204222,0.2280716425695383,0.8369151771427498,0.38127585187326934,1
0.02311320754716981,0.0034591194968553456,0.0009433962264150943,0.0,0.4576060981988884,0.028310759938529398,0.021761184071676907,1.898950209651999e-06,0.004178525945158,0.01021658409497964,0.03770845586289289,0.056014940235763346,0.07261684336971608,0.14593198082678963,noise,0.35160715073544435,129.0227093119846,COEXPRESSION_BLOCK_40,1.625513497585335e-05,0.06054584931971542,0.29106130141572895,sealed_scored,0.10552509836950165,0.19527132818361273,0.013784435668397035,0.35868094057931843,0.0531333879099619,0.6266082008989728,0.10285876509150425,1
0.11729559748427672,0.020754716981132074,0.00731132075471698,0.0007861635220125786,0.7727854866519345,0.052451232463355826,0.039627846564066045,3.668093011058497e-06,0.007217459214894584,0.018509939440685828,0.07000448729910384,0.10697682953143782,0.13719552482076836,0.2697140138064425,conditional,13.697690335563,113.41812410992127,COEXPRESSION_BLOCK_40,1.0782680674798908e-06,-3.259513756346326,16.957204091909325,sealed_scored,0.3782289447441708,0.303132917981336,0.029419412968045323,0.47799785134328465,0.10141412056680026,0.7172483396604644,0.17913937381206801,1
0.4046383647798742,0.10471698113207546,0.022641509433962263,0.00110062893081761,0.733267119678931,0.09848828478877635,0.08080232666944989,5.065390798938799e-06,0.015173159538175683,0.038927228500391625,0.1398967600530907,0.20288313174750597,0.24980760333710939,0.35816311948385254,prior,,62.71435474809826,COEXPRESSION_BLOCK_40,,,,not_applicable_prior,0.7036999720211519,0.6025467858758885,0.07716922430495093,0.7305861200403989,0.25086972792137885,0.8414084207271738,0.409755709073388,2
0.02311320754716981,0.004481132075471698,0.0009433962264150943,7.861635220125786e-05,0.5890208468823365,0.02818483224623218,0.021632609063846498,1.2205411193896514e-06,0.004221512538792539,0.01024555686154947,0.03712183247315526,0.05607068909300521,0.07196598451904189,0.14640955285225937,noise,0.3578614972395088,129.1113231453762,COEXPRESSION_BLOCK_40,1.6450409407117803e-05,0.06705674219475041,0.29080475504475833,sealed_scored,0.1066035048187498,0.1947477622292542,0.013661312658512236,0.35880621971231996,0.05284865009768898,0.6259481674561403,0.10252552737988072,2
0.10691823899371068,0.018632075471698113,0.0067610062893081755,0.00110062893081761,0.7128936775798156,0.050794190602583965,0.038860400026915216,4.873562997613074e-06,0.006985121794859988,0.01777424681927867,0.06803593837606145,0.10245150748862823,0.13099350647724747,0.25167850915609924,conditional,13.872710691190576,113.2803019589704,COEXPRESSION_BLOCK_40,1.0851194224356893e-06,-3.3200441289335925,17.192754820124172,sealed_scored,0.363142242889858,0.3065419848368207,0.029575307035361025,0.4804687824914228,0.1017462733963262,0.7168656659951083,0.1805123080923015,2
0.398191823899371,0.10691823899371068,0.025157232704402514,0.0008647798742138364,0.6616885871766143,0.09800919677910891,0.0793008957389217,1.9694282364194563e-06,0.014850502561584983,0.03761682147119868,0.13894063348066132,0.2046834648705273,0.2538613079380907,0.3501170044566965,prior,,62.24729717476313,COEXPRESSION_BLOCK_40,,,,not_applicable_prior,0.7022781569835224,0.6058819303529496,0.07150572866297755,0.7374323099944232,0.24057245483855016,0.8453764551291105,0.4007684470789141,3
0.024056603773584904,0.0047169811320754715,0.0004716981132075472,0.0,0.37388164683509645,0.028135674584687926,0.021346243685513293,7.206790927383702e-07,0.003927698249367718,0.009925030744994966,0.03724529557390187,0.05607173343012369,0.07252489556813159,0.1492422748086582,noise,0.3599947872945042,129.04936656043458,COEXPRESSION_BLOCK_40,1.6200057696719585e-05,0.05443651734626436,0.30555826994823987,sealed_scored,0.10360860762665769,0.19310568041116066,0.01350686588791981,0.3572946406941793,0.052239854939575545,0.6269819005046143,0.10131775509304781,3
0.1150943396226415,0.021855345911949684,0.008962264150943396,0.0012578616352201257,0.6012140840547414,0.05231287928114555,0.03906923714560912,1.8620174627930485e-06,0.007064771339716739,0.018150304311345733,0.06862194198000482,0.10514937405324687,0.14220908621409148,0.2798787421143668,conditional,13.681316602523776,111.94148014669948,COEXPRESSION_BLOCK_40,1.093575827942897e-06,-3.134881884358987,16.81619848688276,sealed_scored,0.39351649296078206,0.312244265337517,0.0338602664290075,0.483486652341228,0.1105579219112152,0.7216191050686523,0.18984756374283734,3
