asset_id,region,modality,shape,x_encoding,x_dtype,x_sparse_or_dense,raw_present,raw_shape,layer_names,layer_dtypes,integer_count_layer_available,integer_count_layers,count_like_layers_without_integer_dtype_guarantee,normalization_fields,log_transform_evidence,var_identifier_fields,obs_identifier_fields,method_counts,donor_count,region_count,section_fields,coordinate_fields,obsm_keys,expression_matrix_dense_loaded
sea_ad_ang_rna_final_2026,AnG,snRNA,255953x36601,csr_matrix,float32,sparse,False,,UMIs,"{""UMIs"":{""dtype"":""float32"",""encoding"":""csr_matrix"",""shape"":[255953,36601]}}",False,,UMIs,X_normalization,structural_field_only:X_normalization,index;feature_types;gene_ids;genome,exp_component_name;Donor ID;sample_name;load_name;Brain Region;method;exp_component_name,"{""10xMulti"":255953}",43,1,,,X_scVI;X_umap,False
sea_ad_caudate_rna_all_2025,Caudate_Nucleus,snRNA,945918x36601,csr_matrix,float32,sparse,False,,UMIs,"{""UMIs"":{""dtype"":""float32"",""encoding"":""csr_matrix"",""shape"":[945918,36601]}}",False,,UMIs,log1p,structural_field_only:log1p,index;feature_types;gene_ids;genome,exp_component_name;Donor ID;Brain Region;exp_component_name,{},43,1,,,,False
sea_ad_caudate_xenium_combined_2026,Caudate_Nucleus,Xenium,1541477x464,csr_matrix,float64,sparse,False,,reads,"{""reads"":{""dtype"":""float32"",""encoding"":""csr_matrix"",""shape"":[1541477,464]}}",False,,reads,,not_determined_from_structure,_index;feature_types;gene_ids;genome,_index;Donor ID;Specimen_ID;LIMS2_Barcode;Brain Region;segmentation_method;cell_id,"{""Segmented by boundary stain (ATP1A1+CD45+E-Cadherin)"":13354,""Segmented by interior stain (18S)"":1416909,""Segmented by nucleus expansion of 5.0\u00b5m"":111214}",10,1,,,spatial;spatial_cirro,False
sea_ad_fi_rna_final_2026,FI,snRNA,259108x36601,csr_matrix,float64,sparse,False,,UMIs,"{""UMIs"":{""dtype"":""int64"",""encoding"":""csr_matrix"",""shape"":[259108,36601]}}",True,UMIs,UMIs,X_normalization,structural_field_only:X_normalization,index;feature_types;gene_ids;genome,exp_component_name;Donor ID;sample_name;load_name;Brain Region;method;exp_component_name,"{""10xMulti"":259108}",41,1,,,X_scVI;X_umap,False
sea_ad_hip_merscope_combined_2026,HIP,MERSCOPE,132120x433,csr_matrix,float32,sparse,False,,,{},False,,,,not_determined_from_structure,_index;feature_types;gene_ids;genome,_index;region;segmentation_method;cell_id,"{""Segmented by boundary stain (ATP1A1+CD45+E-Cadherin)"":885,""Segmented by interior stain (18S)"":125829,""Segmented by nucleus expansion of 5.0\u00b5m"":5406}",0,1,,,spatial,False
sea_ad_hip_rna_final_2026,HIP,snRNA,208843x36601,csr_matrix,float32,sparse,False,,UMIs,"{""UMIs"":{""dtype"":""float32"",""encoding"":""csr_matrix"",""shape"":[208843,36601]}}",False,,UMIs,X_normalization,structural_field_only:X_normalization,index;feature_types;gene_ids;genome,exp_component_name;Donor ID;sample_name;load_name;Brain Region;method;exp_component_name,"{""10xMulti"":208843}",40,1,,,X_scVI;X_umap,False
sea_ad_itg_rna_final_2026,ITG,snRNA,412674x36601,csr_matrix,float32,sparse,False,,UMIs,"{""UMIs"":{""dtype"":""float32"",""encoding"":""csr_matrix"",""shape"":[412674,36601]}}",False,,UMIs,X_normalization,structural_field_only:X_normalization,index;feature_types;gene_ids;genome,exp_component_name;Donor ID;sample_name;load_name;Brain Region;method;exp_component_name,"{""10xV3.1_HT"":412674}",43,1,,,X_scVI;X_umap,False
sea_ad_lec_rna_final_2026,LEC,snRNA,182260x36601,csr_matrix,float32,sparse,False,,UMIs,"{""UMIs"":{""dtype"":""float32"",""encoding"":""csr_matrix"",""shape"":[182260,36601]}}",False,,UMIs,X_normalization,structural_field_only:X_normalization,index;feature_types;gene_ids;genome,exp_component_name;Donor ID;sample_name;load_name;Brain Region;method;exp_component_name,"{""10xMulti"":182260}",34,1,,,X_scVI;X_umap,False
sea_ad_mec_merscope_combined_2026,MEC,MERSCOPE,130345x433,csr_matrix,float32,sparse,False,,,{},False,,,,not_determined_from_structure,_index;feature_types;gene_ids;genome,_index;region;segmentation_method;cell_id,"{""Segmented by boundary stain (ATP1A1+CD45+E-Cadherin)"":1351,""Segmented by interior stain (18S)"":117411,""Segmented by nucleus expansion of 5.0\u00b5m"":11583}",0,1,,,spatial,False
sea_ad_mec_rna_final_2026,MEC,snRNA,970118x36601,csr_matrix,float32,sparse,False,,UMIs,"{""UMIs"":{""dtype"":""float32"",""encoding"":""csr_matrix"",""shape"":[970118,36601]}}",False,,UMIs,X_normalization,structural_field_only:X_normalization,index;feature_types;gene_ids;genome,exp_component_name;Donor ID;sample_name;load_name;Brain Region;method;exp_component_name,"{""10Xv3.1"":970118}",81,1,,,X_scVI;X_umap,False
sea_ad_mtg_atac_final_2024,MTG,snATAC,516389x218882,csr_matrix,float32,sparse,False,,,{},False,,,X_normalization,structural_field_only:X_normalization,_index,index;Donor ID;sample_name;load_name;Brain Region;method;index,"{""10xATAC_v1.1"":378271,""10xMulti"":138118}",86,2,,,X_MultiVI;X_umap,False
sea_ad_mtg_merfish_combined_2024,MTG,MERFISH,1887729x180,array,float64,dense,False,,,{},False,,,X_normalization,structural_field_only:X_normalization,_index,_index;Donor ID;Specimen Barcode;Merscope;Section;Cell ID,{},27,0,Section,,X_spatial_raw;X_spatial_tiled;X_umap;spatial;umap,False
sea_ad_mtg_rna_final_2026,MTG,snRNA,1178694x36601,csr_matrix,float64,sparse,False,,UMIs,"{""UMIs"":{""dtype"":""float64"",""encoding"":""csr_matrix"",""shape"":[1178694,36601]}}",False,,UMIs,X_normalization,structural_field_only:X_normalization,index;feature_types;gene_ids;genome,exp_component_name;Donor ID;sample_name;load_name;Brain Region;method;exp_component_name,"{""10Xv3.1"":1034671,""10xMulti"":144023}",84,1,,,X_scVI;X_umap,False
sea_ad_multiregion_immune_rna_final_2026,MULTIREGION_10,snRNA,240651x36601,csr_matrix,float64,sparse,False,,UMIs,"{""UMIs"":{""dtype"":""float64"",""encoding"":""csr_matrix"",""shape"":[240651,36601]}}",False,,UMIs,X_normalization;log1p,structural_field_only:X_normalization;log1p,index;feature_types;gene_ids;genome,exp_component_name;Donor ID;sample_name;load_name;Brain Region;method;exp_component_name,"{""10Xv3.1"":134565,""10xMulti"":62314,""10xV3.1_HT"":43772}",84,10,,,X_scVI;X_umap,False
sea_ad_pfc_a9_rna_final_2026,PFC_A9_DFC,snRNA,1357145x36601,csr_matrix,float64,sparse,False,,UMIs,"{""UMIs"":{""dtype"":""float64"",""encoding"":""csr_matrix"",""shape"":[1357145,36601]}}",False,,UMIs,X_normalization,structural_field_only:X_normalization,index;feature_types;gene_ids;genome,exp_component_name;Donor ID;sample_name;load_name;Brain Region;method;exp_component_name,"{""10Xv3.1"":1220429,""10xMulti"":136716}",80,1,,,X_scVI;X_umap,False
sea_ad_stg_rna_final_2026,STG,snRNA,545215x36601,csr_matrix,float32,sparse,False,,UMIs,"{""UMIs"":{""dtype"":""float32"",""encoding"":""csr_matrix"",""shape"":[545215,36601]}}",False,,UMIs,X_normalization,structural_field_only:X_normalization,index;feature_types;gene_ids;genome,exp_component_name;Donor ID;sample_name;load_name;Brain Region;method;exp_component_name,"{""10xV3.1_HT"":545215}",43,1,,,X_scVI;X_umap,False
sea_ad_v1c_rna_final_2026,V1C,snRNA,643336x36601,csr_matrix,float32,sparse,False,,UMIs,"{""UMIs"":{""dtype"":""float32"",""encoding"":""csr_matrix"",""shape"":[643336,36601]}}",False,,UMIs,X_normalization,structural_field_only:X_normalization,index;feature_types;gene_ids;genome,exp_component_name;Donor ID;sample_name;load_name;Brain Region;method;exp_component_name,"{""10xMulti"":122182,""10xV3.1_HT"":521154}",43,1,,,X_scVI;X_umap,False
