source_dataset_id,source_feature_index,source_feature_id_raw,source_feature_symbol_raw,previous_canonical_ensembl_id,authoritative_canonical_ensembl_id,comparison_class,mapping_evidence_class,terminal_disposition,affects_frozen_4096_gene,automatic_frozen_vocabulary_rewrite_allowed,identity_change_classification,one_to_one_identity_continuity,human_a2r_decision_required,frozen_canonical_ensembl_id,vocabulary_index,canonical_ensembl_gene_id,canonical_hgnc_symbol,source_object_or_matrix,raw_source_feature_id,raw_source_feature_symbol,source_exact_ensembl_id,source_chromosome,source_start,source_end,source_strand,source_biotype,source_ncbi_gene_id,ensembl_history_replacements,terminal_reason,mapping_evidence_class_source,terminal_disposition_source,history_transition_type,frozen_artifact_modified,proposed_model_role
SEA_AD_COMMON,27812,27812,AL121790.1,ENSG00000258414,ENSG00000151338,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000151338,1463,ENSG00000151338,MIPOL1,SEA_AD_COMMON,27812,AL121790.1,ENSG00000258414,,,,,,,ENSG00000151338,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::Astro_data_arranged_updatedId_final_batches.qs,23208,23208,SYNRG,ENSG00000275066,,LEGITIMATE_ID_CORRECTION,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True,False,SYMBOL_ONLY,False,True,ENSG00000275066,1834,ENSG00000275066,SYNRG,NPH52::Astro_data_arranged_updatedId_final_batches.qs,23208,SYNRG,ENSG00000274047,CHR_HSCHR17_7_CTG4,37519433,37614077,-,protein_coding,11276,,exact historical source Ensembl ID has no unique current projection,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::Endo_data_arranged_updatedId_final_batches.qs,17574,17574,SYNRG,ENSG00000275066,,LEGITIMATE_ID_CORRECTION,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True,False,SYMBOL_ONLY,False,True,ENSG00000275066,1834,ENSG00000275066,SYNRG,NPH52::Endo_data_arranged_updatedId_final_batches.qs,17574,SYNRG,ENSG00000274047,CHR_HSCHR17_7_CTG4,37519433,37614077,-,protein_coding,11276,,exact historical source Ensembl ID has no unique current projection,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::ExN_data_arranged_updatedId_final_batches.qs,27960,27960,SYNRG,ENSG00000275066,,LEGITIMATE_ID_CORRECTION,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True,False,SYMBOL_ONLY,False,True,ENSG00000275066,1834,ENSG00000275066,SYNRG,NPH52::ExN_data_arranged_updatedId_final_batches.qs,27960,SYNRG,ENSG00000274047,CHR_HSCHR17_7_CTG4,37519433,37614077,-,protein_coding,11276,,exact historical source Ensembl ID has no unique current projection,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::InN_data_arranged_updatedId_final_batches.qs,24700,24700,SYNRG,ENSG00000275066,,LEGITIMATE_ID_CORRECTION,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True,False,SYMBOL_ONLY,False,True,ENSG00000275066,1834,ENSG00000275066,SYNRG,NPH52::InN_data_arranged_updatedId_final_batches.qs,24700,SYNRG,ENSG00000274047,CHR_HSCHR17_7_CTG4,37519433,37614077,-,protein_coding,11276,,exact historical source Ensembl ID has no unique current projection,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::MG_data_arranged_updatedId_final_batches.qs,21057,21057,SYNRG,ENSG00000275066,,LEGITIMATE_ID_CORRECTION,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True,False,SYMBOL_ONLY,False,True,ENSG00000275066,1834,ENSG00000275066,SYNRG,NPH52::MG_data_arranged_updatedId_final_batches.qs,21057,SYNRG,ENSG00000274047,CHR_HSCHR17_7_CTG4,37519433,37614077,-,protein_coding,11276,,exact historical source Ensembl ID has no unique current projection,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::OPC_data_arranged_updatedId_final_batches.qs,21890,21890,SYNRG,ENSG00000275066,,LEGITIMATE_ID_CORRECTION,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True,False,SYMBOL_ONLY,False,True,ENSG00000275066,1834,ENSG00000275066,SYNRG,NPH52::OPC_data_arranged_updatedId_final_batches.qs,21890,SYNRG,ENSG00000274047,CHR_HSCHR17_7_CTG4,37519433,37614077,-,protein_coding,11276,,exact historical source Ensembl ID has no unique current projection,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::Oligo_data_arranged_updatedId_final_batches.qs,26651,26651,SYNRG,ENSG00000275066,,LEGITIMATE_ID_CORRECTION,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True,False,SYMBOL_ONLY,False,True,ENSG00000275066,1834,ENSG00000275066,SYNRG,NPH52::Oligo_data_arranged_updatedId_final_batches.qs,26651,SYNRG,ENSG00000274047,CHR_HSCHR17_7_CTG4,37519433,37614077,-,protein_coding,11276,,exact historical source Ensembl ID has no unique current projection,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
SEA_AD_COMMON,26229,26229,AC087752.3,ENSG00000253878,ENSG00000156170,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000156170,2080,ENSG00000156170,NDUFAF6,SEA_AD_COMMON,26229,AC087752.3,ENSG00000253878,,,,,,,ENSG00000156170,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
SEA_AD_COMMON,33623,33623,AL139035.1,ENSG00000280710,ENSG00000125304,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000125304,2260,ENSG00000125304,TM9SF2,SEA_AD_COMMON,33623,AL139035.1,ENSG00000280710,,,,,,,ENSG00000125304,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
