source_id,source_type,access_tier,blocker,required_for_stage81a1d_pass
syn21898410,Synapse,metadata_visible_file_access_unresolved,SynapseAuthenticationError,False
syn2580853,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn26337520,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn26337524,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn27127033,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn27127036,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29783855,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29783971,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29783979,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784010,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784050,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784073,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784085,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784106,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784133,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784145,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784169,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784187,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784212,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784233,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784247,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784400,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784414,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784422,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784428,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784440,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784455,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784473,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784478,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784485,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784487,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784495,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784500,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784509,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784527,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784545,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784553,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29784571,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29787696,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29787726,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29787764,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29787796,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29787815,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29787833,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29787873,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29787890,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29787917,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29787939,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29787971,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29788003,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29788023,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29788149,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29788183,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
syn29788224,Synapse,metadata_visible_file_access_unresolved,download_permission_not_verified,False
