conditional_fraction,conditional_variance,coordinate,empirical_predictable_fraction,excess_kurtosis,family,fraction_within_1_96_sigma,fraction_within_one_sigma,measurement_noise_variance,noise_fraction,prior_variance,severe_non_gaussian,skewness,standardized_error_mean,standardized_error_variance,view
0.002397472863649295,0.0004057734227524449,0,0.9976025271363507,0.33998556717890516,RANDOM_40,0.28125,0.12890625,0.0035985405746742877,0.021261627530953325,0.1692504757425283,False,0.15768920117894641,-0.15772691403273476,33.85377406819567,0
0.00241144383333792,0.00037560831843985666,1,0.9975885561666621,0.8852406071357048,RANDOM_40,0.298828125,0.1484375,0.002970898071212801,0.01907346957346146,0.15576075762044173,False,0.17470547192595753,-0.150235197963075,34.319972804994435,0
0.0031186439582328277,0.0004789810030570673,2,0.9968813560417672,0.4061970222673503,RANDOM_40,0.3203125,0.166015625,0.004530436775496158,0.029497661051024096,0.1535863052890721,False,-0.14035771338851225,-0.04399601050726226,31.086129825271883,0
0.0032478695120556258,0.0005123108791231591,3,0.9967521304879444,0.11421351943550428,RANDOM_40,0.294921875,0.150390625,0.004545837403259355,0.028818998991545625,0.15773751907874828,False,-0.10541450811565942,-0.2800568887519389,28.646736914960638,0
0.004883283617599479,0.0007492434366651746,4,0.9951167163824005,0.2468990766253576,RANDOM_40,0.28125,0.142578125,0.006621784033153874,0.04315826860266859,0.15343025212889175,False,0.07037998649517008,-0.3557969335643276,29.00233145166313,0
0.004926693158517962,0.0007721287272534325,5,0.995073306841482,0.7824309593845804,RANDOM_40,0.359375,0.21484375,0.007265171968180028,0.046356613564179375,0.15672352679778065,False,-0.07352976028751451,0.18956009624729747,26.238784865539053,0
0.005739319593299235,0.0009686164197833092,6,0.9942606804067008,0.1415365038364742,RANDOM_40,0.29296875,0.16015625,0.007934780904898787,0.04701576659851598,0.16876851062871412,False,-0.07545820632572384,0.2424835285138618,25.08542975616574,0
0.005186598791177063,0.0008619480338296074,7,0.9948134012088229,0.148900470712372,RANDOM_40,0.2578125,0.130859375,0.00785525978048731,0.04726744453588638,0.1661875283848578,False,0.06456853058368299,-0.10324183803067413,32.758272087833944,0
0.005047600736456065,0.000755449043610935,8,0.994952399263544,0.45234936503689216,RANDOM_40,0.310546875,0.1484375,0.007773051168237473,0.05193634055550245,0.14966497610532842,False,0.0717112084317354,0.8344544878749829,30.381075272821363,0
0.005721146015237299,0.0009113292212363751,9,0.9942788539847627,0.4484043462068943,RANDOM_40,0.322265625,0.15625,0.007796348746174454,0.04894394750347542,0.1592913760301179,False,0.04197396945877531,-0.16969704861907114,26.271343642388548,0
0.005771850098813846,0.0008149012719147272,10,0.9942281499011861,0.5038413261821839,RANDOM_40,0.33203125,0.19140625,0.007938938086043288,0.056230567009350425,0.1411854531846201,False,-0.027610707177482423,-0.2410991205600733,29.13269252180731,0
0.006847597927483747,0.0009369949377844542,11,0.9931524020725162,0.9970283296258997,RANDOM_40,0.310546875,0.162109375,0.009041248570557906,0.06607382012117087,0.13683556594695784,False,0.008363110067956175,-0.017846362024989376,30.327426177377475,0
0.006411830758722926,0.0009849992606254753,12,0.993588169241277,0.2888910804668696,RANDOM_40,0.2890625,0.146484375,0.008898303188321327,0.05792330650795755,0.15362215530805154,False,0.023121930555536713,0.21714473492224123,30.8807910386941,0
0.007303046857790128,0.0011866892868641614,13,0.9926969531422098,0.8511488717894493,RANDOM_40,0.283203125,0.138671875,0.011932610329501657,0.07343490274727354,0.16249235558420733,False,-0.38409776499782156,-0.06681086871111111,34.676706256225934,0
0.008341391258063454,0.0013238033434583433,14,0.9916586087419366,0.639739743484474,RANDOM_40,0.28125,0.158203125,0.012426014885375147,0.0782973184420698,0.1587029432504619,False,-0.21359178597144204,-0.40028568499164835,30.921429983226666,0
0.008541604661919177,0.0014339269536632468,15,0.9914583953380808,0.2074546519603686,RANDOM_40,0.275390625,0.1484375,0.012540196465647564,0.07469934247258236,0.1678755936874587,False,-0.01178515969878062,0.47274251854373606,31.553964115121822,0
