absolute_weight,learned_weight,source,target,top16_learned_edge,true_edge
0.005038104951381683,-0.005038104951381683,0,1,False,False
0.009943965822458267,0.009943965822458267,0,2,True,False
0.0013975646579638124,-0.0013975646579638124,0,3,False,True
0.0037360573187470436,-0.0037360573187470436,0,4,False,True
0.005363645032048225,0.005363645032048225,0,5,False,False
0.0024928413331508636,-0.0024928413331508636,0,6,False,False
0.0060155936516821384,-0.0060155936516821384,0,7,False,False
0.003116574604064226,-0.003116574604064226,0,8,False,False
0.003023592522367835,-0.003023592522367835,0,9,False,False
0.0011858741054311395,-0.0011858741054311395,0,10,False,False
0.011689525097608566,-0.011689525097608566,0,11,True,False
0.007646854966878891,0.007646854966878891,1,0,False,False
0.00911151897162199,-0.00911151897162199,1,2,False,False
0.011537564918398857,0.011537564918398857,1,3,True,False
0.00037285409052856266,0.00037285409052856266,1,4,False,True
0.00612808670848608,-0.00612808670848608,1,5,False,True
0.004768794402480125,-0.004768794402480125,1,6,False,False
0.00018294101755600423,-0.00018294101755600423,1,7,False,False
0.005634143948554993,-0.005634143948554993,1,8,False,False
0.00200974871404469,0.00200974871404469,1,9,False,False
0.006427967455238104,-0.006427967455238104,1,10,False,False
0.0016308994963765144,-0.0016308994963765144,1,11,False,False
0.0033688147086650133,0.0033688147086650133,2,0,False,False
0.003329167841002345,-0.003329167841002345,2,1,False,False
0.003530030371621251,-0.003530030371621251,2,3,False,False
0.001891127903945744,-0.001891127903945744,2,4,False,False
0.012765573337674141,0.012765573337674141,2,5,True,True
0.006451217457652092,0.006451217457652092,2,6,False,True
0.007655257359147072,0.007655257359147072,2,7,False,False
0.002770832274109125,-0.002770832274109125,2,8,False,False
0.004136673174798489,0.004136673174798489,2,9,False,False
0.0011357463663443923,0.0011357463663443923,2,10,False,False
0.006240502465516329,-0.006240502465516329,2,11,False,False
0.0021849870681762695,-0.0021849870681762695,3,0,False,False
0.0025491195265203714,-0.0025491195265203714,3,1,False,False
0.003234023926779628,0.003234023926779628,3,2,False,False
0.004014229867607355,-0.004014229867607355,3,4,False,False
0.0021879649721086025,-0.0021879649721086025,3,5,False,False
