belief_factor_r2,coverage_1_96sigma,coverage_1sigma,family,joint_scale,median_trace,panel,sealed_nll,uncertainty_error_spearman,variance_temperature,view
0.9080839157104492,0.996447741985321,0.8901916742324829,RANDOM_STRUCTURAL,0.39848247170448303,14.492576599121094,P80,-0.09045806527137756,0.12338234484195709,0.39422914385795593,0
0.885591983795166,0.9522339105606079,0.78216552734375,RANDOM_STRUCTURAL,0.8923549652099609,14.973394393920898,P60,0.17204606533050537,0.13023048639297485,0.39422914385795593,0
0.8492233753204346,0.9139404296875,0.739276111125946,RANDOM_STRUCTURAL,1.535814642906189,15.695901870727539,P40,0.5160048604011536,0.12991586327552795,0.39422914385795593,0
0.9058804512023926,0.9963012933731079,0.8943115472793579,RANDOM_STRUCTURAL,0.39428672194480896,14.493117332458496,P80,-0.09255138039588928,0.057982418686151505,0.39422914385795593,1
0.8842933773994446,0.9496093988418579,0.7733825445175171,RANDOM_STRUCTURAL,0.9263144135475159,14.973786354064941,P60,0.18903160095214844,0.11044611781835556,0.39422914385795593,1
0.8444603085517883,0.912261962890625,0.7365478277206421,RANDOM_STRUCTURAL,1.573067307472229,15.69489574432373,P40,0.5345907211303711,0.09996604919433594,0.39422914385795593,1
0.9076763987541199,0.99652099609375,0.903033435344696,RANDOM_STRUCTURAL,0.3709518313407898,14.49310302734375,P80,-0.10421376675367355,0.08047764748334885,0.39422914385795593,2
0.8834671378135681,0.953076183795929,0.785754382610321,RANDOM_STRUCTURAL,0.8718965649604797,14.97390079498291,P60,0.16182690858840942,0.10765767097473145,0.39422914385795593,2
0.8439773321151733,0.9150635004043579,0.7430785894393921,RANDOM_STRUCTURAL,1.5258454084396362,15.695531845092773,P40,0.5110073089599609,0.09648355841636658,0.39422914385795593,2
0.9085346460342407,0.995562732219696,0.892291247844696,RANDOM_STRUCTURAL,0.39415574073791504,14.49264907836914,P80,-0.09263338893651962,0.08053833246231079,0.39422914385795593,3
0.8858826160430908,0.9506591558456421,0.778155505657196,RANDOM_STRUCTURAL,0.9041638374328613,14.973292350769043,P60,0.17794129252433777,0.10275240242481232,0.39422914385795593,3
0.8424957394599915,0.9118713140487671,0.737561047077179,RANDOM_STRUCTURAL,1.5589596033096313,15.695425033569336,P40,0.5275604724884033,0.11397121846675873,0.39422914385795593,3
0.8995544910430908,0.975598156452179,0.794940173625946,COHERENT_STRUCTURAL,0.6758629083633423,15.559918403625488,P80,0.08538520336151123,0.09874741733074188,0.39422914385795593,0
0.8560953140258789,0.9435974359512329,0.7450622320175171,COHERENT_STRUCTURAL,1.106971025466919,16.193769454956055,P60,0.3199750483036041,0.06729810684919357,0.39422914385795593,0
0.8002062439918518,0.923858642578125,0.76348876953125,COHERENT_STRUCTURAL,1.5044939517974854,17.17213249206543,P40,0.5463021397590637,0.07589744031429291,0.39422914385795593,0
0.9021586179733276,0.976550281047821,0.8104248046875,COHERENT_STRUCTURAL,0.6481631398200989,15.559653282165527,P80,0.07152684032917023,0.11605541408061981,0.39422914385795593,1
0.8586348295211792,0.9457031488418579,0.7593139410018921,COHERENT_STRUCTURAL,1.0747097730636597,16.193796157836914,P60,0.3038502335548401,0.06570598483085632,0.39422914385795593,1
0.8023104071617126,0.923553466796875,0.773815929889679,COHERENT_STRUCTURAL,1.4964044094085693,17.1732120513916,P40,0.5422962307929993,0.07516984641551971,0.39422914385795593,1
0.8981592655181885,0.974133312702179,0.7946227788925171,COHERENT_STRUCTURAL,0.7000700831413269,15.559194564819336,P80,0.09745802730321884,0.06925971806049347,0.39422914385795593,2
0.8581255674362183,0.943878173828125,0.7548583745956421,COHERENT_STRUCTURAL,1.0866378545761108,16.19368553161621,P60,0.3098104000091553,0.08411575108766556,0.39422914385795593,2
0.8062356114387512,0.924346923828125,0.7715393304824829,COHERENT_STRUCTURAL,1.4990313053131104,17.173362731933594,P40,0.5436107516288757,0.08674842119216919,0.39422914385795593,2
0.8976707458496094,0.973712146282196,0.800158679485321,COHERENT_STRUCTURAL,0.6918225884437561,15.56014633178711,P80,0.09336575865745544,0.08547845482826233,0.39422914385795593,3
0.8581702709197998,0.9450744390487671,0.743969738483429,COHERENT_STRUCTURAL,1.1053071022033691,16.194578170776367,P60,0.3191695809364319,0.07612112164497375,0.39422914385795593,3
0.8067178726196289,0.9244140386581421,0.75994873046875,COHERENT_STRUCTURAL,1.5095386505126953,17.17185401916504,P40,0.548823356628418,0.09185384958982468,0.39422914385795593,3
