basis,stratum,n_cells,n_strata,status,balanced_accuracy,macro_f1,chance,folds
BALANCED_PCA160,POOLED_ELIGIBLE_STRATA,2424,2.0,grouped_diagnostic,0.4670838973626205,0.4655618827046942,0.4773102310231023,5
BALANCED_PCA160,GLOBAL_MATRIX_ID_PROVENANCE_DIAGNOSTIC,64057,,grouped_diagnostic,0.8823071012348742,0.8843617021449385,0.03197152536022605,5
BALANCED_PCA160,GLOBAL_DATASET_ID_PROVENANCE_DIAGNOSTIC,64057,,grouped_diagnostic,0.7181752377693756,0.7194019826833712,0.6444728913311581,5
BALANCED_REP160,POOLED_ELIGIBLE_STRATA,2424,2.0,grouped_diagnostic,0.44944774070953764,0.4521278517832759,0.4773102310231023,5
BALANCED_REP160,GLOBAL_MATRIX_ID_PROVENANCE_DIAGNOSTIC,64057,,grouped_diagnostic,0.8616489194035403,0.862582169835405,0.03197152536022605,5
BALANCED_REP160,GLOBAL_DATASET_ID_PROVENANCE_DIAGNOSTIC,64057,,grouped_diagnostic,0.6691762089095709,0.6698071128385397,0.6444728913311581,5
