status,role,identity_class_for_frozen_address,source_feature_rows,unique_universal_addresses
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,current_exact,36342,35527
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,legacy_exact,259,259
