asset_id,region,modality,release_date,object_scope,remote_size,etag,etag_semantics,download_decision,local_status,intended_role_candidate,source_authority
sea_ad_mtg_merfish_combined_2024,MTG,MERFISH,2024-12-11,consolidated_final_nuclei_or_spatial_anndata,497737587,0b36ab1f3524510e20e6352129da1f6d-60,multipart_identifier_not_md5,download,complete,future_spatial_training_and_evaluation_source,official_live_aws_catalog
sea_ad_hip_merscope_combined_2026,HIP,MERSCOPE,2026-06-30,consolidated_final_nuclei_or_spatial_anndata,107711584,6f6fb9a34aa7a22f970a65e37a67599f-13,multipart_identifier_not_md5,download,complete,future_spatial_training_and_evaluation_source,official_live_aws_catalog
sea_ad_mec_merscope_combined_2026,MEC,MERSCOPE,2026-06-30,consolidated_final_nuclei_or_spatial_anndata,75877782,924203fb70a858bb6545e314451e5aeb-10,multipart_identifier_not_md5,download,complete,future_spatial_training_and_evaluation_source,official_live_aws_catalog
sea_ad_caudate_xenium_combined_2026,Caudate_Nucleus,Xenium,2026-01-07,consolidated_final_nuclei_or_spatial_anndata,3133846231,8a5e2134eb92ec6db29beea4b4264981-374,multipart_identifier_not_md5,download,complete,future_spatial_training_and_evaluation_source,official_live_aws_catalog
sea_ad_mtg_atac_final_2024,MTG,snATAC,2024-12-06,consolidated_final_nuclei_or_spatial_anndata,18260707597,5786152411f1f83eef97cc08bb3732b6-3483,multipart_identifier_not_md5,download,complete,regulatory_prior_source,official_live_aws_catalog
sea_ad_ang_rna_final_2026,AnG,snRNA,2026-06-22,consolidated_final_nuclei_or_spatial_anndata,5326721562,989e051373bc4b67a2af3c998a2da6ed-635,multipart_identifier_not_md5,download,complete,multiregion_foundation_or_replication_candidate_pending_stage81a2,official_live_aws_catalog
sea_ad_caudate_rna_all_2025,Caudate_Nucleus,snRNA,2025-12-29,all_nuclei_only_current_consolidated_release,128171432912,bf80995dbc344d393cfdaf84094a79d5-7640,multipart_identifier_not_md5,download,complete,multiregion_foundation_or_replication_candidate_pending_stage81a2,official_live_aws_catalog
sea_ad_fi_rna_final_2026,FI,snRNA,2026-06-22,consolidated_final_nuclei_or_spatial_anndata,5389393159,18063c6c4d5548d8df9e762de224d04b-643,multipart_identifier_not_md5,download,complete,multiregion_foundation_or_replication_candidate_pending_stage81a2,official_live_aws_catalog
sea_ad_hip_rna_final_2026,HIP,snRNA,2026-06-22,consolidated_final_nuclei_or_spatial_anndata,4976204965,0ac97a78f34c853b690aadb750e1ecfd-594,multipart_identifier_not_md5,download,complete,multiregion_foundation_or_replication_candidate_pending_stage81a2,official_live_aws_catalog
sea_ad_itg_rna_final_2026,ITG,snRNA,2026-06-22,consolidated_final_nuclei_or_spatial_anndata,11472832562,48b77baba96736e3fb6af3e79a009d18-1368,multipart_identifier_not_md5,download,complete,multiregion_foundation_or_replication_candidate_pending_stage81a2,official_live_aws_catalog
sea_ad_lec_rna_final_2026,LEC,snRNA,2026-06-22,consolidated_final_nuclei_or_spatial_anndata,4241947425,a7a9ce724dd70fb1651f7af11ec07f4b-506,multipart_identifier_not_md5,download,complete,multiregion_foundation_or_replication_candidate_pending_stage81a2,official_live_aws_catalog
sea_ad_mec_rna_final_2026,MEC,snRNA,2026-06-22,consolidated_final_nuclei_or_spatial_anndata,25705658446,843ca41e03b3bc291610de0866334129-3065,multipart_identifier_not_md5,download,complete,multiregion_foundation_or_replication_candidate_pending_stage81a2,official_live_aws_catalog
sea_ad_mtg_rna_final_2026,MTG,snRNA,2026-06-22,consolidated_final_nuclei_or_spatial_anndata,32978570763,4bee2271c0e1138b53e44ff1b9419129-3932,multipart_identifier_not_md5,download,complete,primary_foundation_candidate,official_live_aws_catalog
sea_ad_multiregion_immune_rna_final_2026,MULTIREGION_10,snRNA,2026-06-22,consolidated_final_nuclei_or_spatial_anndata,3271409777,f9315349ea9da8c206aecd81cdb1fe86-390,multipart_identifier_not_md5,download,complete,microglia_specialization_candidate,official_live_aws_catalog
sea_ad_pfc_a9_rna_final_2026,PFC_A9_DFC,snRNA,2026-06-22,consolidated_final_nuclei_or_spatial_anndata,38520614071,3c7ffbd9a14ff04121d85b5583a1e0ea-4593,multipart_identifier_not_md5,download,complete,regional_replication_candidate,official_live_aws_catalog
sea_ad_stg_rna_final_2026,STG,snRNA,2026-06-22,consolidated_final_nuclei_or_spatial_anndata,16144376554,4b1342636b68c673f83e4c57f45a9968-1925,multipart_identifier_not_md5,download,complete,multiregion_foundation_or_replication_candidate_pending_stage81a2,official_live_aws_catalog
sea_ad_v1c_rna_final_2026,V1C,snRNA,2026-06-22,consolidated_final_nuclei_or_spatial_anndata,16540631157,83d99e510078bed6042b40897fc48214-1972,multipart_identifier_not_md5,download,complete,multiregion_foundation_or_replication_candidate_pending_stage81a2,official_live_aws_catalog
