source_dataset_id,canonical_ensembl_gene_id,canonical_hgnc_symbol,feature_universe_hash,measurement_status,measured_gene,measured_zero_distinct_from_unmeasured
HVS_COMMON,ENSG00000000419,DPM1,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000001084,GCLC,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000001461,NIPAL3,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000001629,ANKIB1,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000001631,KRIT1,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000002016,RAD52,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000002746,HECW1,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000002822,MAD1L1,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000003147,ICA1,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000003393,ALS2,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000003402,CFLAR,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000003756,RBM5,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000003987,MTMR7,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000004139,SARM1,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000004487,KDM1A,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000004534,RBM6,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000004660,CAMKK1,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000004864,SLC25A13,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000004897,CDC27,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000005020,SKAP2,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000005108,THSD7A,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000005249,PRKAR2B,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000005339,CREBBP,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000005436,GCFC2,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000005483,KMT2E,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000005700,IBTK,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000005810,MYCBP2,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
HVS_COMMON,ENSG00000005812,FBXL3,9ef988a839f6b841ecb15de31fd997b056f373d1396f2625d26fd27a2707c87c,measured_value_requires_runtime_zero_nonzero_resolution,True,True
