status,fixture,masker,d_gene,checkpoint,factor,factor_family,raw_r2,learned_h_r2,h_minus_raw_r2,raw_recoverable,full_h_frobenius_kernel,mean_pool_used,raw_x_concatenated_to_h
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,broad_00,broad,0.806720183221129,0.7999559307766525,-0.006764252444476537,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,broad_01,broad,0.7298511848058308,0.7227602642702446,-0.0070909205355861316,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,broad_02,broad,0.8630139915477625,0.8482181298149509,-0.014795861732811555,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,broad_03,broad,0.7173537619515677,0.7030830397261594,-0.014270722225408372,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,subtype_04,subtype,0.8813273564541085,0.8732509410147362,-0.00807641543937232,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,subtype_05,subtype,0.8380107477534993,0.829298101145084,-0.008712646608415309,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,subtype_06,subtype,0.8064814994588738,0.7956606469266949,-0.010820852532178904,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,subtype_07,subtype,0.879272308910334,0.8698900729852409,-0.00938223592509313,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,state_08,state,0.8028957689438009,0.7933544174087299,-0.009541351535070963,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,state_09,state,0.7372537884818711,0.7203552034008077,-0.016898585081063344,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,state_10,state,0.8552292658041866,0.8429888142476765,-0.012240451556510101,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,state_11,state,0.7763764007403389,0.7649634689155712,-0.011412931824767658,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,fine_12,fine,0.8382366390039876,0.8261243886443655,-0.012112250359622045,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,fine_13,fine,0.82628826914851,0.8153564688147018,-0.01093180033380814,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,fine_14,fine,0.7370212154500027,0.7134324806531753,-0.023588734796827326,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,fine_15,fine,0.7933399618680306,0.769518314961978,-0.023821646906052596,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,rare_16,rare,0.6690460665732625,0.6224507483198807,-0.04659531825338181,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,rare_17,rare,0.6118809178789266,0.5762872334219273,-0.035593684456999286,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,antagonistic_18,antagonistic,0.8169627577256278,0.8088929802483464,-0.008069777477281326,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,antagonistic_19,antagonistic,0.7823908105977769,0.7704781560951435,-0.011912654502633457,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,distributed_20,distributed,0.8103911908155834,0.8008291249229496,-0.009562065892633864,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,distributed_21,distributed,0.8103366000543499,0.8034994181392008,-0.006837181915149149,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,compact_22,compact,0.6325866079686571,0.5920251522411251,-0.040561455727532,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,compact_23,compact,0.6204911715456627,0.594264211101989,-0.026226960443673675,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,donor_24,donor,0.8646462704843705,0.8503620146088353,-0.014284255875535168,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,0,donor_25,donor,0.735992122566455,0.7314878401852583,-0.004504282381196711,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,broad_00,broad,0.806720183221129,0.7961438564300465,-0.010576326791082558,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,broad_01,broad,0.7298511848058308,0.7211829980871294,-0.008668186718701398,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,broad_02,broad,0.8630139915477625,0.8451328309604766,-0.017881160587285838,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,broad_03,broad,0.7173537619515677,0.6976599551445424,-0.01969380680702537,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,subtype_04,subtype,0.8813273564541085,0.8707101818271612,-0.010617174626947334,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,subtype_05,subtype,0.8380107477534993,0.8267172843467105,-0.011293463406788717,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,subtype_06,subtype,0.8064814994588738,0.7949350059679186,-0.011546493490955267,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,subtype_07,subtype,0.879272308910334,0.8682415420021445,-0.011030766908189493,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,state_08,state,0.8028957689438009,0.7929689263095665,-0.009926842634234379,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,state_09,state,0.7372537884818711,0.716264271106297,-0.020989517375574085,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,state_10,state,0.8552292658041866,0.8415751372322541,-0.013654128571932489,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,state_11,state,0.7763764007403389,0.7621686477526926,-0.014207752987646316,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,fine_12,fine,0.8382366390039876,0.8252259142165124,-0.013010724787475225,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,fine_13,fine,0.82628826914851,0.8140288771364738,-0.012259392012036185,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,fine_14,fine,0.7370212154500027,0.7145092636772912,-0.02251195177271148,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,fine_15,fine,0.7933399618680306,0.7662350417352202,-0.027104920132810406,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,rare_16,rare,0.6690460665732625,0.6110128042993339,-0.058033262273928576,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,rare_17,rare,0.6118809178789266,0.5688592958405756,-0.043021622038351026,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,antagonistic_18,antagonistic,0.8169627577256278,0.8071703886044383,-0.009792369121189415,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,antagonistic_19,antagonistic,0.7823908105977769,0.7686645408177326,-0.01372626978004432,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,distributed_20,distributed,0.8103911908155834,0.7974269845811596,-0.012964206234423847,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,distributed_21,distributed,0.8103366000543499,0.8011333850266574,-0.009203215027692502,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,compact_22,compact,0.6325866079686571,0.578970970951804,-0.05361563701685301,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,compact_23,compact,0.6204911715456627,0.5871719163794417,-0.03331925516622103,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,donor_24,donor,0.8646462704843705,0.8470799461069315,-0.01756632437743899,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,64,donor_25,donor,0.735992122566455,0.7310747114417324,-0.004917411124722548,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,broad_00,broad,0.806720183221129,0.7958186077769216,-0.010901575444207445,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,broad_01,broad,0.7298511848058308,0.7208107595314085,-0.009040425274422281,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,broad_02,broad,0.8630139915477625,0.8450479480890881,-0.017966043458674363,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,broad_03,broad,0.7173537619515677,0.697382345889128,-0.019971416062439795,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,subtype_04,subtype,0.8813273564541085,0.8704788549862635,-0.010848501467844995,True,True,False,False
