status,donor_fold,prefix,median_canonical_correlation,projector_similarity
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,16,0.995545506477356,0.9862445592880249
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,32,0.9944667816162109,0.9578371047973633
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,48,0.9932286739349365,0.9504294395446777
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,64,0.9932119846343994,0.9619404673576355
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,80,0.9938547611236572,0.946336567401886
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,96,0.9942830801010132,0.9369756579399109
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,112,0.9945948123931885,0.9300721287727356
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,128,0.9948390126228333,0.9217220544815063
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,144,0.9950008392333984,0.9216597676277161
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,160,0.9951348304748535,0.9178851246833801
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,176,0.9952360391616821,0.9158502221107483
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,192,0.9952671527862549,0.9118325114250183
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,208,0.9952069520950317,0.9105705618858337
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,224,0.9951980113983154,0.9064030051231384
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,240,0.9950668811798096,0.9025919437408447
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,256,0.9948908090591431,0.8985798954963684
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,272,0.9948393106460571,0.8988521695137024
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,288,0.9946032762527466,0.8965964913368225
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,304,0.9943345785140991,0.8917807340621948
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,320,0.9939945936203003,0.8821079134941101
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,336,0.9935397505760193,0.8681885600090027
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,352,0.9929231405258179,0.85198974609375
STAGE81A3R_GLOBAL_DIMENSION_RANGE_CLOSURE_COMPLETE_NOT_FROZEN,0,368,0.992258608341217,0.8336256146430969
