status,identity_class,addresses,scalar_eligible_addresses,pilot_positive_weight_addresses,pilot_positive_weight_now_unavailable_due_collision,successor_non4096_scalar_materializable_addresses,successor_non4096_nph52_scalar_materializable_addresses
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,current_exact,40422,40134,27871,224,36038,30287
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,legacy_exact,773,773,147,0,773,700
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,source_native_anchored,43,43,0,0,43,43
