annotation,broad_family,representation,identifiable,n_target_cells,n_target_donors,n_reference_cells,paired_target_cell_hash,paired_reference_cell_hash,knn_k,ledger_gene_tokens_used,learned_ledger_pooling_used,production_basis_status,same_class_knn_purity,cross_donor_same_class_knn_purity,donor_heldout_recall,donor_heldout_precision,centroid_separation,within_class_dispersion,between_within_ratio
Astro,Astrocytes,RNA4096,True,256,18,128,2c728cc13bc45f7c56bc249303bc0148ea8604d2baed507e6515b5bd5513b5ad,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT APPLICABLE,1.0,0.9997395833333333,1.0,0.9481481481481482,0.12368332802089876,0.17231566076322113,0.717771834974721
Astro,Astrocytes,MOLECULAR_LEDGER_ALL_4096_TOKENS,True,256,18,128,2c728cc13bc45f7c56bc249303bc0148ea8604d2baed507e6515b5bd5513b5ad,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,4096,False,NOT APPLICABLE,1.0,1.0,1.0,0.9045936395759717,0.002046555940758754,0.005004636212781022,0.40893200899042076
Astro,Astrocytes,BALANCED_PCA160,True,256,18,128,2c728cc13bc45f7c56bc249303bc0148ea8604d2baed507e6515b5bd5513b5ad,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT PRODUCTION FROZEN BASIS,0.9979166666666667,0.9966145833333333,1.0,0.9343065693430657,0.29844004495408316,0.07404275893977025,4.030644579260585
Astro,Astrocytes,BALANCED_REP160_DIAGNOSTIC,True,256,18,128,2c728cc13bc45f7c56bc249303bc0148ea8604d2baed507e6515b5bd5513b5ad,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,DIAGNOSTIC CONTROL - NOT PRODUCTION FROZEN BASIS,0.9966145833333333,0.9958333333333333,1.0,0.9343065693430657,0.29237587532353504,0.07674289234043813,3.809810477646976
CN LAMP5-CXCL14 GABASubclass,Inhibitory neurons,RNA4096,True,256,37,128,5a1fa0c43a9b2270796e58bdc4854304ca4780d91f6eedb354df718bb19e791d,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT APPLICABLE,0.9940104166666667,0.9934895833333334,0.99609375,0.864406779661017,0.04017386293803982,0.114428703590463,0.35108204215806643
CN LAMP5-CXCL14 GABASubclass,Inhibitory neurons,MOLECULAR_LEDGER_ALL_4096_TOKENS,True,256,37,128,5a1fa0c43a9b2270796e58bdc4854304ca4780d91f6eedb354df718bb19e791d,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,4096,False,NOT APPLICABLE,0.9919270833333333,0.9916666666666667,0.99609375,0.8732876712328768,0.0009461698971410248,0.004145035728025153,0.22826580015796746
CN LAMP5-CXCL14 GABASubclass,Inhibitory neurons,BALANCED_PCA160,True,256,37,128,5a1fa0c43a9b2270796e58bdc4854304ca4780d91f6eedb354df718bb19e791d,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT PRODUCTION FROZEN BASIS,0.9895833333333334,0.9893229166666667,1.0,0.9045936395759717,0.35351486976126,0.16944956246354725,2.0862542494750302
CN LAMP5-CXCL14 GABASubclass,Inhibitory neurons,BALANCED_REP160_DIAGNOSTIC,True,256,37,128,5a1fa0c43a9b2270796e58bdc4854304ca4780d91f6eedb354df718bb19e791d,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,DIAGNOSTIC CONTROL - NOT PRODUCTION FROZEN BASIS,0.9903645833333333,0.98984375,1.0,0.9014084507042254,0.32408682328185767,0.179353293963224,1.8069744698879686
CN ST18 GABASubclass,Inhibitory neurons,RNA4096,True,256,37,128,6ea0eb08b1c25f971b22f31da1d0a8b46bf248f431c1984a1172ca2f46bb0199,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT APPLICABLE,0.99921875,0.99921875,1.0,0.8338762214983714,0.05544496448758385,0.11945658917029622,0.46414320777686036
CN ST18 GABASubclass,Inhibitory neurons,MOLECULAR_LEDGER_ALL_4096_TOKENS,True,256,37,128,6ea0eb08b1c25f971b22f31da1d0a8b46bf248f431c1984a1172ca2f46bb0199,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,4096,False,NOT APPLICABLE,0.9979166666666666,0.9979166666666666,1.0,0.8126984126984127,0.0012496750899555487,0.004109507823072523,0.304093615040551
CN ST18 GABASubclass,Inhibitory neurons,BALANCED_PCA160,True,256,37,128,6ea0eb08b1c25f971b22f31da1d0a8b46bf248f431c1984a1172ca2f46bb0199,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT PRODUCTION FROZEN BASIS,0.9919270833333333,0.9911458333333334,0.99609375,0.9479553903345725,0.6751524369363616,0.21458215554201532,3.1463587232171615
CN ST18 GABASubclass,Inhibitory neurons,BALANCED_REP160_DIAGNOSTIC,True,256,37,128,6ea0eb08b1c25f971b22f31da1d0a8b46bf248f431c1984a1172ca2f46bb0199,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,DIAGNOSTIC CONTROL - NOT PRODUCTION FROZEN BASIS,0.9901041666666667,0.98984375,0.9921875,0.9442379182156134,0.6559798025909743,0.24182763156119352,2.71259242939317
Endo,Endothelial / vascular,RNA4096,True,256,19,128,e88776ef25b75f718dd35cb5b353392f65a1fa8c67c2e840f54b447c536098a6,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT APPLICABLE,0.99765625,0.9966145833333333,1.0,0.9884169884169884,0.19277874193873656,0.3151771806802742,0.6116519651665311
Endo,Endothelial / vascular,MOLECULAR_LEDGER_ALL_4096_TOKENS,True,256,19,128,e88776ef25b75f718dd35cb5b353392f65a1fa8c67c2e840f54b447c536098a6,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,4096,False,NOT APPLICABLE,0.9979166666666666,0.9963541666666667,1.0,0.973384030418251,0.0023778170835004886,0.007431727166949846,0.31995484092514126
Endo,Endothelial / vascular,BALANCED_PCA160,True,256,19,128,e88776ef25b75f718dd35cb5b353392f65a1fa8c67c2e840f54b447c536098a6,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT PRODUCTION FROZEN BASIS,0.9997395833333333,0.9994791666666667,1.0,0.9624060150375939,0.3442060037766934,0.10944032976173618,3.145147721375368
Endo,Endothelial / vascular,BALANCED_REP160_DIAGNOSTIC,True,256,19,128,e88776ef25b75f718dd35cb5b353392f65a1fa8c67c2e840f54b447c536098a6,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,DIAGNOSTIC CONTROL - NOT PRODUCTION FROZEN BASIS,0.99921875,0.9989583333333334,1.0,0.9588014981273408,0.3385410196638101,0.1105608990593675,3.062032079551243
EpendymalSubclass,Ependymal,RNA4096,True,256,34,128,8eccdebcb16bee73686ce03977577c0a72f84b8ce471ad10cc198a52363571af,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT APPLICABLE,0.9656250000000001,0.9640625,0.97265625,0.9291044776119403,0.14319107021616506,0.20413799860577575,0.701442510429872
EpendymalSubclass,Ependymal,MOLECULAR_LEDGER_ALL_4096_TOKENS,True,256,34,128,8eccdebcb16bee73686ce03977577c0a72f84b8ce471ad10cc198a52363571af,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,4096,False,NOT APPLICABLE,0.9802083333333333,0.9799479166666667,0.98828125,0.900355871886121,0.0021825635083443373,0.005679653061651687,0.3842776107366021
EpendymalSubclass,Ependymal,BALANCED_PCA160,True,256,34,128,8eccdebcb16bee73686ce03977577c0a72f84b8ce471ad10cc198a52363571af,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT PRODUCTION FROZEN BASIS,0.9895833333333333,0.9893229166666666,0.9921875,0.927007299270073,0.3593699598555784,0.12530466183690975,2.8679695917723818
EpendymalSubclass,Ependymal,BALANCED_REP160_DIAGNOSTIC,True,256,34,128,8eccdebcb16bee73686ce03977577c0a72f84b8ce471ad10cc198a52363571af,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,DIAGNOSTIC CONTROL - NOT PRODUCTION FROZEN BASIS,0.9890625,0.9888020833333333,0.9921875,0.927007299270073,0.3711831499009991,0.1266194067385617,2.931487040271813
LSXSubclass,Other authorized families,RNA4096,True,160,20,128,7cf384a793eb57567fab60f6b08d6af79a79e532b84327a9dbbe3e57d71e99e3,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT APPLICABLE,0.9691666666666666,0.9708333333333332,0.96875,0.8157894736842105,0.0531398379249125,0.08758071261926055,0.6067527465313877
LSXSubclass,Other authorized families,MOLECULAR_LEDGER_ALL_4096_TOKENS,True,160,20,128,7cf384a793eb57567fab60f6b08d6af79a79e532b84327a9dbbe3e57d71e99e3,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,4096,False,NOT APPLICABLE,0.97,0.9704166666666667,0.9625,0.8148148148148148,0.0012887897300047912,0.0030656644587634036,0.42039490862109874
LSXSubclass,Other authorized families,BALANCED_PCA160,True,160,20,128,7cf384a793eb57567fab60f6b08d6af79a79e532b84327a9dbbe3e57d71e99e3,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT PRODUCTION FROZEN BASIS,0.9841666666666665,0.9833333333333332,0.99375,0.9352941176470588,0.45344147807081425,0.18993749081058695,2.3873195130444453
LSXSubclass,Other authorized families,BALANCED_REP160_DIAGNOSTIC,True,160,20,128,7cf384a793eb57567fab60f6b08d6af79a79e532b84327a9dbbe3e57d71e99e3,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,DIAGNOSTIC CONTROL - NOT PRODUCTION FROZEN BASIS,0.9824999999999999,0.98125,0.99375,0.9352941176470588,0.4851108402330986,0.21132773402543706,2.2955379826043414
Microglia-PVMSubclass,Microglia / immune,RNA4096,True,256,37,128,4d78d814817c37d3c863ef0d97191b541d9db8d41286440206257f96110cd9a9,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT APPLICABLE,0.943450064850843,0.9426718547341115,0.9610894941634242,0.8916967509025271,0.13485386558426915,0.26554933583982365,0.5078297980214549
Microglia-PVMSubclass,Microglia / immune,MOLECULAR_LEDGER_ALL_4096_TOKENS,True,256,37,128,4d78d814817c37d3c863ef0d97191b541d9db8d41286440206257f96110cd9a9,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,4096,False,NOT APPLICABLE,0.9496757457846952,0.9491569390402076,0.9727626459143969,0.8896797153024911,0.0018727318770279666,0.007421304423517846,0.2523453789462331
Microglia-PVMSubclass,Microglia / immune,BALANCED_PCA160,True,256,37,128,4d78d814817c37d3c863ef0d97191b541d9db8d41286440206257f96110cd9a9,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT PRODUCTION FROZEN BASIS,0.9828793774319066,0.9813229571984435,1.0,0.948339483394834,0.34653432263117645,0.13842610424735963,2.503388537265624
Microglia-PVMSubclass,Microglia / immune,BALANCED_REP160_DIAGNOSTIC,True,256,37,128,4d78d814817c37d3c863ef0d97191b541d9db8d41286440206257f96110cd9a9,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,DIAGNOSTIC CONTROL - NOT PRODUCTION FROZEN BASIS,0.9792477302204929,0.9774319066147861,1.0,0.9518518518518518,0.34594803454748113,0.14174644937960007,2.4406116418551322
OPC,OPCs,RNA4096,True,256,18,128,1fde6a9b5b54d998c46deeef2e74b72dcc309b924a6b7491ddfeb50d1ec65ca7,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT APPLICABLE,0.9971354166666666,0.9971354166666666,1.0,0.9660377358490566,0.13772897228133862,0.1786307018810493,0.7710263175982635
OPC,OPCs,MOLECULAR_LEDGER_ALL_4096_TOKENS,True,256,18,128,1fde6a9b5b54d998c46deeef2e74b72dcc309b924a6b7491ddfeb50d1ec65ca7,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,4096,False,NOT APPLICABLE,0.99609375,0.9953125,0.9921875,0.9584905660377359,0.0024154056608746144,0.005890779512735513,0.4100315850648716
OPC,OPCs,BALANCED_PCA160,True,256,18,128,1fde6a9b5b54d998c46deeef2e74b72dcc309b924a6b7491ddfeb50d1ec65ca7,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT PRODUCTION FROZEN BASIS,0.9947916666666666,0.9942708333333333,0.9921875,0.9844961240310077,0.5630520902550636,0.09018604903279989,6.2432282630574765
OPC,OPCs,BALANCED_REP160_DIAGNOSTIC,True,256,18,128,1fde6a9b5b54d998c46deeef2e74b72dcc309b924a6b7491ddfeb50d1ec65ca7,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,DIAGNOSTIC CONTROL - NOT PRODUCTION FROZEN BASIS,0.9947916666666666,0.9942708333333333,0.9921875,0.9806949806949807,0.5619779164945261,0.0953138551646568,5.896077915678647
OPCSubclass,OPCs,RNA4096,True,256,37,128,e5974b46b8ead8ab1876827c3bc8dbb6545acfe78135bd7845926dfaa43d30aa,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT APPLICABLE,0.9984375,0.9984375,1.0,0.927536231884058,0.1294772123277046,0.1641925627366173,0.7885692882167878
OPCSubclass,OPCs,MOLECULAR_LEDGER_ALL_4096_TOKENS,True,256,37,128,e5974b46b8ead8ab1876827c3bc8dbb6545acfe78135bd7845926dfaa43d30aa,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,4096,False,NOT APPLICABLE,0.9984375,0.9984375,1.0,0.9175627240143369,0.002437383446357577,0.005526389936044246,0.44104442042000397
OPCSubclass,OPCs,BALANCED_PCA160,True,256,37,128,e5974b46b8ead8ab1876827c3bc8dbb6545acfe78135bd7845926dfaa43d30aa,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT PRODUCTION FROZEN BASIS,0.9955729166666667,0.9953125,0.99609375,0.9845559845559846,0.6046985064909329,0.10384762680130871,5.822940062442644
OPCSubclass,OPCs,BALANCED_REP160_DIAGNOSTIC,True,256,37,128,e5974b46b8ead8ab1876827c3bc8dbb6545acfe78135bd7845926dfaa43d30aa,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,DIAGNOSTIC CONTROL - NOT PRODUCTION FROZEN BASIS,0.9947916666666666,0.9942708333333333,0.99609375,0.9807692307692307,0.6121487834011572,0.1084778686180898,5.6430753221775145
OligodendrocyteSubclass,Oligodendrocytes,RNA4096,True,256,37,128,d10cf40194f0b00f80c284e1e702c346eecaa747b3c881df96eb1b0958a113dc,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT APPLICABLE,0.9616083009079118,0.9592736705577174,0.9961089494163424,0.9343065693430657,0.0658382034038073,0.23567098651593765,0.27936490773485556
OligodendrocyteSubclass,Oligodendrocytes,MOLECULAR_LEDGER_ALL_4096_TOKENS,True,256,37,128,d10cf40194f0b00f80c284e1e702c346eecaa747b3c881df96eb1b0958a113dc,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,4096,False,NOT APPLICABLE,0.9392996108949417,0.9377431906614787,0.9883268482490273,0.9338235294117647,0.001048075023838968,0.007083635117664137,0.14795722908220263
OligodendrocyteSubclass,Oligodendrocytes,BALANCED_PCA160,True,256,37,128,d10cf40194f0b00f80c284e1e702c346eecaa747b3c881df96eb1b0958a113dc,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT PRODUCTION FROZEN BASIS,0.9867704280155642,0.9844357976653697,1.0,0.9113475177304965,0.1552119931149729,0.0980075755541138,1.5836734276655413
OligodendrocyteSubclass,Oligodendrocytes,BALANCED_REP160_DIAGNOSTIC,True,256,37,128,d10cf40194f0b00f80c284e1e702c346eecaa747b3c881df96eb1b0958a113dc,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,DIAGNOSTIC CONTROL - NOT PRODUCTION FROZEN BASIS,0.983916990920882,0.982360570687419,1.0,0.9081272084805654,0.1509374078993746,0.10117341636376921,1.4918682527896345
STR Hybrid MSNSubclass,Excitatory neurons,RNA4096,True,256,37,128,bc5fff45642f8a53fb681398a059b21310817e0e06ae0dd361f9fe467ccc500e,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT APPLICABLE,0.99765625,0.99765625,1.0,0.9446494464944649,0.06586027345439249,0.08980674614713377,0.7333555248343051
STR Hybrid MSNSubclass,Excitatory neurons,MOLECULAR_LEDGER_ALL_4096_TOKENS,True,256,37,128,bc5fff45642f8a53fb681398a059b21310817e0e06ae0dd361f9fe467ccc500e,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,4096,False,NOT APPLICABLE,0.99765625,0.9973958333333333,1.0,0.9014084507042254,0.001810150937567978,0.0031957412417956865,0.5664260027982911
STR Hybrid MSNSubclass,Excitatory neurons,BALANCED_PCA160,True,256,37,128,bc5fff45642f8a53fb681398a059b21310817e0e06ae0dd361f9fe467ccc500e,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT PRODUCTION FROZEN BASIS,0.9966145833333333,0.9963541666666667,1.0,0.9660377358490566,0.20536338450059155,0.09871237645628693,2.0804218465101303
STR Hybrid MSNSubclass,Excitatory neurons,BALANCED_REP160_DIAGNOSTIC,True,256,37,128,bc5fff45642f8a53fb681398a059b21310817e0e06ae0dd361f9fe467ccc500e,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,DIAGNOSTIC CONTROL - NOT PRODUCTION FROZEN BASIS,0.9963541666666667,0.99609375,1.0,0.9660377358490566,0.26032651322546174,0.1009272794743186,2.5793473734888788
STR RSPO2 GABASubclass,Inhibitory neurons,RNA4096,True,256,37,128,737704fc1d41e45df19317552c1719cacbafd527c2a3c2b6d255e8245ae54728,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT APPLICABLE,0.9924479166666667,0.9921875,1.0,0.8178913738019169,0.03625368362161563,0.13835133647173703,0.26204071855150946
STR RSPO2 GABASubclass,Inhibitory neurons,MOLECULAR_LEDGER_ALL_4096_TOKENS,True,256,37,128,737704fc1d41e45df19317552c1719cacbafd527c2a3c2b6d255e8245ae54728,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,4096,False,NOT APPLICABLE,0.9895833333333334,0.98984375,1.0,0.7925696594427245,0.0008043582653725068,0.00473713301231056,0.1697985391759513
STR RSPO2 GABASubclass,Inhibitory neurons,BALANCED_PCA160,True,256,37,128,737704fc1d41e45df19317552c1719cacbafd527c2a3c2b6d255e8245ae54728,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT PRODUCTION FROZEN BASIS,0.9750000000000001,0.9744791666666668,0.99609375,0.9205776173285198,0.5151576905315783,0.3007121281399624,1.713125751588593
STR RSPO2 GABASubclass,Inhibitory neurons,BALANCED_REP160_DIAGNOSTIC,True,256,37,128,737704fc1d41e45df19317552c1719cacbafd527c2a3c2b6d255e8245ae54728,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,DIAGNOSTIC CONTROL - NOT PRODUCTION FROZEN BASIS,0.9736979166666667,0.9713541666666667,0.99609375,0.9272727272727272,0.4827542513782467,0.32674347918992297,1.4774717236136206
Sst ChodlSubclass,Inhibitory neurons,RNA4096,True,256,37,128,9ad8fb051e847a64d6e1323f32b43b28a0834a152e0dc0cbadf5a033f8305a76,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT APPLICABLE,1.0,1.0,1.0,0.7950310559006211,0.048349416424592895,0.14822289754575868,0.32619397694385704
Sst ChodlSubclass,Inhibitory neurons,MOLECULAR_LEDGER_ALL_4096_TOKENS,True,256,37,128,9ad8fb051e847a64d6e1323f32b43b28a0834a152e0dc0cbadf5a033f8305a76,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,4096,False,NOT APPLICABLE,1.0,1.0,1.0,0.7687687687687688,0.0010775192018143143,0.004931819645072919,0.21848309130501115
Sst ChodlSubclass,Inhibitory neurons,BALANCED_PCA160,True,256,37,128,9ad8fb051e847a64d6e1323f32b43b28a0834a152e0dc0cbadf5a033f8305a76,450c96d865602fe52cfef7b7735ddd7dc7bbc811f28ff89de2010ac936efe6da,15,,,NOT PRODUCTION FROZEN BASIS,0.9869791666666667,0.9861979166666667,0.99609375,0.9444444444444444,0.24470541490986442,0.31441325270622345,0.7782923041685792
