fixture,dimension,mean_cross_view_error,standard_error,audit_channel,block_start,block_end,supported,bulk_supported,tail_supported,improvement,tail_split_view_spearman,tail_top_decile_overlap,tail_hypergeom_p,tail_donor_subspace_median_canonical_correlation,projected_state_subspace_similarity
overlapping_programs,16,0.08023042639024275,0.0026188329048519973,bulk,,,,,,,,,,,
overlapping_programs,32,0.08028219840551647,0.0026239775545704057,bulk,,,,,,,,,,,
overlapping_programs,48,0.0803455450153176,0.0026302393864547757,bulk,,,,,,,,,,,
overlapping_programs,64,0.08041387879117597,0.002631844406413372,bulk,,,,,,,,,,,
overlapping_programs,80,0.08047578048349674,0.002635362521595108,bulk,,,,,,,,,,,
overlapping_programs,96,0.08054628541878556,0.002638683286039148,bulk,,,,,,,,,,,
overlapping_programs,32,0.08028219840551647,0.0026239775545704057,residual_bulk_or_tail,17.0,32.0,False,False,False,-5.177201527371833e-05,0.5692307692307692,3.0,0.023958432171710033,0.019817572087049484,
overlapping_programs,48,0.0803455450153176,0.0026302393864547757,residual_bulk_or_tail,33.0,48.0,False,False,False,-6.334660980113205e-05,0.6057692307692307,3.0,0.023958432171710033,0.019776374101638794,
overlapping_programs,64,0.08041387879117597,0.002631844406413372,residual_bulk_or_tail,49.0,64.0,False,False,False,-6.833377585836742e-05,0.5454212454212454,2.0,0.16550211234674317,,
overlapping_programs,80,0.08047578048349674,0.002635362521595108,residual_bulk_or_tail,65.0,80.0,False,False,False,-6.190169232077325e-05,0.4897893772893772,4.0,0.001703136546704822,,
overlapping_programs,96,0.08054628541878556,0.002638683286039148,residual_bulk_or_tail,81.0,96.0,False,False,False,-7.050493528881763e-05,0.4112637362637362,1.0,0.5744060772968388,,
overlapping_programs,16,,,donor_localization_ordinary_pca,,,False,,,,,,,0.019234899431467056,0.5171695526986824
overlapping_programs,16,,,donor_localization_reproducibility_weighted,,,False,,,,,,,0.0226952712982893,0.5632281866012103
rare_tail_difficult,16,0.09173105106398063,0.003107991736977685,bulk,,,,,,,,,,,
rare_tail_difficult,32,0.09175959715749937,0.0031082402992733413,bulk,,,,,,,,,,,
rare_tail_difficult,48,0.091823312906776,0.00311538172126794,bulk,,,,,,,,,,,
rare_tail_difficult,64,0.09186478635508187,0.0031161780956887645,bulk,,,,,,,,,,,
rare_tail_difficult,80,0.09191258956903958,0.003117218738629109,bulk,,,,,,,,,,,
rare_tail_difficult,96,0.09198267273096099,0.003121320620234471,bulk,,,,,,,,,,,
rare_tail_difficult,32,0.09175959715749937,0.0031082402992733413,residual_bulk_or_tail,17.0,32.0,False,False,False,-2.8546093518738713e-05,0.7473901098901098,4.0,0.001703136546704822,0.02068425342440605,
rare_tail_difficult,48,0.091823312906776,0.00311538172126794,residual_bulk_or_tail,33.0,48.0,False,False,False,-6.37157492766327e-05,0.6195054945054945,3.0,0.023958432171710033,0.018066642805933952,
rare_tail_difficult,64,0.09186478635508187,0.0031161780956887645,residual_bulk_or_tail,49.0,64.0,False,False,False,-4.147344830586486e-05,0.6807234432234431,3.0,0.023958432171710033,,
rare_tail_difficult,80,0.09191258956903958,0.003117218738629109,residual_bulk_or_tail,65.0,80.0,False,False,False,-4.78032139577117e-05,0.4086538461538461,2.0,0.16550211234674317,,
rare_tail_difficult,96,0.09198267273096099,0.003121320620234471,residual_bulk_or_tail,81.0,96.0,False,False,False,-7.00831619214054e-05,0.4836538461538461,1.0,0.5744060772968388,,
rare_tail_difficult,16,,,donor_localization_ordinary_pca,,,False,,,,,,,0.01870977319777012,0.4828479958883801
rare_tail_difficult,16,,,donor_localization_reproducibility_weighted,,,False,,,,,,,0.028469784185290337,0.5293289824894863
