annotation,full_train_frequency,prrc_audit_cell_count,prrc_sampling_fraction,prrc_sampling_enrichment,targeted_audit_cell_count,targeted_sampling_fraction,targeted_sampling_enrichment
Astro,0.0032970425644699,32,0.0767386091127098,23.274982840582656,256.0,0.07339449541284404,22.26070606542031
AstrocyteSubclass,0.0106040017614035,1,0.0023980815347721,0.2261487303312915,,0.0,0.0
CN LAMP5-CXCL14 GABASubclass,0.000177431332736,4,0.0095923261390887,54.06218840366925,256.0,0.07339449541284404,413.6501387950891
CN ST18 GABASubclass,0.0066005400398913,32,0.0767386091127098,11.626110689266117,256.0,0.07339449541284404,11.119468250972496
Endo,0.0008657452517438,32,0.0767386091127098,88.6387871699367,256.0,0.07339449541284404,84.77608772905367
EndothelialSubclass,0.0105882580761563,0,0.0,0.0,,0.0,0.0
EpendymalSubclass,0.0006431295423483,10,0.0239808153477218,37.28769053300811,256.0,0.07339449541284404,114.12085836525877
LSXSubclass,2.518989639553049e-05,0,0.0,0.0,160.0,0.045871559633027525,1821.0301032110094
Microglia-PVMSubclass,0.0068152839066632,32,0.0767386091127098,11.25978171469616,256.0,0.07339449541284404,10.769103153734703
NPH_OTHER,0.014080994648249,0,0.0,0.0,,0.0,0.0
Neuronal: GABAergic,0.1942679446130855,31,0.0743405275779376,0.3826700680135275,,0.0,0.0
Neuronal: Glutamatergic,0.4304446347331201,60,0.1438848920863309,0.3342703810805795,,0.0,0.0
Non-neuronal and Non-neural,0.2030345008692876,35,0.0839328537170263,0.413392075522484,,0.0,0.0
OB GabaSubclass,8.344153181019476e-06,0,0.0,0.0,,0.0,0.0
OPC,0.0015764152038027,32,0.0767386091127098,48.67918612278857,256.0,0.07339449541284404,46.557845443128514
OPCSubclass,0.0022629973174334,32,0.0767386091127098,33.91016353467942,256.0,0.07339449541284404,32.43242705037101
Oligo,0.0219637004146729,0,0.0,0.0,,0.0,0.0
OligodendrocyteSubclass,0.0087380601859045,32,0.0767386091127098,8.782110386066844,256.0,0.07339449541284404,8.399403740802544
STR D1 MSNSubclass,0.0346224105376893,0,0.0,0.0,,0.0,0.0
STR D2 MSNSubclass,0.034483236360104,0,0.0,0.0,,0.0,0.0
STR Hybrid MSNSubclass,0.0025035608280107,23,0.0551558752997601,22.03097072084504,256.0,0.07339449541284404,29.316042411145425
STR RSPO2 GABASubclass,0.0001119376021076,3,0.0071942446043165,64.27013326048022,256.0,0.07339449541284404,655.6732861071439
Sst ChodlSubclass,0.0013226269976178,19,0.0455635491606714,34.44928104653523,256.0,0.07339449541284404,55.49145416284091
VLMCSubclass,0.0104812010164752,0,0.0,0.0,,0.0,0.0
VipSubclass,0.0004808121474496,7,0.0167865707434052,34.91295058255949,256.0,0.07339449541284404,152.64692417226718
