audit_implementation_exception,dataset_id,detected_feature_quantiles,duplicated_entity_ids,duplicated_feature_ids,finite_value_status,integer_valued_fraction,n_entities,n_features,negative_value_count,negative_value_fraction,numeric_dtype,qualification_role,reason,sample_id,sparse_representation,total_count_quantiles,zero_total_entities,zero_total_features
continuous count-distribution metrics not read from opaque/archive representation; role uses verified feature and acquisition semantics only,10x_Xenium_healthy_cortex_preview,,,,,,,,,,,QUARANTINED_PENDING_GOVERNANCE,predeclared dataset class,dataset_level,,,,
continuous count-distribution metrics not read from opaque/archive representation; role uses verified feature and acquisition semantics only,CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,,,,,,,,,,,MOLECULAR_REFERENCE_ONLY,predeclared dataset class,donor_H18.30.001,,,,
continuous count-distribution metrics not read from opaque/archive representation; role uses verified feature and acquisition semantics only,CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,,,,,,,,,,,MOLECULAR_REFERENCE_ONLY,predeclared dataset class,donor_H18.30.002,,,,
continuous count-distribution metrics not read from opaque/archive representation; role uses verified feature and acquisition semantics only,CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,,,,,,,,,,,MOLECULAR_REFERENCE_ONLY,predeclared dataset class,donor_H19.30.001,,,,
continuous count-distribution metrics not read from opaque/archive representation; role uses verified feature and acquisition semantics only,CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,,,,,,,,,,,MOLECULAR_REFERENCE_ONLY,predeclared dataset class,donor_H19.30.002,,,,
continuous count-distribution metrics not read from opaque/archive representation; role uses verified feature and acquisition semantics only,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,,,,MOLECULAR_REFERENCE_ONLY,predeclared dataset class,donor_1C41i,,,,
continuous count-distribution metrics not read from opaque/archive representation; role uses verified feature and acquisition semantics only,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,,,,MOLECULAR_REFERENCE_ONLY,predeclared dataset class,donor_3u5kk,,,,
continuous count-distribution metrics not read from opaque/archive representation; role uses verified feature and acquisition semantics only,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,,,,MOLECULAR_REFERENCE_ONLY,predeclared dataset class,donor_TweV8,,,,
continuous count-distribution metrics not read from opaque/archive representation; role uses verified feature and acquisition semantics only,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,,,,MOLECULAR_REFERENCE_ONLY,predeclared dataset class,donor_buFpQ,,,,
continuous count-distribution metrics not read from opaque/archive representation; role uses verified feature and acquisition semantics only,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,,,,MOLECULAR_REFERENCE_ONLY,predeclared dataset class,donor_eXCJJ,,,,
continuous count-distribution metrics not read from opaque/archive representation; role uses verified feature and acquisition semantics only,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,,,,MOLECULAR_REFERENCE_ONLY,predeclared dataset class,donor_f5sVM,,,,
continuous count-distribution metrics not read from opaque/archive representation; role uses verified feature and acquisition semantics only,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,,,,MOLECULAR_REFERENCE_ONLY,predeclared dataset class,donor_siletti_H18.30.002,,,,
continuous count-distribution metrics not read from opaque/archive representation; role uses verified feature and acquisition semantics only,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,,,,MOLECULAR_REFERENCE_ONLY,predeclared dataset class,donor_siletti_H19.30.001,,,,
continuous count-distribution metrics not read from opaque/archive representation; role uses verified feature and acquisition semantics only,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,,,,MOLECULAR_REFERENCE_ONLY,predeclared dataset class,donor_siletti_H19.30.002,,,,
continuous count-distribution metrics not read from opaque/archive representation; role uses verified feature and acquisition semantics only,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,,,,MOLECULAR_REFERENCE_ONLY,predeclared dataset class,donor_tzan2,,,,
continuous count-distribution metrics not read from opaque/archive representation; role uses verified feature and acquisition semantics only,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,,,,MOLECULAR_REFERENCE_ONLY,predeclared dataset class,donor_znZv1,,,,
continuous count-distribution metrics not read from opaque/archive representation; role uses verified feature and acquisition semantics only,CosMx_WTX_human_hippocampus,,,,,,,,,,,QUARANTINED_PENDING_GOVERNANCE,predeclared dataset class,dataset_level,,,,
