annotation,broad_family,donor_fold,cell_count,train_donors_containing_class,heldout_donors_containing_class,recall,precision,f1,neighbor_purity,nearest_competing_class,confusion_distribution
Oligo,Oligo,3,2,17,1,0.5,1.0,0.6666666666666666,0.4666666666666667,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 0.5, ""Oligo"": 0.5}"
Oligo,Oligo,4,8,14,4,0.375,1.0,0.5454545454545454,0.4,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 0.625, ""Oligo"": 0.375}"
Oligo,Oligo,5,6,15,3,0.5,1.0,0.6666666666666666,0.3333333333333333,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 0.5, ""Oligo"": 0.5}"
Oligo,Oligo,6,4,16,2,0.5,1.0,0.6666666666666666,0.4,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 0.5, ""Oligo"": 0.5}"
Oligo,Oligo,7,4,16,2,0.0,0.0,0.0,0.11666666666666667,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
OligodendrocyteSubclass,OligodendrocyteSubclass,0,32,31,4,0.125,0.8,0.21621621621621623,0.17291666666666666,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 0.875, ""OligodendrocyteSubclass"": 0.125}"
OligodendrocyteSubclass,OligodendrocyteSubclass,1,36,27,8,0.3333333333333333,0.9230769230769231,0.4897959183673469,0.3925925925925926,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 0.6666666666666666, ""OligodendrocyteSubclass"": 0.3333333333333333}"
OligodendrocyteSubclass,OligodendrocyteSubclass,2,5,33,2,0.2,1.0,0.3333333333333333,0.37333333333333335,Non-neuronal and Non-neural,"{""EndothelialSubclass"": 0.2, ""Non-neuronal and Non-neural"": 0.6, ""OligodendrocyteSubclass"": 0.2}"
OligodendrocyteSubclass,OligodendrocyteSubclass,3,21,31,4,0.38095238095238093,1.0,0.5517241379310345,0.44761904761904764,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 0.6190476190476191, ""OligodendrocyteSubclass"": 0.38095238095238093}"
OligodendrocyteSubclass,OligodendrocyteSubclass,4,12,31,4,0.5833333333333334,1.0,0.7368421052631579,0.5222222222222223,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 0.4166666666666667, ""OligodendrocyteSubclass"": 0.5833333333333334}"
OligodendrocyteSubclass,OligodendrocyteSubclass,5,15,31,4,0.3333333333333333,0.8333333333333334,0.47619047619047616,0.36444444444444446,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 0.6666666666666666, ""OligodendrocyteSubclass"": 0.3333333333333333}"
OligodendrocyteSubclass,OligodendrocyteSubclass,6,16,29,6,0.4375,0.7777777777777778,0.56,0.3875,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 0.5625, ""OligodendrocyteSubclass"": 0.4375}"
OligodendrocyteSubclass,OligodendrocyteSubclass,7,13,32,3,0.38461538461538464,1.0,0.5555555555555556,0.3384615384615385,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 0.6153846153846154, ""OligodendrocyteSubclass"": 0.38461538461538464}"
STR D1 MSNSubclass,STR D1 MSNSubclass,0,58,33,4,0.7586206896551724,0.8301886792452831,0.7927927927927928,0.6505747126436782,STR D2 MSNSubclass,"{""STR D1 MSNSubclass"": 0.7586206896551724, ""STR D2 MSNSubclass"": 0.2413793103448276}"
STR D1 MSNSubclass,STR D1 MSNSubclass,1,120,29,8,0.8333333333333334,0.78125,0.8064516129032258,0.6866666666666666,STR D2 MSNSubclass,"{""EndothelialSubclass"": 0.008333333333333333, ""STR D1 MSNSubclass"": 0.8333333333333334, ""STR D2 MSNSubclass"": 0.15833333333333333}"
STR D1 MSNSubclass,STR D1 MSNSubclass,2,35,35,2,0.8285714285714286,0.9354838709677419,0.8787878787878788,0.6438095238095238,STR D2 MSNSubclass,"{""STR D1 MSNSubclass"": 0.8285714285714286, ""STR D2 MSNSubclass"": 0.17142857142857143}"
STR D1 MSNSubclass,STR D1 MSNSubclass,3,66,33,4,0.9242424242424242,0.8840579710144928,0.9037037037037037,0.7424242424242424,STR D2 MSNSubclass,"{""STR D1 MSNSubclass"": 0.9242424242424242, ""STR D2 MSNSubclass"": 0.07575757575757576}"
STR D1 MSNSubclass,STR D1 MSNSubclass,4,56,33,4,0.875,0.8305084745762712,0.8521739130434782,0.6952380952380952,STR D2 MSNSubclass,"{""STR D1 MSNSubclass"": 0.875, ""STR D2 MSNSubclass"": 0.125}"
STR D1 MSNSubclass,STR D1 MSNSubclass,5,62,32,5,0.8387096774193549,0.7761194029850746,0.8062015503875969,0.689247311827957,STR D2 MSNSubclass,"{""STR D1 MSNSubclass"": 0.8387096774193549, ""STR D2 MSNSubclass"": 0.16129032258064516}"
STR D1 MSNSubclass,STR D1 MSNSubclass,6,92,31,6,0.9130434782608695,0.8484848484848485,0.8795811518324608,0.7144927536231884,STR D2 MSNSubclass,"{""STR D1 MSNSubclass"": 0.9130434782608695, ""STR D2 MSNSubclass"": 0.08695652173913043}"
STR D1 MSNSubclass,STR D1 MSNSubclass,7,65,33,4,0.676923076923077,0.8148148148148148,0.7394957983193278,0.598974358974359,STR D2 MSNSubclass,"{""EndothelialSubclass"": 0.015384615384615385, ""STR D1 MSNSubclass"": 0.676923076923077, ""STR D2 MSNSubclass"": 0.2923076923076923, ""VLMCSubclass"": 0.015384615384615385}"
STR D2 MSNSubclass,STR D2 MSNSubclass,0,52,33,4,0.8846153846153846,0.7076923076923077,0.7863247863247863,0.7115384615384616,STR D1 MSNSubclass,"{""EndothelialSubclass"": 0.019230769230769232, ""STR D1 MSNSubclass"": 0.09615384615384616, ""STR D2 MSNSubclass"": 0.8846153846153846}"
STR D2 MSNSubclass,STR D2 MSNSubclass,1,122,29,8,0.8852459016393442,0.8059701492537313,0.84375,0.6797814207650273,STR D1 MSNSubclass,"{""STR D1 MSNSubclass"": 0.11475409836065574, ""STR D2 MSNSubclass"": 0.8852459016393442}"
STR D2 MSNSubclass,STR D2 MSNSubclass,2,37,35,2,0.972972972972973,0.8571428571428571,0.9113924050632911,0.6954954954954955,STR D1 MSNSubclass,"{""STR D1 MSNSubclass"": 0.02702702702702703, ""STR D2 MSNSubclass"": 0.972972972972973}"
STR D2 MSNSubclass,STR D2 MSNSubclass,3,72,33,4,0.9305555555555556,0.9178082191780822,0.9241379310344827,0.7027777777777777,STR D1 MSNSubclass,"{""STR D1 MSNSubclass"": 0.05555555555555555, ""STR D2 MSNSubclass"": 0.9305555555555556, ""VLMCSubclass"": 0.013888888888888888}"
STR D2 MSNSubclass,STR D2 MSNSubclass,4,46,33,4,0.9130434782608695,0.7924528301886793,0.8484848484848485,0.7014492753623188,STR D1 MSNSubclass,"{""STR D1 MSNSubclass"": 0.08695652173913043, ""STR D2 MSNSubclass"": 0.9130434782608695}"
STR D2 MSNSubclass,STR D2 MSNSubclass,5,74,32,5,0.9594594594594594,0.7171717171717171,0.8208092485549133,0.7360360360360361,EndothelialSubclass,"{""EndothelialSubclass"": 0.02702702702702703, ""STR D1 MSNSubclass"": 0.013513513513513514, ""STR D2 MSNSubclass"": 0.9594594594594594}"
STR D2 MSNSubclass,STR D2 MSNSubclass,6,103,31,6,0.8737864077669902,0.9090909090909091,0.8910891089108911,0.6640776699029126,STR D1 MSNSubclass,"{""STR D1 MSNSubclass"": 0.1262135922330097, ""STR D2 MSNSubclass"": 0.8737864077669902}"
STR D2 MSNSubclass,STR D2 MSNSubclass,7,65,33,4,0.9076923076923077,0.7283950617283951,0.8082191780821918,0.683076923076923,STR D1 MSNSubclass,"{""EndothelialSubclass"": 0.015384615384615385, ""STR D1 MSNSubclass"": 0.07692307692307693, ""STR D2 MSNSubclass"": 0.9076923076923077}"
STR Hybrid MSNSubclass,STR Hybrid MSNSubclass,1,4,13,4,0.5,0.2857142857142857,0.36363636363636365,0.45,VLMCSubclass,"{""STR Hybrid MSNSubclass"": 0.5, ""VLMCSubclass"": 0.5}"
STR Hybrid MSNSubclass,STR Hybrid MSNSubclass,2,1,16,1,0.0,0.0,0.0,0.3333333333333333,EndothelialSubclass,"{""EndothelialSubclass"": 1.0}"
STR Hybrid MSNSubclass,STR Hybrid MSNSubclass,3,5,15,2,0.4,0.5,0.4444444444444444,0.25333333333333335,VLMCSubclass,"{""STR D2 MSNSubclass"": 0.2, ""STR Hybrid MSNSubclass"": 0.4, ""VLMCSubclass"": 0.4}"
STR Hybrid MSNSubclass,STR Hybrid MSNSubclass,4,3,15,2,0.6666666666666666,0.5,0.5714285714285714,0.4888888888888889,EndothelialSubclass,"{""EndothelialSubclass"": 0.3333333333333333, ""STR Hybrid MSNSubclass"": 0.6666666666666666}"
STR Hybrid MSNSubclass,STR Hybrid MSNSubclass,5,3,15,2,0.6666666666666666,0.5,0.5714285714285714,0.3333333333333333,EndothelialSubclass,"{""EndothelialSubclass"": 0.3333333333333333, ""STR Hybrid MSNSubclass"": 0.6666666666666666}"
STR Hybrid MSNSubclass,STR Hybrid MSNSubclass,6,6,12,5,0.0,0.0,0.0,0.26666666666666666,EndothelialSubclass,"{""EndothelialSubclass"": 0.6666666666666666, ""VLMCSubclass"": 0.3333333333333333}"
STR Hybrid MSNSubclass,STR Hybrid MSNSubclass,7,1,16,1,1.0,0.25,0.4,0.4,NONE,"{""STR Hybrid MSNSubclass"": 1.0}"
STR RSPO2 GABASubclass,STR RSPO2 GABASubclass,6,3,0,3,0.0,0.0,0.0,0.0,Neuronal: GABAergic,"{""Neuronal: GABAergic"": 1.0}"
Sst ChodlSubclass,Sst ChodlSubclass,0,1,15,1,0.0,0.0,0.0,0.2,Neuronal: GABAergic,"{""Neuronal: GABAergic"": 1.0}"
Sst ChodlSubclass,Sst ChodlSubclass,1,6,12,4,0.0,0.0,0.0,0.13333333333333333,CN ST18 GABASubclass,"{""CN ST18 GABASubclass"": 0.3333333333333333, ""Neuronal: GABAergic"": 0.3333333333333333, ""VLMCSubclass"": 0.3333333333333333}"
Sst ChodlSubclass,Sst ChodlSubclass,3,1,15,1,0.0,0.0,0.0,0.06666666666666667,STR D1 MSNSubclass,"{""STR D1 MSNSubclass"": 1.0}"
Sst ChodlSubclass,Sst ChodlSubclass,4,3,14,2,0.0,0.0,0.0,0.044444444444444446,EndothelialSubclass,"{""EndothelialSubclass"": 0.3333333333333333, ""Non-neuronal and Non-neural"": 0.3333333333333333, ""STR D1 MSNSubclass"": 0.3333333333333333}"
Sst ChodlSubclass,Sst ChodlSubclass,5,3,13,3,0.0,0.0,0.0,0.06666666666666667,CN ST18 GABASubclass,"{""CN ST18 GABASubclass"": 0.6666666666666666, ""VLMCSubclass"": 0.3333333333333333}"
Sst ChodlSubclass,Sst ChodlSubclass,6,3,13,3,0.0,0.0,0.0,0.13333333333333333,Neuronal: GABAergic,"{""Neuronal: GABAergic"": 0.3333333333333333, ""STR D2 MSNSubclass"": 0.3333333333333333, ""VLMCSubclass"": 0.3333333333333333}"
Sst ChodlSubclass,Sst ChodlSubclass,7,2,14,2,0.0,0.0,0.0,0.1,STR D1 MSNSubclass,"{""STR D1 MSNSubclass"": 1.0}"
VLMCSubclass,VLMCSubclass,0,12,32,4,0.25,1.0,0.4,0.25,EndothelialSubclass,"{""EndothelialSubclass"": 0.25, ""Non-neuronal and Non-neural"": 0.08333333333333333, ""STR D1 MSNSubclass"": 0.08333333333333333, ""STR D2 MSNSubclass"": 0.16666666666666666, ""STR Hybrid MSNSubclass"": 0.16666666666666666, ""VLMCSubclass"": 0.25}"
VLMCSubclass,VLMCSubclass,1,46,28,8,0.15217391304347827,0.6363636363636364,0.24561403508771928,0.2072463768115942,EndothelialSubclass,"{""EndothelialSubclass"": 0.32608695652173914, ""Non-neuronal and Non-neural"": 0.13043478260869565, ""STR D1 MSNSubclass"": 0.2608695652173913, ""STR D2 MSNSubclass"": 0.08695652173913043, ""STR Hybrid MSNSubclass"": 0.043478260869565216, ""VLMCSubclass"": 0.15217391304347827}"
VLMCSubclass,VLMCSubclass,2,1,35,1,1.0,0.5,0.6666666666666666,0.4,NONE,"{""VLMCSubclass"": 1.0}"
VLMCSubclass,VLMCSubclass,3,8,32,4,0.125,0.25,0.16666666666666666,0.35833333333333334,EndothelialSubclass,"{""EndothelialSubclass"": 0.375, ""STR D1 MSNSubclass"": 0.25, ""STR Hybrid MSNSubclass"": 0.25, ""VLMCSubclass"": 0.125}"
VLMCSubclass,VLMCSubclass,4,23,32,4,0.17391304347826086,0.8,0.2857142857142857,0.2318840579710145,EndothelialSubclass,"{""EndothelialSubclass"": 0.30434782608695654, ""Neuronal: GABAergic"": 0.043478260869565216, ""Non-neuronal and Non-neural"": 0.13043478260869565, ""STR D1 MSNSubclass"": 0.21739130434782608, ""STR D2 MSNSubclass"": 0.08695652173913043, ""STR Hybrid MSNSubclass"": 0.043478260869565216, ""VLMCSubclass"": 0.17391304347826086}"
VLMCSubclass,VLMCSubclass,5,36,31,5,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.2222222222222222,STR D2 MSNSubclass,"{""AstrocyteSubclass"": 0.027777777777777776, ""EndothelialSubclass"": 0.19444444444444445, ""Neuronal: GABAergic"": 0.027777777777777776, ""OligodendrocyteSubclass"": 0.027777777777777776, ""STR D1 MSNSubclass"": 0.16666666666666666, ""STR D2 MSNSubclass"": 0.3333333333333333, ""VLMCSubclass"": 0.2222222222222222}"
VLMCSubclass,VLMCSubclass,6,13,30,6,0.07692307692307693,0.2,0.1111111111111111,0.13846153846153847,EndothelialSubclass,"{""EndothelialSubclass"": 0.3076923076923077, ""Neuronal: Glutamatergic"": 0.23076923076923078, ""Non-neuronal and Non-neural"": 0.15384615384615385, ""OligodendrocyteSubclass"": 0.15384615384615385, ""STR D1 MSNSubclass"": 0.07692307692307693, ""VLMCSubclass"": 0.07692307692307693}"
VLMCSubclass,VLMCSubclass,7,14,32,4,0.21428571428571427,0.75,0.3333333333333333,0.22380952380952382,EndothelialSubclass,"{""EndothelialSubclass"": 0.2857142857142857, ""Neuronal: Glutamatergic"": 0.07142857142857142, ""STR D1 MSNSubclass"": 0.14285714285714285, ""STR D2 MSNSubclass"": 0.14285714285714285, ""STR Hybrid MSNSubclass"": 0.14285714285714285, ""VLMCSubclass"": 0.21428571428571427}"
VipSubclass,VipSubclass,0,1,5,1,0.0,0.0,0.0,0.06666666666666667,Neuronal: GABAergic,"{""Neuronal: GABAergic"": 1.0}"
VipSubclass,VipSubclass,3,2,4,2,0.0,0.0,0.0,0.06666666666666667,Neuronal: GABAergic,"{""Neuronal: GABAergic"": 1.0}"
VipSubclass,VipSubclass,6,3,4,2,0.0,0.0,0.0,0.0,Neuronal: GABAergic,"{""Neuronal: GABAergic"": 0.6666666666666666, ""STR D1 MSNSubclass"": 0.3333333333333333}"
VipSubclass,VipSubclass,7,1,5,1,0.0,0.0,0.0,0.0,Neuronal: GABAergic,"{""Neuronal: GABAergic"": 1.0}"
