annotation,broad_family,donor_fold,cell_count,train_donors_containing_class,heldout_donors_containing_class,recall,precision,f1,neighbor_purity,nearest_competing_class,confusion_distribution
CN ST18 GABASubclass,CN ST18 GABASubclass,6,27,30,6,1.0,0.9642857142857143,0.9818181818181818,1.0,NONE,"{""CN ST18 GABASubclass"": 1.0}"
CN ST18 GABASubclass,CN ST18 GABASubclass,7,12,32,4,1.0,0.8571428571428571,0.9230769230769231,0.9833333333333333,NONE,"{""CN ST18 GABASubclass"": 1.0}"
Endo,Endo,0,4,17,2,0.25,1.0,0.4,0.3,Non-neuronal and Non-neural,"{""Endo"": 0.25, ""Non-neuronal and Non-neural"": 0.75}"
Endo,Endo,2,10,14,5,0.3,1.0,0.46153846153846156,0.2,Non-neuronal and Non-neural,"{""Endo"": 0.3, ""Non-neuronal and Non-neural"": 0.7}"
Endo,Endo,3,2,18,1,0.0,0.0,0.0,0.13333333333333333,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
Endo,Endo,4,8,15,4,0.125,1.0,0.2222222222222222,0.175,Non-neuronal and Non-neural,"{""Endo"": 0.125, ""Non-neuronal and Non-neural"": 0.875}"
Endo,Endo,5,6,16,3,0.16666666666666666,1.0,0.2857142857142857,0.34444444444444444,Non-neuronal and Non-neural,"{""Endo"": 0.16666666666666666, ""Non-neuronal and Non-neural"": 0.8333333333333334}"
Endo,Endo,6,4,17,2,0.25,1.0,0.4,0.31666666666666665,Non-neuronal and Non-neural,"{""Endo"": 0.25, ""Non-neuronal and Non-neural"": 0.75}"
Endo,Endo,7,4,17,2,0.0,0.0,0.0,0.16666666666666666,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
EndothelialSubclass,EndothelialSubclass,0,16,32,4,0.375,0.5454545454545454,0.4444444444444444,0.32916666666666666,STR D2 MSNSubclass,"{""AstrocyteSubclass"": 0.0625, ""EndothelialSubclass"": 0.375, ""Non-neuronal and Non-neural"": 0.0625, ""OligodendrocyteSubclass"": 0.0625, ""STR D1 MSNSubclass"": 0.125, ""STR D2 MSNSubclass"": 0.1875, ""STR Hybrid MSNSubclass"": 0.125}"
EndothelialSubclass,EndothelialSubclass,1,22,28,8,0.5,0.39285714285714285,0.44,0.32727272727272727,STR D2 MSNSubclass,"{""EndothelialSubclass"": 0.5, ""Non-neuronal and Non-neural"": 0.09090909090909091, ""OligodendrocyteSubclass"": 0.045454545454545456, ""STR D1 MSNSubclass"": 0.09090909090909091, ""STR D2 MSNSubclass"": 0.13636363636363635, ""STR Hybrid MSNSubclass"": 0.13636363636363635}"
EndothelialSubclass,EndothelialSubclass,2,5,34,2,0.6,0.6,0.6,0.3333333333333333,STR D1 MSNSubclass,"{""EndothelialSubclass"": 0.6, ""STR D1 MSNSubclass"": 0.2, ""VLMCSubclass"": 0.2}"
EndothelialSubclass,EndothelialSubclass,3,9,32,4,0.6666666666666666,0.42857142857142855,0.5217391304347826,0.4074074074074074,Non-neuronal and Non-neural,"{""EndothelialSubclass"": 0.6666666666666666, ""Non-neuronal and Non-neural"": 0.2222222222222222, ""STR D1 MSNSubclass"": 0.1111111111111111}"
EndothelialSubclass,EndothelialSubclass,4,13,33,3,0.5384615384615384,0.4375,0.4827586206896552,0.3282051282051282,Non-neuronal and Non-neural,"{""EndothelialSubclass"": 0.5384615384615384, ""Non-neuronal and Non-neural"": 0.23076923076923078, ""STR D2 MSNSubclass"": 0.15384615384615385, ""STR Hybrid MSNSubclass"": 0.07692307692307693}"
