factor,family,r2,representation,view
0,RANDOM_40,0.8918294906616211,visible,0
1,RANDOM_40,0.8944818377494812,visible,0
2,RANDOM_40,0.8838489651679993,visible,0
3,RANDOM_40,0.8857383728027344,visible,0
4,RANDOM_40,0.9135080575942993,visible,0
5,RANDOM_40,0.882064163684845,visible,0
6,RANDOM_40,0.8883862495422363,visible,0
7,RANDOM_40,0.9114896655082703,visible,0
8,RANDOM_40,0.8896448016166687,visible,0
9,RANDOM_40,0.8827343583106995,visible,0
10,RANDOM_40,0.8914511203765869,visible,0
11,RANDOM_40,0.8827089667320251,visible,0
12,RANDOM_40,0.8454725742340088,visible,0
13,RANDOM_40,0.8740947842597961,visible,0
14,RANDOM_40,0.860213577747345,visible,0
15,RANDOM_40,0.8653872013092041,visible,0
16,RANDOM_40,0.8889937400817871,visible,0
17,RANDOM_40,0.874674916267395,visible,0
18,RANDOM_40,0.8720458745956421,visible,0
19,RANDOM_40,0.8880190849304199,visible,0
20,RANDOM_40,0.8734804391860962,visible,0
21,RANDOM_40,0.8687156438827515,visible,0
22,RANDOM_40,0.8582854270935059,visible,0
23,RANDOM_40,0.883449137210846,visible,0
24,RANDOM_40,0.9304043650627136,visible,0
25,RANDOM_40,0.8951007127761841,visible,0
26,RANDOM_40,0.8981620073318481,visible,0
27,RANDOM_40,0.8900951147079468,visible,0
28,RANDOM_40,0.8793627619743347,visible,0
29,RANDOM_40,0.903878390789032,visible,0
30,RANDOM_40,0.8846186995506287,visible,0
31,RANDOM_40,0.8930019736289978,visible,0
0,RANDOM_40,0.8919858336448669,raw,0
1,RANDOM_40,0.8928778171539307,raw,0
2,RANDOM_40,0.8799881935119629,raw,0
3,RANDOM_40,0.8777381181716919,raw,0
4,RANDOM_40,0.913065493106842,raw,0
5,RANDOM_40,0.8801166415214539,raw,0
6,RANDOM_40,0.8887547254562378,raw,0
7,RANDOM_40,0.9043992757797241,raw,0
8,RANDOM_40,0.8890997767448425,raw,0
9,RANDOM_40,0.8825111389160156,raw,0
10,RANDOM_40,0.8903793096542358,raw,0
11,RANDOM_40,0.8825871348381042,raw,0
12,RANDOM_40,0.8457990884780884,raw,0
13,RANDOM_40,0.8727589845657349,raw,0
14,RANDOM_40,0.859281063079834,raw,0
15,RANDOM_40,0.8639668822288513,raw,0
16,RANDOM_40,0.8885037899017334,raw,0
17,RANDOM_40,0.8682204484939575,raw,0
18,RANDOM_40,0.8720914125442505,raw,0
19,RANDOM_40,0.8877389430999756,raw,0
20,RANDOM_40,0.8739067316055298,raw,0
21,RANDOM_40,0.8684107065200806,raw,0
22,RANDOM_40,0.8574330806732178,raw,0
23,RANDOM_40,0.8803424835205078,raw,0
24,RANDOM_40,0.9244541525840759,raw,0
25,RANDOM_40,0.8948573470115662,raw,0
26,RANDOM_40,0.8983126282691956,raw,0
27,RANDOM_40,0.888860821723938,raw,0
28,RANDOM_40,0.8790456056594849,raw,0
29,RANDOM_40,0.9022363424301147,raw,0
30,RANDOM_40,0.8842665553092957,raw,0
31,RANDOM_40,0.892512857913971,raw,0
0,RANDOM_40,0.8915963768959045,diagonalized,0
1,RANDOM_40,0.8941217064857483,diagonalized,0
2,RANDOM_40,0.8835172057151794,diagonalized,0
3,RANDOM_40,0.8857729434967041,diagonalized,0
4,RANDOM_40,0.9134747385978699,diagonalized,0
5,RANDOM_40,0.8820510506629944,diagonalized,0
6,RANDOM_40,0.8883400559425354,diagonalized,0
7,RANDOM_40,0.9117608666419983,diagonalized,0
8,RANDOM_40,0.8895790576934814,diagonalized,0
9,RANDOM_40,0.8824324607849121,diagonalized,0
10,RANDOM_40,0.8909753561019897,diagonalized,0
11,RANDOM_40,0.8828279972076416,diagonalized,0
12,RANDOM_40,0.8455721735954285,diagonalized,0
13,RANDOM_40,0.8741165399551392,diagonalized,0
14,RANDOM_40,0.8599647283554077,diagonalized,0
15,RANDOM_40,0.864991307258606,diagonalized,0
16,RANDOM_40,0.8884874582290649,diagonalized,0
17,RANDOM_40,0.8737814426422119,diagonalized,0
18,RANDOM_40,0.8722877502441406,diagonalized,0
19,RANDOM_40,0.8877567648887634,diagonalized,0
20,RANDOM_40,0.8734796047210693,diagonalized,0
21,RANDOM_40,0.8690640330314636,diagonalized,0
22,RANDOM_40,0.8582717776298523,diagonalized,0
23,RANDOM_40,0.8834344148635864,diagonalized,0
24,RANDOM_40,0.9300995469093323,diagonalized,0
25,RANDOM_40,0.8947981595993042,diagonalized,0
26,RANDOM_40,0.8981382846832275,diagonalized,0
27,RANDOM_40,0.8900846838951111,diagonalized,0
28,RANDOM_40,0.8792330026626587,diagonalized,0
29,RANDOM_40,0.9039380550384521,diagonalized,0
30,RANDOM_40,0.8848803043365479,diagonalized,0
31,RANDOM_40,0.893105685710907,diagonalized,0
0,RANDOM_40,0.8915908336639404,belief,0
1,RANDOM_40,0.8941218852996826,belief,0
2,RANDOM_40,0.8835170269012451,belief,0
3,RANDOM_40,0.885773777961731,belief,0
4,RANDOM_40,0.9134745001792908,belief,0
5,RANDOM_40,0.8820511698722839,belief,0
6,RANDOM_40,0.8883391618728638,belief,0
7,RANDOM_40,0.9117616415023804,belief,0
8,RANDOM_40,0.8895792961120605,belief,0
9,RANDOM_40,0.8824318647384644,belief,0
