dataset_id,gene_namespace,feature_count,feature_order_sha256,exact_symbol_count,exact_stable_id_count,duplicate_symbol_count,unresolved_identifier_count,source_values_preserved,fuzzy_aliasing_used
gse133357_regional_microglia_fpkm,exact_source_feature_identifiers,9126,33e23288c248cd9c14cba0e7873cccc5dab1225a794f53f4d95c5a28712d8aae,9111,0,0,15,True,False
gse146639_processed_microglia_archive,exact_source_feature_identifiers,33538,2534e36a030e919eb756ca3fa795308de3f67320e05f4e837e7e2569e7f9692f,33490,33538,24,0,True,False
gse175721_09deb6fed0c6,exact_source_feature_identifiers,32738,32128ab4e7fae0b41498be5f2ca41e597715420fbc4f9baa1bd95101a9d5550c,32551,32738,91,0,True,False
gse175721_efcc78179a9c,unresolved_or_non_gene,0,unresolved,0,0,0,0,True,False
gse178317_ba77161eeaa1,exact_source_feature_identifiers,33538,2534e36a030e919eb756ca3fa795308de3f67320e05f4e837e7e2569e7f9692f,33490,33538,24,0,True,False
gse178317_f5881facc710,exact_source_feature_identifiers,60233,ea90271e70b9a99689ed9582242e12423d458eb1f748583360a02d6dd71c4878,0,60232,0,1,True,False
gse240609_1155194f2ab8,exact_source_feature_identifiers,27154,537ea5453b98c9944b76831cb0216b88363373e323477668199656690f69eb4b,27153,0,0,1,True,False
gse241858_139c1d1976d8,exact_source_feature_identifiers,28396,fcc6b2e76538a06a2c9d062f166c15fabdbe26592e37ab7d1cc737c27fcd184c,1,0,0,28395,True,False
gse241858_cb7d87bdeb0f,exact_source_feature_identifiers,28396,fcc6b2e76538a06a2c9d062f166c15fabdbe26592e37ab7d1cc737c27fcd184c,1,0,0,28395,True,False
gse243292_full_dlpfc_h5ad,exact_source_feature_identifiers,26423,b13ed9261c5ebff729e3622ece23ffacc068b454ded9b0ca4952c38520c6060c,26423,0,0,0,True,False
gse243292_readme,unresolved_or_non_gene,0,unresolved,0,0,0,0,True,False
gse254205_3bc2196b5493,unresolved_or_non_gene,0,unresolved,0,0,0,0,True,False
gse254205_8ae26813ce5d,exact_source_feature_identifiers,58395,c96ee8c667edf262b97e9715e71cbd57159bb6f56e6ae67a6843e4a74b89191a,56663,0,164,1732,True,False
gse254205_cff143b59c0c,exact_source_feature_identifiers,33538,0cbd85a66c61929d0e59da26e5a47f7c29ea293dc24430c0189eb326a2720794,33538,0,0,0,True,False
gse254205_fca1d393501d,exact_source_feature_identifiers,58396,2690067292bede5b0fef9ce5e2a64b3d37153794754eb54fbc5295fa5305d16b,1,58395,0,0,True,False
