matrix_id,nearest_matrix_id,total_distance,qc_distance,measurement_mask_distance,technology_match,tissue_match
HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,0.019031737516133015,0.019031737516133015,0.0,True,True
HVS::38374d1b-6549-4429-b59a-ff2706dacd96,HVS::77dc6994-2777-4fad-a445-4ff7d143a682,0.01605631349692072,0.01605631349692072,0.0,True,True
HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,0.08568042713288762,0.08568042713288762,0.0,True,True
HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,0.019031737516133015,0.019031737516133015,0.0,True,True
HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,HVS::6201fd7d-f35b-4487-bace-99426881237b,0.010397390696277209,0.010397390696277209,0.0,True,True
HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,0.028080149083438744,0.028080149083438744,0.0,True,True
HVS::5fff0955-173e-407d-b160-64f513ca6db6,HVS::8dfadc37-e19c-4d4b-80d8-cee48e732bcf,0.013477096904471407,0.013477096904471407,0.0,True,True
HVS::6201fd7d-f35b-4487-bace-99426881237b,HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,0.010397390696277209,0.010397390696277209,0.0,True,True
HVS::77dc6994-2777-4fad-a445-4ff7d143a682,HVS::c3b47645-c927-4a0a-868f-eb7640ea3354,0.013826217063950109,0.013826217063950109,0.0,True,True
HVS::7958eba0-1d79-42e3-8947-a198f98578f2,HVS::e813d04b-7833-4b02-b14f-0247d6128516,0.013506018440628681,0.013506018440628681,0.0,True,True
HVS::7b96819c-598c-47a1-9cea-f410fc0c37fa,HVS::c5e9db26-7b51-4290-b721-dd540ac906b1,0.08866126636573314,0.08866126636573314,0.0,True,True
HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,0.02187033111764428,0.02187033111764428,0.0,True,True
HVS::8dfadc37-e19c-4d4b-80d8-cee48e732bcf,HVS::5fff0955-173e-407d-b160-64f513ca6db6,0.013477096904471407,0.013477096904471407,0.0,True,True
HVS::900faaa3-adec-4fd9-81b0-1e90a2ab256f,HVS::f8975a92-8ddb-4dde-adbe-977a4b3e4e96,0.00512303388035172,0.00512303388035172,0.0,True,True
HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,0.028080149083438744,0.028080149083438744,0.0,True,True
HVS::a9b5738d-997d-433f-8d86-12dbfc8f01fb,HVS::900faaa3-adec-4fd9-81b0-1e90a2ab256f,0.08847446277707556,0.08847446277707556,0.0,True,True
HVS::ab88770a-7a74-4da5-a166-d68f02d644f2,HVS::5fff0955-173e-407d-b160-64f513ca6db6,0.14060902675198197,0.14060902675198197,0.0,True,True
HVS::bb3c4200-5c1b-4f8a-a846-e021919b7241,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,0.027483420490109645,0.027483420490109645,0.0,True,True
HVS::c3b47645-c927-4a0a-868f-eb7640ea3354,HVS::77dc6994-2777-4fad-a445-4ff7d143a682,0.013826217063950109,0.013826217063950109,0.0,True,True
HVS::c5e9db26-7b51-4290-b721-dd540ac906b1,HVS::7b96819c-598c-47a1-9cea-f410fc0c37fa,0.08866126636573314,0.08866126636573314,0.0,True,True
HVS::c9143d44-4c95-4f06-8edc-e03d3491ab97,HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,0.022683366845408975,0.022683366845408975,0.0,True,True
HVS::d1303087-592a-4c3d-aa3e-21de203927dc,HVS::e813d04b-7833-4b02-b14f-0247d6128516,0.05529550703342774,0.05529550703342774,0.0,True,True
HVS::e813d04b-7833-4b02-b14f-0247d6128516,HVS::7958eba0-1d79-42e3-8947-a198f98578f2,0.013506018440628681,0.013506018440628681,0.0,True,True
HVS::f8975a92-8ddb-4dde-adbe-977a4b3e4e96,HVS::900faaa3-adec-4fd9-81b0-1e90a2ab256f,0.00512303388035172,0.00512303388035172,0.0,True,True
NPH52_exact_source_objects,HVS::ab88770a-7a74-4da5-a166-d68f02d644f2,0.7970853208333082,0.047085320833308186,0.0,False,False
sea_ad_ang_rna_final_2026,sea_ad_fi_rna_final_2026,0.3125997540618749,0.06259975406187493,0.0,True,False
sea_ad_caudate_rna_all_2025,HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,0.7703510734744727,0.02035107347447279,0.0,False,False
sea_ad_fi_rna_final_2026,sea_ad_ang_rna_final_2026,0.3125997540618749,0.06259975406187493,0.0,True,False
sea_ad_hip_rna_final_2026,sea_ad_lec_rna_final_2026,0.3777790991479839,0.1277790991479839,0.0,True,False
sea_ad_itg_rna_final_2026,sea_ad_v1c_rna_final_2026,0.27488858596709,0.024888585967089972,0.0,True,False
sea_ad_lec_rna_final_2026,sea_ad_hip_rna_final_2026,0.3777790991479839,0.1277790991479839,0.0,True,False
sea_ad_mec_rna_final_2026,sea_ad_mtg_rna_final_2026,0.26547434187751495,0.015474341877514959,0.0,True,False
sea_ad_mtg_rna_final_2026,sea_ad_mec_rna_final_2026,0.26547434187751495,0.015474341877514959,0.0,True,False
sea_ad_pfc_a9_rna_final_2026,sea_ad_mtg_rna_final_2026,0.2797888815783759,0.029788881578375895,0.0,True,False
