best_count_completed_r2,best_count_predictor,best_expected_completed_r2,best_expected_predictor,factor,family,full_lambda_pca_r2,hidden_loading_fraction,hidden_reporter_fraction,identifiability_class,identifiability_ratio,view,visible_lambda_r2,visible_loading_fraction,visible_reporter_fraction,visible_x_a_r2
0.8511161208152771,ridge_count,0.9997894167900085,ridge_expected,0,RANDOM_40,0.9997884631156921,0.4220322370529175,0.4196428656578064,HIGHLY_IDENTIFIABLE,0.8512962013613362,0,0.9998064637184143,0.5779677629470825,0.5803571343421936,0.8868929743766785
0.8373134136199951,ridge_count,0.9997310042381287,ridge_expected,1,RANDOM_40,0.9997314810752869,0.4505164623260498,0.4508928656578064,HIGHLY_IDENTIFIABLE,0.8375383085060012,0,0.999734103679657,0.5494835376739502,0.5491071343421936,0.8906575441360474
0.8323765993118286,ridge_count,0.9997717142105103,ridge_expected,2,RANDOM_40,0.9997715950012207,0.3858484923839569,0.3839285671710968,HIGHLY_IDENTIFIABLE,0.8325667617220234,0,0.9997963309288025,0.6141514778137207,0.6160714030265808,0.8864022493362427
0.8637655973434448,ridge_count,0.9997636675834656,ridge_expected,3,RANDOM_40,0.9997634887695312,0.3980658948421478,0.3973214328289032,HIGHLY_IDENTIFIABLE,0.8639699359360811,0,0.9997638463973999,0.6019341945648193,0.6026785969734192,0.8859974145889282
0.8510193228721619,ridge_count,0.9997807145118713,ridge_expected,4,RANDOM_40,0.9997805953025818,0.46396249532699585,0.4642857015132904,HIGHLY_IDENTIFIABLE,0.8512060814849106,0,0.9997857809066772,0.5360375642776489,0.5357142686843872,0.8897705674171448
0.8421953916549683,ridge_count,0.9998483657836914,ridge_expected,5,RANDOM_40,0.9998483657836914,0.3831869065761566,0.3839285671710968,HIGHLY_IDENTIFIABLE,0.8423231166606417,0,0.9998614192008972,0.616813063621521,0.6160714030265808,0.8848913311958313
0.8278694152832031,ridge_count,0.9997638463973999,ridge_expected,6,RANDOM_40,0.9997641444206238,0.410057008266449,0.4107142984867096,HIGHLY_IDENTIFIABLE,0.8280647189672562,0,0.9997965693473816,0.5899430513381958,0.5892857313156128,0.8665371537208557
0.8698650598526001,ridge_count,0.9998033046722412,ridge_expected,7,RANDOM_40,0.9998029470443726,0.3833913803100586,0.3839285671710968,HIGHLY_IDENTIFIABLE,0.8700365031170431,0,0.9998244643211365,0.6166085004806519,0.6160714030265808,0.9172107577323914
0.8477981090545654,ridge_count,0.9998469948768616,ridge_expected,8,RANDOM_40,0.999847412109375,0.4100232720375061,0.4107142984867096,HIGHLY_IDENTIFIABLE,0.8479274925220524,0,0.999857485294342,0.5899766683578491,0.5892857313156128,0.8761647939682007
0.8487129211425781,ridge_count,0.9998427033424377,ridge_expected,9,RANDOM_40,0.9998424053192139,0.43722766637802124,0.4375,HIGHLY_IDENTIFIABLE,0.848846694866492,0,0.9998390078544617,0.5627723336219788,0.5625,0.8684355616569519
0.8472692966461182,ridge_count,0.9998140931129456,ridge_expected,10,RANDOM_40,0.9998140335083008,0.38379815220832825,0.3839285671710968,HIGHLY_IDENTIFIABLE,0.8474268896517583,0,0.9997981190681458,0.6162018775939941,0.6160714030265808,0.8854349255561829
0.8588157296180725,ridge_count,0.9998022317886353,ridge_expected,11,RANDOM_40,0.999800980091095,0.4008261561393738,0.3973214328289032,HIGHLY_IDENTIFIABLE,0.8589866850698857,0,0.9998090863227844,0.5991738438606262,0.6026785969734192,0.8862863183021545
0.777320146560669,ridge_count,0.9996513724327087,ridge_expected,12,RANDOM_40,0.9996496438980103,0.43027421832084656,0.4285714328289032,HIGHLY_IDENTIFIABLE,0.7775925808662374,0,0.9996662735939026,0.5697258114814758,0.5714285969734192,0.844434380531311
0.7975407242774963,ridge_count,0.9997369050979614,ridge_expected,13,RANDOM_40,0.9997358918190002,0.394808828830719,0.3973214328289032,HIGHLY_IDENTIFIABLE,0.7977514169531178,0,0.9997503757476807,0.6051912307739258,0.6026785969734192,0.855602502822876
0.7785465717315674,ridge_count,0.9997247457504272,ridge_expected,14,RANDOM_40,0.9997243285179138,0.3763197958469391,0.375,HIGHLY_IDENTIFIABLE,0.778761254000649,0,0.9997390508651733,0.6236802935600281,0.625,0.8208990693092346
0.7655966281890869,ridge_count,0.9997770190238953,ridge_expected,15,RANDOM_40,0.9997764825820923,0.42515265941619873,0.4241071343421936,HIGHLY_IDENTIFIABLE,0.7657677906283651,0,0.9997987151145935,0.5748473405838013,0.5758928656578064,0.8427887558937073
0.8609602451324463,ridge_count,0.9998863339424133,ridge_expected,16,RANDOM_40,0.9998874664306641,0.41108763217926025,0.40625,HIGHLY_IDENTIFIABLE,0.8610571429661464,0,0.9998735785484314,0.5889124870300293,0.59375,0.882784903049469
0.8196917772293091,ridge_count,0.9998639225959778,ridge_expected,17,RANDOM_40,0.9998626112937927,0.4009973108768463,0.4017857015132904,HIGHLY_IDENTIFIABLE,0.8198044090964178,0,0.9998624324798584,0.5990026593208313,0.5982142686843872,0.8737203478813171
0.8189384937286377,ridge_count,0.9997369050979614,ridge_expected,18,RANDOM_40,0.9997345805168152,0.31786155700683594,0.3169642984867096,HIGHLY_IDENTIFIABLE,0.8191559136678912,0,0.9997761845588684,0.6821383833885193,0.6830357313156128,0.8756082057952881
0.8250124454498291,ridge_count,0.9998568296432495,ridge_expected,19,RANDOM_40,0.9998594522476196,0.37724947929382324,0.3794642984867096,HIGHLY_IDENTIFIABLE,0.8251284153940379,0,0.9998093843460083,0.6227505803108215,0.6205357313156128,0.874891459941864
